"id","count_by_category_id"
"14448","4944196"
"15606","5309070"
"12518","4382119"
"12741","4455826"
"15145","5171758"
"12249","4298626"
"14751","5044654"
"14782","5050568"
"12398","4343311"
"13112","4566027"
"13992","4811145"
"14520","4967844"
"12241","4295679"
"13612","4706402"
"14318","4908973"
"12520","4383670"
"12884","4500089"
"14194","4870640"
"16694","5612228"
"13624","4708105"
"15004","5123732"
"15422","5260627"
"12890","4502967"
"15099","5157174"
"12893","4504178"
"15997","5419192"
"13577","4695275"
"14545","4975028"
"15052","5143733"
"13630","4708978"
"13183","4586859"
"14477","4953802"
"13074","4553427"
"12638","4419427"
"15022","5129471"
"15049","5142254"
"14483","4954923"
"14727","5036311"
"13370","4629441"
"13855","4772400"
"12196","4277864"
"15762","5344551"
"13222","4596546"
"13100","4562919"
"13398","4637127"
"14702","5029917"
"13956","4800943"
"15858","5369735"
"14626","5003525"
"15781","5349627"
"13887","4781488"
"16675","5603779"
"13063","4546761"
"14421","4936279"
"12591","4404546"
"15798","5353890"
"16620","5580305"
"12718","4449501"
"12926","4511047"
"13494","4668560"
"15695","5324803"
"14124","4848402"
"15238","5197535"
"14728","5036529"
"16696","5613347"
"13472","4661864"
"14108","4845437"
"13087","4560472"
"12956","4518502"
"15523","5294153"
"14134","4851503"
"14688","5026969"
"15929","5391965"
"14817","5061414"
"15163","5177933"
"13566","4692009"
"15735","5336336"
"16393","5543590"
"13709","4730056"
"14427","4937252"
"16423","5554247"
"12095","4246698"
"14535","4971559"
"16117","5458211"
"14428","4937274"
"13728","4735651"
"15374","5246698"
"14319","4909154"
"15081","5152338"
"14221","4877321"
"15269","5216413"
"14719","5034681"
"15301","5225825"
"15924","5390914"
"13214","4594785"
"12428","4358263"
"14707","5030988"
"13399","4638292"
"15162","5177912"
"15168","5178879"
"13120","4567801"
"15420","5259890"
"12221","4287208"
"12305","4315344"
"14553","4977549"
"16037","5434538"
"16680","5606207"
"13757","4745580"
"13136","4572050"
"15232","5195408"
"15475","5276819"
"12592","4404734"
"14077","4837214"
"15761","5344479"
"13633","4709507"
"16083","5449159"
"14043","4828342"
"14738","5040136"
"12214","4285279"
"13760","4746457"
"13226","4597499"
"13176","4584171"
"16220","5493748"
"12192","4276127"
"12853","4490041"
"15326","5231926"
"14323","4910756"
"12078","4242182"
"15207","5186355"
"14398","4932159"
"13311","4616077"
"13720","4733740"
"13153","4578232"
"14504","4962931"
"14560","4979047"
"16245","5501391"
"13309","4615975"
"15447","5267714"
"12351","4325271"
"14189","4869811"
"16132","5465964"
"13581","4697658"
"13904","4784438"
"14978","5114406"
"13290","4612562"
"12397","4341966"
"14662","5020925"
"12279","4306097"
"15857","5369227"
"13905","4784587"
"13698","4726673"
"13567","4692107"
"14237","4882445"
"12827","4482374"
"15059","5146350"
"12496","4376624"
"15268","5216353"
"14518","4967623"
"15239","5198000"
"14974","5111614"
"13387","4634190"
"13395","4636618"
"16365","5535392"
"15676","5322226"
"14095","4841922"
"12376","4334948"
"15013","5126387"
"13509","4674058"
"13215","4594925"
"14927","5094670"
"12655","4424105"
"13035","4539655"
"14538","4972235"
"14287","4898311"
"15504","5287316"
"12432","4359336"
"16130","5465312"
"16297","5515649"
"15740","5338700"
"13448","4653589"
"13125","4569452"
"16355","5532897"
"13836","4766299"
"14845","5070672"
"13610","4706105"
"12616","4410245"
"13623","4708091"
"13810","4759493"
"12748","4462624"
"12140","4258071"
"15826","5361425"
"13203","4591909"
"15697","5325887"
"14327","4911805"
"14492","4957154"
"13534","4682487"
"14891","5084676"
"12551","4392386"
"16418","5552363"
"13815","4760743"
"13554","4688380"
"16564","5561861"
"16086","5450360"
"15984","5415679"
"12966","4519479"
"12927","4511115"
"13487","4666917"
"14165","4860411"
"13154","4578401"
"13541","4684664"
"15001","5123464"
"13811","4759830"
"13833","4764352"
"15104","5158107"
"12813","4477667"
"14610","4998843"
"14454","4945222"
"15630","5313423"
"13299","4614349"
"13602","4704643"
"15926","5391529"
"12729","4452568"
"13064","4546840"
"15785","5349881"
"12354","4326636"
"12405","4345332"
"13010","4533320"
"14940","5097907"
"15105","5158298"
"12413","4350386"
"12568","4396927"
"16350","5531884"
"12345","4323424"
"13495","4668730"
"15837","5365132"
"13587","4700190"
"15901","5383296"
"14337","4915033"
"16068","5444970"
"12522","4384561"
"12653","4423612"
"12182","4273406"
"16191","5483616"
"12917","4509101"
"14263","4890949"
"12788","4472354"
"16347","5531174"
"13560","4690126"
"16007","5422647"
"15599","5306022"
"16139","5467555"
"15256","5204835"
"12498","4376663"
"15417","5259650"
"13118","4567417"
"16682","5607874"
"12550","4392284"
"16391","5543421"
"12650","4422728"
"12696","4441918"
"13158","4579167"
"12807","4475201"
"15774","5347960"
"14786","5051433"
"15303","5226317"
"15006","5123849"
"12121","4253102"
"13140","4573784"
"14014","4820330"
"13314","4616778"
"16660","5598335"
"15008","5124885"
"16323","5525675"
"15266","5215574"
"14203","4873410"
"15700","5327165"
"16233","5498152"
"13310","4616060"
"14746","5042408"
"13766","4749183"
"14126","4849376"
"12979","4524904"
"12238","4294457"
"15327","5232359"
"14530","4969199"
"13355","4626864"
"14414","4934674"
"15332","5233440"
"14251","4888106"
"12948","4517272"
"13747","4741108"
"13233","4598723"
"16153","5472267"
"13649","4713401"
"13814","4760579"
"16095","5453263"
