"college_institution_id","survey_year","non_teaching_staff_count_id"
"49682","2015","439628"
"49682","2015","439629"
"47930","2015","439641"
"47930","2015","439642"
"47930","2015","439643"
"48412","2015","439656"
"48412","2015","439657"
"7154","2015","439658"
"6787","2015","439691"
"47324","2015","439692"
"47324","2015","439693"
"47324","2015","439694"
"47821","2015","439697"
"49670","2015","439698"
"49670","2015","439699"
"49670","2015","439700"
"49670","2015","439701"
"49670","2015","439702"
"50328","2015","439703"
"50328","2015","439704"
"9983","2015","439705"
"7130","2015","439706"
"7130","2015","439707"
"7130","2015","439708"
"7130","2015","439709"
"7130","2015","439710"
"539","2015","439711"
"539","2015","439712"
"539","2015","439713"
"539","2015","439714"
"5868","2015","439719"
"5868","2015","439720"
"5868","2015","439721"
"914","2015","439725"
"7188","2015","439736"
"7188","2015","439737"
"7188","2015","439738"
"7188","2015","439739"
"306","2015","439743"
"306","2015","439744"
"47822","2015","439745"
"6695","2015","439746"
"6695","2015","439747"
"6845","2015","439748"
"6854","2015","439754"
"6854","2015","439755"
"6854","2015","439756"
"6854","2015","439757"
"44189","2015","439760"
"44189","2015","439761"
"44189","2015","439762"
"17869","2015","439772"
"17869","2015","439773"
"17869","2015","439774"
"7424","2015","439775"
"7424","2015","439776"
"22","2015","439777"
"1207","2015","439778"
"1207","2015","439779"
"1207","2015","439780"
"1207","2015","439781"
"42932","2015","439783"
"42932","2015","439784"
"42932","2015","439785"
"42932","2015","439786"
"6895","2015","439787"
"6895","2015","439788"
"1039","2015","439789"
"1039","2015","439790"
"1039","2015","439791"
"1039","2015","439792"
"1039","2015","439793"
"1039","2015","439794"
"1039","2015","439795"
"1039","2015","439796"
"6640","2015","439797"
"6640","2015","439798"
"693","2015","439802"
"693","2015","439803"
"693","2015","439804"
"7150","2015","439805"
"10684","2015","439809"
"10684","2015","439810"
"10684","2015","439811"
"10684","2015","439812"
"10684","2015","439813"
"50653","2015","439814"
"50653","2015","439815"
"47885","2015","439816"
"47885","2015","439817"
"47885","2015","439818"
"47885","2015","439819"
"47885","2015","439820"
"6806","2015","439821"
"6806","2015","439822"
"6806","2015","439823"
"6806","2015","439824"
"8649","2015","439825"
"45277","2015","439826"
"45277","2015","439827"
"685","2015","439828"
"685","2015","439829"
"5900","2015","439833"
"5900","2015","439834"
"5900","2015","439835"
"5900","2015","439836"
"47252","2015","439837"
"17690","2015","439838"
"17690","2015","439839"
"17690","2015","439840"
"17690","2015","439841"
"7210","2015","439842"
"7210","2015","439843"
"7210","2015","439844"
"7210","2015","439845"
"50321","2015","439849"
"50321","2015","439850"
"50321","2015","439851"
"1161","2015","439856"
"1161","2015","439857"
"1161","2015","439858"
"22182","2015","439867"
"22182","2015","439868"
"22182","2015","439869"
"22182","2015","439870"
"45264","2015","439871"
"45264","2015","439872"
"45264","2015","439873"
"45264","2015","439874"
"15134","2015","439882"
"7184","2015","439883"
"7184","2015","439884"
"7184","2015","439885"
"5950","2015","439886"
"5950","2015","439887"
"5950","2015","439888"
"5950","2015","439889"
"45110","2015","439890"
"45110","2015","439891"
"45110","2015","439892"
"45110","2015","439893"
"6188","2015","439900"
"6188","2015","439901"
"6188","2015","439902"
"6188","2015","439903"
"6188","2015","439904"
"6188","2015","439905"
"6188","2015","439906"
"6188","2015","439907"
"6188","2015","439908"
"6302","2015","439909"
"6302","2015","439910"
"6302","2015","439911"
"6302","2015","439912"
"6302","2015","439913"
"6302","2015","439914"
"6302","2015","439915"
"6662","2015","439916"
"6662","2015","439917"
"6133","2015","439918"
"6133","2015","439919"
"6133","2015","439920"
"6133","2015","439921"
"6133","2015","439922"
"6133","2015","439923"
"6133","2015","439924"
"6133","2015","439925"
"7206","2015","439926"
"7206","2015","439927"
"7206","2015","439928"
"7206","2015","439929"
"32","2015","439930"
"32","2015","439931"
"47253","2015","439932"
"47253","2015","439933"
"47253","2015","439934"
"47253","2015","439935"
"20646","2015","439936"
"13927","2015","439937"
"25742","2015","439943"
"25742","2015","439944"
"25742","2015","439945"
"313","2015","439954"
"313","2015","439955"
