"id","staff_type_id","group_id","sanctioned_strength","posts_reserved_for_pwd","count_by_category_id"
"483640","1","3","8","","4604193"
"517629","1","3","15","","4911774"
"533285","1","4","17","","5070882"
"572699","2","1","1","","5466386"
"528702","1","4","3","","5025636"
"494302","1","4","0","","4691655"
"465286","2","3","1","","4442447"
"492474","1","2","22","","4677490"
"476849","1","4","8","","4542017"
"495305","1","4","6","","4699981"
"497582","4","4","3","","4718319"
"504496","3","2","1","","4780612"
"453651","1","4","9","","4352668"
"514395","1","3","4","","4879411"
"579364","2","4","0","","5526813"
"527264","3","1","1","","5010043"
"537745","1","4","8","","5113881"
"452597","2","3","1","","4344664"
"553536","1","3","2","","5277964"
"574250","1","1","1","","5479960"
"476836","1","3","5","","4541920"
"518917","1","3","4","","4924097"
"461473","1","1","10","","4412743"
"559722","1","4","6","","5345721"
"521578","1","3","2","","4950007"
"585299","3","2","0","","5585062"
"578583","1","2","10","","5519240"
"466634","1","4","18","","4452934"
"516726","1","2","2","","4903312"
"565452","1","4","3","","5404749"
"455716","2","1","1","","4368321"
"471629","3","2","1","","4493777"
"576936","1","1","6","","5504712"
"481850","4","4","0","","4589673"
"529447","1","4","0","","5033722"
"556633","1","1","14","","5311572"
"444651","1","3","0","","4282037"
"577343","3","2","5","","5508247"
"480006","1","1","22","","4572032"
"475582","1","3","7","","4530245"
"508962","2","4","1","","4824553"
"580381","1","1","12","","5535354"
"584599","1","3","0","","5578269"
"514200","1","3","8","","4877456"
"515063","2","1","1","","4886936"
"463464","2","3","2","","4429220"
"544735","2","4","2","","5192467"
"453942","1","3","2","","4355114"
"503269","1","1","1","","4769969"
"489098","2","2","1","","4649531"
"458276","3","1","1","","4387843"
"483448","1","2","27","","4602633"
"451573","1","4","10","","4337671"
"552656","1","4","5","","5269143"
"557541","2","4","0","","5321867"
"529435","1","4","19","","5033656"
"580335","2","1","1","","5534993"
"540731","1","3","10","","5148757"
"581270","3","3","2","","5544801"
"487357","2","3","2","","4633658"
"576038","1","1","0","","5496133"
"466227","1","4","13","","4449635"
"469284","1","4","0","","4474370"
"497044","2","3","2","","4713921"
"535308","1","4","6","","5089312"
"509188","2","1","1","","4826497"
"532245","2","1","1","","5059638"
"564916","1","4","0","","5393675"
"540911","1","2","7","","5151691"
"531657","1","4","4","","5054599"
"452606","4","4","7","","4344673"
"551937","2","2","1","","5261576"
"468007","1","3","25","","4464100"
"444113","4","3","12","","4276896"
"468534","2","3","5","","4468602"
"447284","1","1","16","","4304409"
"470803","1","3","3","","4487427"
"458244","2","2","1","","4387658"
"557058","2","1","1","","5316967"
"532681","1","2","8","","5064158"
"462246","3","3","1","","4419614"
"576627","1","2","1","","5501960"
"558175","1","1","0","","5328203"
"505011","2","1","60","","4785370"
"552438","4","4","12","","5267026"
"444935","1","3","4","","4284336"
"575383","2","1","1","","5490746"
"559199","1","1","40","","5340039"
"470095","1","3","2","","4481346"
"530936","1","4","1","","5047784"
"579062","2","3","1","","5524025"
"495970","1","2","2","","4705126"
"507042","2","2","1","","4805914"
"495047","1","3","25","","4697266"
"493382","3","2","1","","4684591"
"528688","4","4","10","","5025557"
"545875","1","3","4","","5204777"
"583088","1","3","4","","5562684"
"526426","2","4","1","","5000195"
"494420","1","1","22","","4692395"
"442939","2","4","1","","4266913"
"504596","1","2","2","","4781478"
"550727","4","3","9","","5251666"
"521977","1","4","19","","4954865"
"581901","1","1","19","","5550993"
"461453","1","3","5","","4412649"
"472280","3","1","4","","4499855"
"483331","1","3","9","","4601907"
"450545","1","4","4","","4329317"
"503734","1","3","2","","4773796"
"537375","4","3","23","","5110476"
"528654","2","1","1","","5025200"
"554087","2","3","4","","5283830"
"465273","3","3","1","","4442366"
"546155","2","1","1","","5208150"
"551978","2","1","360","","5262103"
"548975","2","2","1","","5235688"
"509974","1","2","8","","4834053"
"511609","1","3","8","","4850112"
"488865","2","1","3","","4647645"
"527714","2","1","1","","5015529"
"585916","2","3","0","","5591464"
"445812","2","4","1","","4292286"
"492339","2","3","0","","4676313"
"483802","1","1","9","","4605424"
"503930","2","4","1","","4775416"
"525453","1","3","25","","4987791"
"565435","2","2","1","","5404618"
"461597","2","4","1","","4414036"
"465649","1","3","4","","4445063"
"524500","2","4","1","","4978918"
"546008","4","4","10","","5206510"
"441104","2","3","4","","4251779"
"448165","4","3","3","","4310712"
"580915","1","4","40","","5540173"
"493833","1","3","4","","4687652"
"503153","2","1","1","","4768893"
"577521","1","4","23","","5509717"
"547626","2","1","120","","5223381"
"580089","2","3","1","","5533080"
"455105","1","4","9","","4363806"
"440483","4","3","8","","4245558"
"538209","1","4","2","","5118416"
"457975","1","1","5","","4385083"
"526010","1","3","8","","4994308"
"583274","1","4","130","","5564630"
"566418","1","1","12","","5413410"
"583121","4","4","0","","5563009"
"562715","1","4","5","","5373676"
"490821","2","4","1","","4663611"
"493311","2","3","2","","4683935"
"453113","1","1","7","","4348820"
"494186","2","2","1","","4690635"
"567577","1","3","5","","5423386"
"490205","4","4","2","","4658619"
"497631","2","2","1","","4718721"
"443534","1","4","4","","4272817"
"459076","3","2","0","","4394104"
"492282","1","4","0","","4675789"
"516754","2","2","5","","4903600"
"487755","1","2","4","","4637203"
"501018","4","1","0","","4749693"
"505916","1","4","15","","4795571"
"527393","1","2","3","","5011005"
"558661","2","2","1","","5334443"
"523043","1","3","19","","4964576"
"530471","3","4","2","","5044185"
"485223","2","3","2","","4616900"
"550963","2","1","1","","5253484"
"480227","1","3","74","","4574129"
"535515","1","2","1","","5091147"
"520606","1","4","10","","4940851"
"520182","1","3","3","","4936388"
"445895","2","1","1","","4293089"
"512287","1","3","1","","4857418"
"534484","1","3","10","","5081890"
"554224","1","4","8","","5285163"
"549928","2","1","1","","5244541"
"525400","1","3","7","","4987285"
"552215","1","1","1","","5265113"
"540741","4","3","0","","5148867"
"567749","1","4","4","","5424489"
"540049","3","2","0","","5142007"
"559418","4","4","3","","5342121"
"580479","1","3","3","","5536444"
"490074","4","1","0","","4657492"
"510181","1","4","4","","4835970"
"570922","1","1","16","","5449974"
"559476","1","4","2","","5342804"
"466294","1","2","1","","4450196"
"555334","3","1","1","","5297126"
"453222","1","3","43","","4349781"
"533628","1","4","12","","5074042"
"555833","2","1","1","","5302173"
"472207","1","2","5","","4499338"
"446309","2","3","1","","4296230"
"526012","2","1","1","","4994310"
"522924","1","3","2","","4963371"
"501780","1","3","0","","4755747"
"454817","2","2","2","","4361520"
"557844","2","1","1","","5325005"
"566010","2","2","1","","5410136"
"587884","1","4","20","","5609882"
"474173","1","4","27","","4517123"
"482984","1","2","9","","4598952"
"451046","1","3","7","","4333659"
"583651","2","4","1","","5568504"
"485339","1","1","26","","4617819"
"471255","1","1","1","","4490919"
"584636","3","1","1","","5578682"
"465882","3","3","1","","4447040"
"470622","1","3","6","","4485978"
"551789","1","2","5","","5260088"
"459370","1","4","30","","4396411"
"451328","2","1","1","","4335544"
"446362","1","3","2","","4296597"
"485870","2","2","0","","4621688"
"456693","2","2","0","","4375756"
"528343","1","4","7","","5022721"
"553746","1","3","12","","5280669"
"586672","3","2","1","","5597904"
"466904","2","2","1","","4455097"
"489483","4","4","0","","4652602"
"476754","1","3","2","","4541116"
"466015","4","3","0","","4447948"
"583400","3","1","1","","5566111"
"586543","2","2","1","","5596996"
"479305","4","4","0","","4566153"
"509034","1","3","30","","4825073"
"539551","1","1","1","","5133778"
"543244","2","1","1","","5177659"
"470231","3","3","1","","4482267"
"517671","1","1","1","","4912199"
"566234","3","1","1","","5411691"
"577232","4","2","6","","5507202"
"465048","3","2","1","","4440893"
"484947","1","4","13","","4614571"
"528008","1","3","2","","5018558"
"483160","2","3","1","","4600529"
"569301","2","1","1","","5437268"
"543864","2","3","1","","5183701"
"462505","1","3","3","","4421792"
"508314","1","2","1","","4818198"
"588102","3","3","1","","5612147"
"493132","3","1","1","","4682661"
"530713","2","2","2","","5046201"
"581345","1","2","13","","5545587"
"555663","4","3","5","","5300489"
"468869","1","4","2","","4471422"
"469634","1","3","17","","4477550"
"469603","1","3","15","","4477342"
"536459","1","4","2","","5100272"
"504688","3","2","1","","4782153"
"527174","1","3","20","","5009134"
"486413","2","2","1","","4626513"
"548326","2","3","1","","5230315"
"501912","3","2","1","","4756886"
"446031","1","4","0","","4294145"
"551882","1","3","802","","5260897"
"504979","1","4","6","","4784836"
"453948","1","4","0","","4355154"
"500965","1","3","20","","4749200"
"538943","1","2","4","","5126558"
"579130","1","2","1","","5525073"
"579283","2","2","1","","5526142"
"445177","1","4","6","","4286285"
"507294","2","3","1","","4807902"
"546104","2","3","2","","5207753"
"502005","1","2","25","","4757790"
"510687","2","1","2","","4841051"
"473428","1","3","2","","4510907"
"579019","1","4","418","","5523541"
"567798","1","1","4","","5424916"
"523611","1","3","4","","4969878"
"520505","4","4","255","","4939896"
"555337","3","4","1","","5297129"
"567892","1","3","6","","5425689"
"470016","3","1","1","","4480821"
"448223","2","3","5","","4311258"
"476265","3","1","1","","4536814"
"446111","2","3","1","","4294660"
"586380","2","1","1","","5595203"
"449888","1","3","11","","4324033"
"539338","1","3","26","","5130723"
"538701","1","1","3","","5123853"
"580593","1","1","4","","5537214"
"485803","2","4","1","","4621165"
