"university_id","university_name","state_name","district_name","regional_centre","state_regionale_centre","district_regional_centre","level","programme","discipline_group_category","discipline_group","discipline","course_type","study_year","category","general_total","general_females","sc_total","sc_females","st_total","st_females","obc_total","obc_females","total_persons","total_females"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce with Computer Applications","General","3","Christians","5","0","0","0","0","0","4","2","9","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce with Computer Applications","General","1","Christians","16","7","0","0","0","0","5","2","21","9"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.Com.-Bachelor of Commerce","Commerce","Commerce","Commerce with Computer Applications","General","2","Christians","2","0","0","0","0","0","3","0","5","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Tourism and Hotel Management","General","2","Christians","15","3","0","0","1","1","0","0","16","4"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Tourism and Hotel Management","General","2","Sikhs","2","1","0","0","0","0","0","0","2","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Tourism and Hotel Management","General","1","Christians","13","4","0","0","0","0","1","0","14","4"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Project Management","General","1","Christians","64","9","0","0","0","0","9","1","73","10"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Project Management","General","2","Buddhists","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Project Management","General","2","Christians","21","3","0","0","0","0","2","0","23","3"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Diploma","Diploma-Diploma","Medical Science","Other Medical Science","Acupuncture Science","General","1","Christians","2","2","0","0","0","0","1","0","3","2"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Financial Management","General","2","Christians","86","18","0","0","0","0","6","3","92","21"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Financial Management","General","1","Christians","329","116","0","0","0","0","0","0","329","116"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.B.A.- Master of Business Administration","Management","Business Administration","Financial Management","General","1","Jains","1","1","0","0","0","0","0","0","1","1"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Shipping and Port Management","General","1","Christians","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Under Graduate","B.B.A.-Bachelor of Business Administration","Management","Business Administration","Shipping and Port Management","General","3","Christians","1","0","0","0","0","0","0","0","1","0"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.Sc.-Master of Science","Science","Bio-Technology","Bio-Informatics","General","1","Christians","3","1","0","0","0","0","2","2","5","3"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.Sc.-Master of Science","Science","Mathematics","Mathematics","General","1","Christians","11","8","0","0","0","0","15","13","26","21"
"0447","Bharathiar University, Coimbatore","Tamil Nadu","Coimbatore","School of Distance Education","Tamil Nadu","Coimbatore","Post Graduate","M.Sc.-Master of Science","Science","Mathematics","Mathematics","General","2","Christians","5","5","0","0","0","0","10","8","15","13"
