"id","country_id","programme_id","discipline","total","girls","broad_discipline_group_id","level_id"
"49241","203","012","COMMERCE","6","4","009","4"
"48325","20","027","Pharmacy","6","6","076","4"
"48224","2","124","Politics and International Relations","3","1","112","3"
"54205","20","027","B.Pharm.","2","1","076","4"
"51221","230","006","Arts","1","0","178","4"
"51909","2","043","Management","7","2","133","4"
"58025","70","157","English","1","0","116","1"
"57506","168","044","HR/Fin","0","0","055","4"
"55438","153","012","B.Com.(H)","1","0","009","4"
"49659","207","044","BBM","3","0","055","4"
"55155","75","109","MPhil Development Practice","1","1","116","2"
"55443","27","046","Information Technology","1","1","183","4"
"61269","20","030","B.Sc. (Airlines, Tourism & Hospitality)","1","0","171","4"
"57056","2","012","Commerce","34","2","009","4"
"52263","230","043","Under Graduate","2","1","133","4"
"56778","160","012","commerce","1","1","009","4"
"58722","94","180","Computer Science","1","0","095","4"
"51474","27","043","BUSINESS ADMINSTRATION","3","3","133","4"
"57510","153","180","Chemistry","1","0","094","4"
"61226","202","030","Agricultural Sciences","1","0","001","4"
"60019","228","043","Management","1","0","133","4"
"52241","153","036","Under Graduate","5","0","023","4"
"50584","101","054","hotel Management","1","1","057","4"
"58144","225","006","ECONOMICS","4","3","178","4"
"57415","70","054","Hotel Management","1","1","057","4"
"61484","182","046","BCA","3","0","183","4"
"51990","83","157","Financial Management","1","0","056","1"
"58760","180","030","Science","1","1","171","4"
"60479","213","126","Bussiness Administration","1","0","133","3"
"59297","206","066","Classical Vocal-BPA-","5","2","029","4"
"60910","30","129","All Subjects","1","1","068","4"
"49823","216","006","JPE","1","1","178","4"
"52862","153","126","Masters in Business Administration","5","2","133","3"
"56531","2","126","M.B.A.(ABM)","3","0","133","3"
"47898","170","046","IT & Computer","1","0","183","4"
"58504","213","089","Law","1","1","052","3"
"59382","153","036","Electronics and Communications Engineering","2","0","020","4"
"51158","165","050","Mechanical Engineering","1","0","023","4"
"51281","39","126","MBA (with Foreign Tour) HRM, Retail Trade, Banking & Insurance, Marketing, Finance, MSMEs# Entrepreneurship, Information Technology, Operations & Logistics, Inclusive & Sustainable Development, Real Estate Management, Stock Market & Derivatives, Tourism /","1","1","133","3"
"57446","153","006","Tourism","1","0","178","4"
"50468","206","111","MSc Dietetics and Applied Nutrition","1","1","107","3"
"47254","153","027","Pharmacy","3","0","076","4"
"57793","102","049","BDS Course","35","15","066","4"
"52185","153","031","Nursing","3","3","072","4"
"51980","83","122","M. Tech Food Tech. (Food Quality Management)","1","1","123","3"
"55973","40","129","ENT","0","0","068","4"
"52566","130","006","Arts","2","0","178","4"
"59326","207","087","BA LLB","1","0","052","4"
"47942","52","036","PCM","3","1","020","4"
"48353","20","043","bba/BCA","13","6","133","4"
"51712","102","049","Dental","15","7","066","4"
"52491","133","046","Computer","1","1","183","4"
"61675","124","122","Electronics Engineering","1","0","020","3"
"57749","178","126","International Business","1","1","133","3"
"60736","150","157","Electronics and Electrical Engineering","1","1","026","1"
"61388","131","043","BBA","1","0","133","4"
"59899","117","043","Commerce","6","0","133","4"
"61443","153","130","MCA","3","0","183","3"
"59108","202","111","M.Sc Entomology","1","0","001","3"
"51460","153","050","INFORMATION SCIENCE AND ENGINEERING","3","0","017","4"
"48344","155","041","Ayurveda","1","0","064","4"
"55617","102","157","Supercomputer Education and Research","1","1","017","1"
"47775","230","050","COMPUTER","1","0","017","4"
"59036","117","012","B.COM","3","3","009","4"
"60941","153","122","ENGINEERING","2","0","017","3"
"57522","2","082","Diploma of Proficiency in English and Career Skills","2","1","031","6"
"58700","245","012","Commerce","1","1","009","4"
"48507","153","050","Civil Engineering","7","0","016","4"
"57679","231","087","BBA LL.B (Honours)","1","0","052","4"
"56764","52","006","Arts","1","1","178","4"
"54304","217","176","Sociology","2","1","115","4"
"49665","19","044","BBM","6","0","055","4"
"59427","153","036","Electronics & Communication Engg","3","0","020","4"
"58647","153","126","MBA","28","12","133","3"
"58074","27","030","ELECTRONIC SCIENCE","1","1","171","4"
"59038","207","111","Geology (Integrated)","4","3","099","3"
"49092","2","050","Civil Engineering","3","0","016","4"
"58353","70","157","Ph.D - Politics and Public Administration","1","0","114","1"
"47889","122","043","Management","1","1","133","4"
"52821","178","050","CSE","1","0","017","4"
"58784","37","111","IT","2","0","107","3"
"49322","113","030","CS","3","0","171","4"
"52553","246","030","Science","1","0","027","4"
"52177","168","009","Architecture","1","0","014","4"
"61004","207","012","corporative","4","0","009","4"
"47677","165","027","Pharmacy","1","0","076","4"
"59363","2","036","Civil Engineering","2","0","016","4"
"61636","101","111","Basic Sciences","1","0","008","3"
"47549","244","046","computer","2","0","183","4"
"52915","27","122","Civil","1","0","016","3"
"57190","239","036","Chemical Engineering","1","1","015","4"
"61629","51","044","Business Management","8","2","055","4"
"53759","165","030","IT","1","0","095","4"
"60925","20","043","MANAGEMENT","1","0","133","4"
"59128","202","050","Civil & Structural Engineering (Lateral)","1","0","016","4"
"54316","230","157","Physics","1","0","104","1"
"47332","232","036","Computer Engineering","7","1","017","4"
"56466","153","036","Mechanical","4","0","023","4"
"61397","139","030","B.Sc. (Airlines, Tourism & Hospitality)","1","1","171","4"
"52379","213","046","COMPUTER APPLICATION","1","0","183","4"
"58576","131","036","Engineering","1","0","023","4"
"57809","123","087","LAW","1","0","052","4"
"51292","52","126","MBA (with Foreign Tour) HRM, Retail Trade, Banking & Insurance, Marketing, Finance, MSMEs# Entrepreneurship, Information Technology, Operations & Logistics, Inclusive & Sustainable Development, Real Estate Management, Stock Market & Derivatives, Tourism /","2","1","133","3"
"47782","165","050","MECHANICAL","1","0","023","4"
"58812","182","157","Manageament","1","0","055","1"
"60139","153","043","BUSINESS ADMINISTRATION","9","0","133","4"
"56358","153","044","Business Management","1","0","055","4"
"54826","153","176","Arabic","3","0","035","4"
"47884","52","030","Airline Tourism & Hospitality Management","1","1","171","4"
"48495","203","126","MBA","1","0","133","3"
"52211","246","027","B. Pharm","2","2","076","4"
"52650","27","012","Commerce with CA","2","1","009","4"
"56675","178","050","Mechanical Engineering","5","0","023","4"
"52857","160","006","Arts","1","0","178","4"
"54189","160","126","Business Management","1","0","133","3"
"59171","153","111","Medical Sciences","8","0","188","3"
"60355","160","043","Business Administration","1","0","133","4"
"47910","244","108","Pharmacy","1","0","076","3"
"52011","124","027","Bachelor of Pharmacy (B Pharm)","1","0","076","4"
"51864","153","036","Computer Sc. & Engg.","5","0","017","4"
"50199","153","031","Science","2","2","072","4"
"57794","102","132","Periodontics","1","1","066","3"
"50339","122","130","Computer","1","0","183","3"
"60969","157","129","MBBS","1","1","068","4"
"61566","245","043","BBA","14","3","133","4"
"57673","210","087","BA LL.B (Honours)","1","0","052","4"
"61016","20","036","Computer Science Engg","5","3","017","4"
"47162","245","006","Arts","1","1","178","4"
"57572","160","006","Bachelor of Arts (Mass Communication)","2","1","178","4"
"52374","202","074","SOCIALWORK","2","1","117","4"
"61110","52","046","BCA","1","1","183","4"
"49325","113","111","BC","1","1","143","3"
"58493","113","126","Business Management","1","0","133","3"
"55461","247","051","Visual Communication","3","0","030","4"
"52949","207","030","Microbiology","1","0","171","4"
"57178","139","036","Electrical Engineering","2","0","019","4"
"50514","153","031","PB.BSc Nursing","2","2","072","4"
"57083","2","124","Hindi","2","0","041","3"
"60202","232","157","Economics","1","1","109","1"
"52653","206","030","Information Technology","1","1","171","4"
"60975","206","070","Physiotherapy","4","4","164","4"
"52602","193","050","COMPUTER SCIENCE","4","0","017","4"
"58127","160","006","PHILOSOPHY","1","0","178","4"
"60979","206","031","Nursing","1","1","072","4"
"51340","153","050","ECE","2","0","020","4"
"51509","103","108","Pharmacy","1","0","076","3"
"53583","19","036","Mechanical","4","0","023","4"
"60974","206","025","Optom (Clinical Optometry)","1","1","162","4"
"53967","207","043","B.B.A. C.A.","8","0","133","4"
