"university_id","survey_year","accreditation_id"
"0072","2015","30687"
"0017","2015","30695"
"0248","2015","30757"
"0379","2015","31848"
"0068","2015","30779"
"0271","2015","30790"
"0214","2015","30818"
"0391","2015","30821"
"0043","2015","30868"
"0417","2015","30972"
"0688","2015","31014"
"0389","2015","31056"
"0389","2015","31057"
"0199","2015","31060"
"0333","2015","31069"
"0465","2015","31075"
"0465","2015","31076"
"0398","2015","31090"
"0398","2015","31091"
"0101","2015","31105"
"0050","2015","31112"
"0413","2015","31194"
"0042","2015","31198"
"0393","2015","31291"
"0162","2015","31304"
"0304","2015","31326"
"0524","2015","31350"
"0247","2015","31374"
"0107","2015","31412"
"0407","2015","31464"
"0428","2015","31493"
"0159","2015","31507"
"0319","2015","31513"
"0319","2015","31514"
"0319","2015","31515"
"0319","2015","31516"
"0319","2015","31517"
"0319","2015","31518"
"0319","2015","31519"
"0319","2015","31520"
"0319","2015","31521"
"0319","2015","31522"
"0319","2015","31523"
"0319","2015","31524"
"0319","2015","31525"
"0319","2015","31526"
"0319","2015","31527"
"0357","2015","31547"
"0357","2015","31548"
"0277","2015","31556"
"0383","2015","31567"
"0307","2015","31568"
"0200","2015","31577"
"0315","2015","31635"
"0321","2015","31640"
"0399","2015","31660"
"0276","2015","31661"
"0041","2015","31677"
"0173","2015","31691"
"0478","2015","31711"
"0166","2015","31717"
"0317","2015","31732"
"0317","2015","31733"
"0317","2015","31734"
"0317","2015","31735"
"0317","2015","31736"
"0317","2015","31737"
"0292","2015","31740"
"0818","2015","31757"
"0740","2015","31771"
"0740","2015","31772"
"0163","2015","31775"
"0163","2015","31776"
"0293","2015","31778"
"0116","2015","31779"
"0168","2015","31804"
"0820","2015","31814"
"0171","2015","31854"
"0341","2015","31857"
