"college_institution_id","department_id","survey_year"
"55441","996063","2015"
"36831","996939","2015"
"46771","996959","2015"
"46392","996960","2015"
"22449","996064","2015"
"22449","996065","2015"
"22449","996066","2015"
"22449","996067","2015"
"44392","996940","2015"
"46392","996961","2015"
"46392","996962","2015"
"13438","996068","2015"
"13438","996069","2015"
"13438","996070","2015"
"13438","996071","2015"
"13376","996072","2015"
"8719","996073","2015"
"8719","996074","2015"
"8719","996075","2015"
"8719","996076","2015"
"8719","996077","2015"
"8719","996078","2015"
"8719","996079","2015"
"8719","996080","2015"
"8719","996081","2015"
"8719","996082","2015"
"8719","996083","2015"
"8719","996084","2015"
"8719","996085","2015"
"8719","996086","2015"
"8719","996087","2015"
"8719","996088","2015"
"8719","996089","2015"
"8719","996090","2015"
"8719","996091","2015"
"8719","996092","2015"
"8719","996093","2015"
"8719","996094","2015"
"8719","996095","2015"
"8719","996096","2015"
"8719","996097","2015"
"8719","996098","2015"
"8719","996099","2015"
"28871","996941","2015"
"51928","996100","2015"
"55446","996125","2015"
"46142","996126","2015"
"46142","996127","2015"
"46142","996128","2015"
"46142","996129","2015"
"46142","996130","2015"
"46142","996131","2015"
"46142","996132","2015"
"46142","996133","2015"
"46142","996134","2015"
"28871","996942","2015"
"15140","996963","2015"
"15140","996964","2015"
"16126","996966","2015"
"16126","996967","2015"
"16126","996968","2015"
"51402","996135","2015"
"51402","996136","2015"
"30757","996943","2015"
"30757","996944","2015"
"30757","996945","2015"
"30757","996946","2015"
"30757","996947","2015"
"30757","996948","2015"
"30757","996949","2015"
"30757","996950","2015"
"30757","996951","2015"
"30757","996952","2015"
"30757","996953","2015"
"30757","996954","2015"
"30757","996955","2015"
"52242","996137","2015"
"22423","996138","2015"
"50846","996158","2015"
"50846","996159","2015"
"50846","996160","2015"
"14299","996161","2015"
"28261","996162","2015"
"30757","996956","2015"
"52397","996965","2015"
"16126","996969","2015"
"16126","996970","2015"
"27427","996163","2015"
"17636","996164","2015"
"17636","996165","2015"
"17636","996166","2015"
"17636","996167","2015"
"17636","996168","2015"
"17636","996169","2015"
"17636","996170","2015"
"17636","996171","2015"
"17636","996172","2015"
"17636","996173","2015"
"17636","996174","2015"
"17636","996175","2015"
"17636","996176","2015"
"54851","996177","2015"
"54851","996178","2015"
"54851","996179","2015"
"18452","996957","2015"
"18452","996958","2015"
"16126","996971","2015"
"27972","996180","2015"
"13406","996181","2015"
"16126","996972","2015"
"16126","996973","2015"
"16126","996974","2015"
"22414","996182","2015"
"51454","996183","2015"
"51454","996184","2015"
"51454","996185","2015"
"16126","996975","2015"
"16126","996976","2015"
"13397","996191","2015"
"13397","996192","2015"
"13397","996193","2015"
"17658","996194","2015"
"30714","996196","2015"
"30714","996197","2015"
"30714","996198","2015"
"30714","996199","2015"
"30714","996200","2015"
"30714","996201","2015"
"30714","996202","2015"
"30714","996203","2015"
"30714","996204","2015"
"30714","996205","2015"
"30714","996206","2015"
"30714","996207","2015"
"30714","996208","2015"
"30714","996209","2015"
"30714","996210","2015"
"30714","996211","2015"
"30714","996212","2015"
"30714","996213","2015"
"30714","996214","2015"
"30714","996215","2015"
"30714","996216","2015"
"13316","996217","2015"
"13316","996218","2015"
"48591","996220","2015"
"33105","996221","2015"
"10865","996222","2015"
"10865","996223","2015"
"10865","996224","2015"
"10865","996225","2015"
"10865","996226","2015"
"10865","996227","2015"
"10865","996228","2015"
"10865","996229","2015"
"10865","996230","2015"
"10865","996231","2015"
"10865","996232","2015"
"10865","996233","2015"
"10865","996234","2015"
"10865","996235","2015"
"10865","996236","2015"
"10865","996237","2015"
"10865","996238","2015"
"15554","996977","2015"
"15554","996978","2015"
"15554","996979","2015"
"15554","996980","2015"
"15554","996981","2015"
"15554","996982","2015"
"15554","996983","2015"
"15554","996984","2015"
"15554","996985","2015"
"15554","996986","2015"
"15554","996987","2015"
"15554","996988","2015"
"15554","996989","2015"
"15554","996990","2015"
"15554","996991","2015"
"33973","996992","2015"
"18288","996993","2015"
"18288","996994","2015"
"18288","996995","2015"
"15191","996996","2015"
"15191","996997","2015"
"15191","996998","2015"
"15191","996999","2015"
"11798","997000","2015"
"11798","997001","2015"
"11798","997002","2015"
"11798","997003","2015"
"11798","997004","2015"
"11798","997005","2015"
"11798","997006","2015"
"11798","997007","2015"
"11798","997008","2015"
"11798","997009","2015"
"11798","997010","2015"
"11798","997011","2015"
"11798","997012","2015"
"11798","997013","2015"
"11798","997014","2015"
"10781","997017","2015"
"10781","997018","2015"
"22436","997033","2015"
"15353","997037","2015"
"15353","997038","2015"
"15353","997039","2015"
"15353","997040","2015"
"15353","997041","2015"
"15353","997042","2015"
"15353","997043","2015"
"15353","997044","2015"
"15353","997045","2015"
"15353","997046","2015"
"15353","997047","2015"
"15353","997048","2015"
"15353","997049","2015"
"8750","997050","2015"
"8750","997051","2015"
"8750","997052","2015"
"8750","997053","2015"
"8750","997054","2015"
"8750","997055","2015"
"8750","997056","2015"
"8750","997057","2015"
"8750","997058","2015"
"8750","997059","2015"
"8750","997060","2015"
"8750","997061","2015"
"8750","997062","2015"
"8750","997063","2015"
"8750","997064","2015"
"8750","997065","2015"
"8750","997066","2015"
"8750","997067","2015"
"8750","997068","2015"
"8750","997069","2015"
"8750","997070","2015"
"8750","997071","2015"
"8750","997072","2015"
"8750","997073","2015"
"13885","997076","2015"
"13885","997077","2015"
"13885","997078","2015"
"13885","997079","2015"
"13885","997080","2015"
"13885","997081","2015"
"13885","997082","2015"
"13885","997083","2015"
"13885","997084","2015"
"13885","997085","2015"
"13885","997086","2015"
"13885","997087","2015"
"13885","997088","2015"
"13885","997089","2015"
"13885","997090","2015"
"13885","997091","2015"
"13885","997092","2015"
"13885","997093","2015"
"13885","997094","2015"
"13885","997095","2015"
"13885","997096","2015"
"13885","997097","2015"
"13885","997098","2015"
"13885","997099","2015"
"13885","997100","2015"
"28718","997101","2015"
"28718","997102","2015"
"28718","997103","2015"
"28718","997104","2015"
"28718","997105","2015"
"28718","997106","2015"
"28718","997107","2015"
"28718","997108","2015"
"28718","997109","2015"
"28718","997110","2015"
"28718","997111","2015"
"28718","997112","2015"
"28718","997113","2015"
"28718","997114","2015"
"28718","997115","2015"
"28718","997116","2015"
"32917","997124","2015"
"32917","997125","2015"
"32917","997126","2015"
"32917","997127","2015"
"32917","997128","2015"
"32917","997129","2015"
"13816","997130","2015"
"13816","997131","2015"
"13816","997132","2015"
