"id","name","statecode","survey_year","is_dcf_applicable","type_id","district_code"
"0774","DIT UNIVERSITY","05","2015","true","03","060"
"0775","GLS UNIVERSITY","24","2015","true","03","474"
"0813","LNCT UNIVERSITY","23","2015","true","03","444"
"0779","AMITY UNIVERSITY","19","2015","true","03","337"
"0776","DAV University","03","2015","true","03","037"
"0789","GNA UNIVERSITY","03","2015","true","03","036"
"0816","PRATAP UNIVERSITY","08","2015","true","03","110"
"0790","RAI UNIVERSITY","24","2015","true","03","474"
"0808","RAMA UNIVERSITY UTTAR PRADESH","09","2015","true","03","164"
"0791","SUN RISE UNIVERSITY","08","2015","true","03","104"
"0809","J S University","09","2015","true","03","147"
"0177","Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan","02","2015","true","03","031"
"0751","STATE UNIVERSITY OF PERFORMING AND VISUAL ARTS","06","2015","true","02","082"
"0746","GEETANJALI UNIVERSITY","08","2015","true","03","130"
"0747","CHANDIGARH UNIVERSITY","03","2015","true","03","052"
"0748","VIVEKANANDA GLOBAL UNIVERSITY","08","2015","true","03","110"
"0752","POORNIMA UNIVERSITY","08","2015","true","03","110"
"0759","G S F C UNIVERSITY","24","2015","true","03","486"
"0338","CMJ University, Shillong","17","2015","true","03","298"
"0763","PARUL UNIVERSITY","24","2015","true","03","486"
"0745","THE INSTITUTE OF TRANS-DISCIPLINARY HEALTH SCIENCES AND TECHNOLOGY","29","2015","true","03","572"
"0008","Dr. N.T.R. University of Health Sciences, Vijaywada","28","2015","true","02","547"
"0034","Sri Padmavathi Mahila Visva Vidyalayam, Tirupathi","28","2015","true","02","554"
"0753","SHRI RAMSWAROOP MEMORIAL UNIVERSITY","09","2015","true","03","157"
"0046","North Eastern Regional Institute of Science & Technology, Papum Pare, Itanagar","12","2015","true","04","248"
"0070","Maulana Mazharul Haque Arabic & Persian University, Patna","10","2015","true","02","230"
"0081","Ayush and Health Science University of Chattisgarh, Raipur","22","2015","true","02","410"
"0530","Motilal Nehru National Institute of Technology, Allahabad","09","2015","true","07","175"
"0050","Assam University, Silchar","18","2015","true","01","316"
"0058","Babasaheb Bhimrao Ambedkar Bihar University, Muzaffarpur","10","2015","true","02","216"
"0085","Guru Ghasidas Vishwavidyalaya, Bilaspur","22","2015","true","01","406"
"0088","Indira Kala Sangit Vishwavidyalaya, Khairagarh","22","2015","true","02","408"
"0112","National Museum Institute of Hisotry of Art Conservation and Musicology","07","2015","true","04","094"
"0117","Shri Lal Bhadur Shashtri Rashtriya Sanskrit Vidyapith, New Delhi","07","2015","true","04","098"
"0127","Centre for Environmental Planning and Technology University, Ahmedabad","24","2015","true","02","474"
"0144","Navrachana University","24","2015","true","03","486"
"0200","Sher-e-Kashmir University of Agricultural Science & Technology of Kashmir, Srinagar","01","2015","true","02","010"
"0229","Karnataka State Women University, Bijapur","29","2015","true","02","557"
"0245","University  of Horticultural Sciences, Bagalkot","29","2015","true","02","556"
"0265","Shree Sankaracharya Univeristy of Sanskrit, Kalady","32","2015","true","02","595"
"0300","Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri","27","2015","true","02","528"
"0315","Mahatma Phule Krishi Vidyapeeth, Rahuri","27","2015","true","02","522"
"0343","Institute of Chartered Financial Analysts of India University, Meghalaya","17","2015","true","03","293"
"0410","Malviya National Institute of Technology, Jaipur","08","2015","true","07","110"
"0449","Central University of Tamil Nadu, Tiruvarur","33","2015","true","01","619"
"0457","Indian Maritime University","33","2015","true","01","603"
"0450","Chennai Mathematical  Institue, Chennai","33","2015","true","06","603"
"0642","SHIV NADAR UNIVERSITY","09","2015","true","03","141"
"0661","SWAMI VIVEKANANDA UNIVERSITY","23","2015","true","03","427"
"0662","ORIENTAL UNIVERSITY","23","2015","true","03","439"
"0663","INDUS UNIVERSITY","24","2015","true","03","473"
"0664","INDIAN INSTITUTE OF TEACHER EDUCATION, GANDHINAGAR","24","2015","true","02","473"
"0665","TAMIL NADU FISHERIES UNIVERSITY","33","2015","true","02","618"
"0666","BABA MASTNATH UNIVERSITY","06","2015","true","03","082"
"0453","Gandhigram Rural Institute, Dindigul","33","2015","true","05","612"
"0491","Vels Institute of Science, Technology and Advanced Studies, Chennai","33","2015","true","06","604"
"0448","Bharathidasan University, Tiruchirappalli","33","2015","true","02","614"
"0451","Chettinad Academy of Research & Education, Kancheepuram","33","2015","true","06","604"
"0452","Dakshina Bharat Hindi Prachar Sabha","33","2015","true","07","603"
"0454","Hindustan Institute of Technology and Science, Kancheepuram","33","2015","true","06","604"
"0456","Indian Institute of Technology, Chennai","33","2015","true","07","603"
"0458","Kalasalingam Academy of Research and Higher Education, Srivilliputhrur","33","2015","true","06","625"
"0459","Karpagam Academy of Higher Education, Coimbatore","33","2015","true","06","632"
"0460","Karunya Institute of Technology and Sciences, Coimbatore","33","2015","true","06","632"
"0461","M.G.R. Educational and Research Institute, Chennai","33","2015","true","06","602"
"0462","Madras University, Chennai","33","2015","true","02","603"
"0463","Madurai Kamraj University, Madurai","33","2015","true","02","623"
"0465","Meenakshri Academy of Higher Education and Research, Chennai","33","2015","true","06","603"
"0466","Mother Teresa Women's University, Kodaikanal","33","2015","true","02","612"
"0467","National Institute of Technology, Tiruchirapalli","33","2015","true","07","614"
"0468","Noorul Islam Centre for Higher Education, Kanyakumari","33","2015","true","06","629"
"0469","Periyar Maniammal Institute of Science & Technoloyg, Thanjavur","33","2015","true","06","620"
"0470","Periyar University, Salem","33","2015","true","02","608"
