"university_id","survey_year","teaching_staff_id"
"0316","2015","1192569"
"0316","2015","1192570"
"0316","2015","1192571"
"0316","2015","1192572"
"0316","2015","1192573"
"0316","2015","1192574"
"0316","2015","1192575"
"0316","2015","1192576"
"0316","2015","1192577"
"0316","2015","1192578"
"0316","2015","1192579"
"0316","2015","1192580"
"0316","2015","1192581"
"0316","2015","1192582"
"0316","2015","1192583"
"0316","2015","1192584"
"0316","2015","1192585"
"0316","2015","1192586"
"0316","2015","1192587"
"0316","2015","1192588"
"0316","2015","1192589"
"0316","2015","1192590"
"0316","2015","1192591"
"0316","2015","1192592"
"0316","2015","1192593"
"0379","2015","1192826"
"0379","2015","1192827"
"0379","2015","1192828"
"0160","2015","1192619"
"0160","2015","1192620"
"0160","2015","1192621"
"0146","2015","888921"
"0627","2015","890492"
"0627","2015","890493"
"0627","2015","890494"
"0045","2015","898766"
"0045","2015","898767"
"0045","2015","898768"
"0045","2015","898769"
"0045","2015","898770"
"0045","2015","898771"
"0045","2015","898772"
"0045","2015","898773"
"0045","2015","898774"
"0045","2015","898775"
"0045","2015","898776"
"0045","2015","898777"
"0045","2015","898778"
"0045","2015","898779"
"0045","2015","898780"
"0045","2015","898781"
"0045","2015","898782"
"0045","2015","898783"
"0045","2015","898784"
"0045","2015","898785"
"0045","2015","898786"
"0045","2015","898787"
"0045","2015","898788"
"0045","2015","898789"
"0045","2015","898790"
"0045","2015","898791"
"0750","2015","900359"
"0750","2015","900360"
"0750","2015","900361"
"0750","2015","900362"
"0750","2015","900363"
"0750","2015","900364"
"0750","2015","900365"
"0750","2015","900366"
"0750","2015","900367"
"0750","2015","900368"
"0750","2015","900369"
"0750","2015","900370"
"0750","2015","900371"
"0471","2015","901328"
"0471","2015","901329"
"0471","2015","901330"
"0471","2015","901331"
"0471","2015","901332"
"0471","2015","901333"
"0471","2015","901334"
"0471","2015","901335"
"0471","2015","901336"
"0471","2015","901337"
"0471","2015","901338"
"0471","2015","901339"
"0471","2015","901340"
"0471","2015","901341"
"0471","2015","901342"
"0471","2015","901343"
"0471","2015","901344"
"0471","2015","901345"
"0471","2015","901346"
"0471","2015","901347"
"0471","2015","901348"
"0471","2015","901349"
"0471","2015","901350"
"0505","2015","901387"
"0505","2015","901388"
"0505","2015","901389"
