"id","name","university_id","district_code","state_code","type_id","survey_year","is_dcf_applicable"
"5935","Shri R. P. Arts, Shri K. B. Commerce and Smt. B. C. J. Science College","0148","482","24","1","2015","true"
"13021","Swift College","0408","122","08","1","2015","true"
"13022","R.S.V.V.S.P.S. College","0408","119","08","1","2015","true"
"5795","U. T. S. Mahila Arts College","0148","483","24","1","2015","true"
"52973","M D College","0510","176","09","1","2015","true"
"53088","Tawi College","0382","642","03","1","2015","true"
"53230","G. D. College","0576","333","19","1","2015","true"
"53244","MR COLLEGE","0590","337","19","1","2015","true"
"53307","S B COLLEGE","0276","422","23","1","2015","true"
"53996","G D C Muwani","0562","062","05","1","2015","true"
"987","SHASHTRI SWAMI DHAMJIVANDASJI B.ED.COLLEGE-UNA","0783","479","24","1","2015","true"
"54279","B R COLLEGE","0422","111","08","1","2015","true"
"54333","Atma College","0215","572","29","1","2015","true"
"5965","Divya Drashti B. Ed. College","0782","484","24","1","2015","true"
"896","SHREE SHARDAPEETH ARTS,COMM.& EDUCATION COLLEGE-DWARKA","0783","669","24","1","2015","true"
"5842","Government Arts & Commerce, Naswadi","0782","486","24","1","2015","true"
"6019","J. K. Desai B.Ed. College","0782","485","24","1","2015","true"
"6014","J. & R. B. Ed. College","0782","485","24","1","2015","true"
"54355","V C I COLLEGE","0406","102","08","1","2015","true"
"54400","Media Tack ","0629","444","23","1","2015","true"
"54571","D D COLLEGE  ","0717","060","05","1","2015","true"
"54634","GDC TAKIPUR","0183","024","02","1","2015","true"
"54652","GFGC RAMPUR","0602","556","29","1","2015","true"
"54687","GFGC TALAKADU","0235","577","29","1","2015","true"
"54795","GDC Amrabad","0028","538","36","3","2015","false"
"870","SHRI ARJUN ARTS & B.S.W.COLLEGE-SUPASI (TA.VERAVAL)","0783","479","24","1","2015","true"
"19316","SHRI ARJUN B.ED. COLLEGE-SUPASI","0783","479","24","1","2015","true"
"964","SHRI D.M. BARAD ARTS & COMMERCE GHUSIA(GIR)","0783","479","24","1","2015","true"
"54897","RANI AVANTI BAI LODHI COLLEGE CHHINDWARA","0283","455","23","3","2015","true"
"806","SHRI J.B. BARAD B.ED. COLLEGE, SUTRAPADA","0783","479","24","1","2015","true"
"811","SHRI MATRUVANDAN B.ED. COLLEGE, SIMAR (KIDIVAV)","0783","479","24","1","2015","true"
"858","SHRI SARASWATI COLLEGE OF EDUCATION -GIR GADHADA(UNA)","0783","479","24","1","2015","true"
"791","SHRI UKABHAI DODIYA MAHILA B.ED. COLLEGE, VERAVAL","0783","479","24","1","2015","true"
"951","SHRI V.J.SOLANKI B.ED. COLLEGE-KODINAR","0783","479","24","1","2015","true"
"855","SMT. C.P. CHOKSI ARTS & SHREE P.L. CHOKSI COMMERCE COLLEGE, VERAVAL","0783","479","24","1","2015","true"
"1038","SMT. V.B. NANDOLA B.ED. COLLEGE, BHACHA TA.UNA","0783","479","24","1","2015","true"
