"id","count_by_category_id"
"102450","5012191"
"112408","5471653"
"113488","5525025"
"102378","5009067"
"99062","4852608"
"111491","5433354"
"109319","5345080"
"88069","4404114"
"107754","5268945"
"115115","5591349"
"107636","5262088"
"85386","4308820"
"87323","4376886"
"99279","4866925"
"106846","5228487"
"112516","5476382"
"95504","4703196"
"101352","4958815"
"93727","4632276"
"105166","5144922"
"97631","4788813"
"103669","5071364"
"111523","5434261"
"113738","5533803"
"83964","4260253"
"85930","4328745"
"115147","5592771"
"88017","4402201"
"93172","4611416"
"96104","4726053"
"99394","4872419"
"99579","4879261"
"108213","5292698"
"111080","5419763"
"93780","4634213"
"94372","4659731"
"115006","5587129"
"107207","5242681"
"110771","5408042"
"84882","4293249"
"102680","5025976"
"91745","4553426"
"92950","4603204"
"109648","5359143"
"103268","5053875"
"104145","5091036"
"114049","5548072"
"115280","5597684"
"110644","5403225"
"104771","5121023"
"99525","4877364"
"106538","5215515"
"95232","4692447"
"90884","4514710"
"93402","4620079"
"93211","4613516"
"103288","5054695"
"101564","4968207"
"97645","4789453"
"101426","4962395"
"109363","5347456"
"113329","5516230"
"99312","4868814"
"109853","5366274"
"112455","5473634"
"87980","4400681"
"114776","5574888"
"85206","4303321"
"101195","4950448"
"91304","4531530"
"95870","4716821"
"111663","5439715"
"87881","4396801"
"87204","4373118"
"96814","4755757"
"91111","4524611"
"113892","5539402"
"95149","4689261"
"105618","5168247"
"91723","4552410"
"96068","4724710"
"84089","4265919"
"99668","4882353"
"88073","4404566"
"84774","4289249"
"94913","4681140"
"95256","4693242"
"99174","4859089"
"105045","5135416"
"104430","5104492"
"92066","4567459"
"100746","4932279"
"113754","5534346"
"101362","4959163"
"96052","4724136"
"109777","5363645"
"103604","5067570"
"97204","4771663"
"89914","4475176"
"90832","4513114"
"95061","4686289"
"83373","4240229"
"105852","5180344"
"93737","4632901"
"111339","5428168"
"96614","4747553"
"113822","5536960"
"108705","5315613"
"100435","4917988"
"86887","4362245"
"104366","5101162"
"94763","4674346"
"103847","5078941"
"91548","4542942"
"88303","4411625"
"114760","5573328"
"102780","5031621"
"99412","4873074"
"107123","5239493"
"95107","4687709"
"105170","5145507"
"109031","5329060"
"98996","4850026"
"110637","5403038"
"99376","4871705"
"113250","5512265"
"85102","4300402"
"87709","4390808"
"91868","4559885"
"104792","5122119"
"96295","4734735"
"92261","4574617"
"109985","5370496"
"109816","5365131"
"115068","5589813"
"107326","5248613"
"115637","5621773"
"97491","4782550"
"99553","4878129"
"106576","5217571"
"105110","5141955"
"89227","4447929"
"84809","4290714"
"95793","4713918"
"103338","5056500"
"111509","5433769"
"113261","5512693"
"86228","4338900"
"92932","4602729"
"111937","5450436"
"98557","4830531"
"92352","4578661"
"115360","5601578"
"109823","5365333"
"112592","5479317"
"101109","4946708"
"106281","5201399"
"92268","4574800"
"106981","5233836"
"114098","5550238"
"109784","5364123"
"90924","4516000"
"114988","5585373"
"98763","4838710"
"110133","5377119"
"105856","5180548"
"109663","5359667"
"96211","4731537"
"90291","4490722"
"95436","4700278"
"103700","5073014"
"104658","5115782"
"109809","5364927"
"88970","4439331"
"97641","4789359"
"109585","5356927"
"115567","5611479"
"103795","5076722"
"84369","4275531"
"102040","4990027"
"102521","5019038"
"92590","4589294"
"102805","5032687"
"112504","5475978"
"109174","5337740"
"110474","5389606"
"96947","4760566"
"89918","4475477"
"90556","4503673"
"85264","4305042"
"105125","5142717"
"108715","5316674"
"105906","5183274"
"115695","5626576"
"109826","5365445"
"88955","4438910"
"114715","5571153"
"87929","4398464"
"98005","4806181"
"86038","4332087"
"91523","4541670"
"105766","5175667"
"97137","4769130"
"88241","4409030"
"107669","5264856"
"108946","5325220"
"95497","4702704"
"99766","4888308"
"85078","4299331"
"108783","5318737"
"105854","5180448"
"85627","4317716"
"104273","5096780"
"115288","5597800"
"91308","4531726"
"94321","4657632"
"114501","5562528"
"92826","4598246"
"94669","4670493"
"109831","5365567"
"91447","4538088"
"88910","4437309"
"90213","4487459"
"100497","4920675"
"104930","5129402"
"88892","4436426"
"87012","4366075"
"110401","5387132"
"102932","5039573"
"90822","4512845"
"112557","5477785"
"115434","5605874"
"87083","4368438"
"113961","5543232"
"100001","4900209"
"89329","4451715"
"94840","4678121"
"93882","4639346"
"110791","5408886"
"101953","4986144"
"97999","4805988"
"95795","4713975"
"86382","4343648"
"100599","4924995"
"87289","4375888"
"109999","5371181"
"112509","5476156"
"102101","4993830"
"84187","4269579"
"115037","5588450"
"106198","5196622"
"112463","5473851"
"102380","5009147"
"90234","4488561"
"90344","4492678"
"94503","4664605"
"84370","4275588"
"90506","4502188"
"93064","4607470"
"112118","5457309"
"86713","4355752"
"97984","4805356"
"113832","5537248"
"104191","5093199"
"114658","5568670"
"102495","5017164"
"102631","5024159"
"98538","4829766"
"111462","5432293"
"101116","4947100"
"87863","4396228"
"98819","4842124"
"105551","5165091"
"85410","4309923"
"101643","4971644"
"96536","4744093"
"99261","4865767"
"98304","4819566"
"103744","5074936"
"97658","4789997"
"105349","5154091"
"107936","5278790"
"114626","5567303"
"112321","5467875"
"111355","5428765"
"109543","5354962"
"93014","4605514"
"101215","4951584"
"85831","4324869"
"83953","4259976"
"90958","4517271"
"115320","5599006"
"100631","4926789"
"94447","4662665"
"93640","4629247"
"101906","4983859"
"110678","5404194"
"110883","5411916"
"84786","4290114"
"93833","4636958"
"99287","4867298"
"96236","4732696"
"101177","4949520"
"88943","4438633"
"96914","4759550"
"86841","4360553"
"114517","5562793"
"99010","4850438"
"110639","5403056"
"102880","5036310"
"113323","5515985"
"112718","5484636"
"109181","5338178"
"97216","4772099"
"104829","5124241"
"87341","4377489"
"98432","4825472"
"109218","5339804"
"90152","4484550"
"85561","4315139"
"86877","4361909"
"89408","4454995"
"83380","4240489"
"88517","4420751"
"108117","5287711"
"90475","4499256"
"92734","4594612"
"111254","5425074"
"103998","5085068"
"115342","5600542"
"112171","5459979"
"102189","4999594"
"112136","5458005"
"94265","4655260"
"100333","4912702"
"114539","5563643"
"105408","5157007"
"103277","5054299"
"89852","4473036"
"95852","4716169"
"96971","4761388"
"88421","4416519"
"104393","5102553"
"101896","4983289"
"101236","4953800"
"107696","5265952"
"84181","4269200"
"91208","4527912"
"111045","5418361"
"98507","4828735"
"113538","5526550"
"89159","4445959"
"100416","4917073"
"99472","4875031"
"113647","5530766"
"86736","4356717"
"91293","4531092"
"95958","4720505"
"101913","4984039"
"104174","5092525"
"101326","4957646"
"95696","4710178"
"102596","5022698"
"85118","4300818"
"108967","5327029"
"113311","5515523"
"102726","5028259"
"104889","5127291"
"99471","4875006"
"109808","5364753"
"115611","5613683"
"90852","4513831"
"101388","4960631"
"90603","4505246"
"89882","4473806"
"88388","4414757"
"108127","5288165"
"87589","4385780"
"114975","5584685"
"85251","4304710"
"88319","4412123"
"101545","4967568"
"107811","5271185"
"112233","5463643"
"92659","4592146"
"109104","5333873"
"88208","4408128"
"100077","4902686"
"105789","5176885"
"113131","5506666"
"108287","5296974"
"89451","4457318"
"104192","5093205"
"112981","5500178"
"94921","4681373"
"100149","4905519"
"106811","5227425"
"92678","4592814"
"106544","5215826"
"103793","5076684"
"96733","4752868"
"114946","5583103"
"99227","4861578"
"97598","4787478"
"107835","5272918"
"115140","5592517"
"87207","4373232"
"94246","4654658"
"105543","5164659"
"88605","4423611"
"99193","4860067"
"96543","4744211"
"89891","4474200"
"100272","4910521"
"93740","4632959"
"107563","5258599"
"98792","4840820"
"104126","5090140"
"98547","4830073"
"109022","5328708"
"114555","5564151"
"84178","4269150"
"112325","5467952"
"84988","4296336"
"93491","4624175"
"103281","5054514"
"93033","4606303"
"103389","5058401"
"103124","5047416"
"90339","4492427"
"98383","4823346"
"101999","4988012"
"87459","4381470"
"83816","4255713"
"92251","4574281"
"105471","5161076"
"106749","5224943"
"112586","5478742"
"113782","5535250"
"92927","4602552"
"85015","4297384"
"85622","4317384"
"112315","5467688"
"91567","4543943"
"85759","4322149"
"92695","4593290"
"115166","5593536"
"91120","4524903"
"109570","5356421"
"100590","4924653"
"90102","4482346"
"94830","4677716"
"108579","5308959"
"109770","5363210"
"112542","5477234"
"83763","4254179"
"108487","5303581"
"94187","4652575"
"83783","4254633"
"86824","4360173"
"88390","4414822"
"96926","4759760"
"101984","4987372"
"115521","5609182"
"96056","4724229"
"112808","5490743"
"88527","4421042"
"107872","5274395"
"111160","5422288"
"114897","5581144"
"104818","5123576"
"100071","4902547"
"101810","4979289"
"114373","5557592"
"93716","4631957"
"98396","4823908"
"102798","5032412"
"94731","4672794"
"112383","5470354"
"111197","5423349"
"111326","5427559"
"111381","5429897"
"101885","4982906"
"101534","4966819"
"102791","5031968"
"103189","5049975"
"87085","4368460"
"94565","4665737"
"89066","4442266"
"94623","4668421"
"105415","5157216"
"84461","4278035"
"86622","4352283"
"102348","5007670"
"106496","5213839"
"102327","5006510"
"107542","5257798"
"95683","4709506"
"104747","5120031"
"85258","4304943"
"98685","4835592"
"101501","4965433"
"89330","4451728"
"88750","4429108"
"113572","5528008"
"109160","5337018"
"115742","5629637"
"91126","4525228"
"91315","4532391"
"95250","4693088"
"112297","5467118"
"110211","5380318"
"113188","5509150"
"86911","4362997"
"107058","5236728"
"93717","4631974"
"99230","4861671"
"89786","4470324"
"89566","4461472"
"103519","5063891"
"110667","5403959"
"100439","4918253"
"85695","4319662"
"107564","5258643"
"97288","4774650"
