"id","non_teaching_staff","teaching_staff","total"
"47250","1","3","4"
"46692","1","7","8"
"44279","8","40","48"
"50318","66","87","153"
"43259","2","3","5"
"49320","2","26","28"
"46650","10","20","30"
"45048","15","20","35"
"43580","2","6","8"
"44359","1","0","1"
"53041","4","9","13"
"53170","27","14","41"
"53394","200","236","436"
"44285","2","0","2"
"48310","5","21","26"
"46407","4","1","5"
"54681","6","4","10"
"45976","2","2","4"
"43021","4","6","10"
"51061","14","43","57"
"42991","","","35"
"54229","6","10","16"
"48511","13","19","32"
"42369","3","6","9"
"54758","4","5","9"
"46930","1","2","3"
"48306","1","1","2"
"43676","0","1","1"
"47592","2","3","5"
"50738","1","1","2"
"44441","1","1","2"
"46928","3","4","7"
"48944","55","17","72"
"45007","20","97","117"
"51101","18","6","24"
"50191","3","16","19"
"45725","3","4","7"
"49417","19","45","64"
"45216","3","5","8"
"49261","4","6","10"
"43005","9","1","10"
"49030","6","5","11"
"49709","8","17","25"
"45986","0","5","5"
"44588","2","11","13"
"45044","27","40","67"
"48222","15","27","42"
"43986","1","1","2"
"49058","8","17","25"
"55575","4","5","9"
"44705","2","4","6"
"49365","15","6","21"
"52284","5","10","15"
"43984","36","37","73"
"51727","1","2","3"
"52970","5","15","20"
"45925","5","10","15"
"50370","4","8","12"
"50138","3","4","7"
"50327","10","5","15"
"52675","4","8","12"
"46270","4","18","22"
"45064","4","5","9"
"52224","0","39","39"
"45053","3","7","10"
"45083","5","13","18"
"50993","39","15","54"
"52049","4","5","9"
"50544","70","48","118"
"42461","4","10","14"
"46118","4","8","12"
"55192","2","0","2"
"46151","6","9","15"
"46376","2","4","6"
"55210","0","2","2"
"48320","12","12","24"
"49800","20","20","40"
"55312","373","382","755"
"46355","1","1","2"
"51080","10","10","20"
"51760","9","10","19"
"47777","1","5","6"
"50334","10","12","22"
"52264","5","20","25"
"54559","2","2","4"
"49166","67","12","79"
"50256","2","4","6"
"53855","6","14","20"
"43758","7","41","48"
"49415","0","3","3"
"55513","7","4","11"
"45108","1","4","5"
"47401","5","5","10"
"48029","104","64","168"
"51662","3","5","8"
"42271","1","1","2"
"55654","4","0","4"
"46209","1","2","3"
"50754","7","9","16"
"51285","4","5","9"
"49672","6","1","7"
"42248","8","8","16"
"47994","8","3","11"
"51577","5","8","13"
"45117","4","24","28"
"52655","36","24","60"
"52997","7","12","19"
"53251","31","43","74"
"51963","6","1","7"
"55495","2","6","8"
"44025","5","10","15"
"45575","0","36","36"
"45609","0","1","1"
"49369","50","100","150"
"53166","141","19","160"
"52616","6","10","16"
"52095","25","205","230"
"55007","5","6","11"
"49447","5","21","26"
"50006","2","0","2"
"46555","2","5","7"
"45684","6","9","15"
"48453","5","0","5"
"51532","0","17","17"
"42081","0","2","2"
"46028","26","17","43"
"49209","6","15","21"
"45499","4","8","12"
"55805","1","0","1"
"53819","8","16","24"
"53205","5","13","18"
"47342","2","4","6"
"47227","2","15","17"
"48033","104","65","169"
"48334","11","18","29"
"45137","14","26","40"
"46825","5","8","13"
"42439","0","1","1"
"45859","3","4","7"
"53372","59","86","145"
"46048","0","6","6"
"47856","5","25","30"
"50962","","","83"
"49896","3","6","9"
"55418","0","4","4"
"48805","0","5","5"
"51026","7","0","7"
"53443","1","2","3"
"49288","7","22","29"
"54000","8","11","19"
"46324","0","20","20"
"47054","0","8","8"
"47952","0","8","8"
"48191","2","4","6"
"55796","6","12","18"
"52232","7","18","25"
"53828","24","19","43"
"53834","10","5","15"
"48251","84","20","104"
"44523","3","1","4"
"55678","20","49","69"
"50814","36","74","110"
"45592","1","0","1"
"45116","6","8","14"
"55491","1","1","2"
"51160","10","27","37"
"47124","13","18","31"
"45502","2","2","4"
"50812","2","7","9"
"53868","17","18","35"
"51823","4","5","9"
"55864","4","9","13"
"54386","2","0","2"
"47985","27","63","90"
"52213","34","57","91"
"44065","22","0","22"
"54299","5","7","12"
"45727","10","28","38"
"48988","7","7","14"
"45176","5","9","14"
"45208","3","7","10"
"47395","54","10","64"
"44655","8","13","21"
"46973","7","18","25"
"54072","10","16","26"
"42128","5","9","14"
"44366","7","7","14"
"48019","7","7","14"
"50366","0","1","1"
"55429","2","6","8"
"46970","9","12","21"
"55729","12","0","12"
"55882","8","16","24"
"45336","1","2","3"
"46492","9","15","24"
"44020","4","4","8"
"55149","10","4","14"
"45291","5","7","12"
"42144","7","15","22"
"42251","3","5","8"
"55193","150","250","400"
"53484","4","6","10"
"51320","3","7","10"
"54708","18","32","50"
"55225","4","11","15"
"48850","72","44","116"
"43152","1","0","1"
"43688","89","115","204"
"50390","10","25","35"
"52474","0","8","8"
"55332","299","56","355"
"52198","2","2","4"
"51744","3","23","26"
"45839","4","0","4"
"53113","48","56","104"
"42542","3","3","6"
"45049","2","2","4"
"42817","0","10","10"
"47458","5","5","10"
"51746","40","35","75"
"50838","50","75","125"
"53957","2","7","9"
"47931","2","6","8"
"53628","37","35","72"
"53915","15","33","48"
"46804","1","1","2"
"54715","5","9","14"
"46981","12","14","26"
"48774","4","2","6"
"52291","5","7","12"
"54036","6","10","16"
"47851","6","10","16"
"53587","5","4","9"
"47523","7","16","23"
"45767","3","3","6"
"47292","5","5","10"
"49738","0","2","2"
"50448","9","13","22"
"50192","1","3","4"
"44481","57","64","121"
"46193","3","10","13"
"45796","6","8","14"
"43364","11","12","23"
"51244","1","1","2"
"51690","10","14","24"
"50232","105","165","270"
"53412","7","13","20"
"42908","7","1","8"
"51745","0","14","14"
"55086","50","81","131"
"46022","8","14","22"
"46888","0","1","1"
"52141","3","6","9"
"42093","10","16","26"
"42113","1","1","2"
"54369","18","48","66"
"52893","35","130","165"
"47134","2","13","15"
"54813","1","3","4"
"49406","80","72","152"
"46747","2","2","4"
"54491","0","6","6"
"43091","5","10","15"
"48032","2","3","5"
"50224","89","180","269"
"45016","3","3","6"
"50804","3","7","10"
"46015","1","0","1"
"55089","10","10","20"
"52733","44","24","68"
"44221","0","1","1"
"54240","21","15","36"
"43141","12","9","21"
"52247","6","18","24"
"42402","12","6","18"
"55428","6","8","14"
"44091","8","8","16"
"55065","46","66","112"
"55674","3","7","10"
"45862","7","5","12"
"47126","0","6","6"
"47272","1","1","2"
"44300","1","2","3"
"44343","7","17","24"
"47094","8","11","19"
"54250","4","7","11"
"54401","1","0","1"
"48922","5","14","19"
"51554","3","10","13"
"51200","2","5","7"
"45094","0","12","12"
"53561","1","1","2"
"43825","6","12","18"
"44419","2","1","3"
"47758","2","2","4"
"55726","2","1","3"
"42484","2","12","14"
"42513","4","6","10"
"47874","5","10","15"
"49902","339","98","437"
"48034","6","4","10"
"50304","8","16","24"
"52788","12","12","24"
"45124","2","3","5"
"46681","2","6","8"
"43885","36","36","72"
"51708","7","8","15"
"55326","20","18","38"
"55344","16","9","25"
"54627","12","0","12"
"42880","2","5","7"
"55696","5","6","11"
"46889","5","10","15"
"48854","5","6","11"
"51953","1","0","1"
"52591","15","15","30"
"55367","0","6","6"
"49788","8","12","20"
"51736","2","7","9"
"47636","28","65","93"
"46020","25","25","50"
"50590","6","10","16"
"55663","21","13","34"
"49102","1","0","1"
"46778","12","6","18"
"49853","15","5","20"
"45844","3","5","8"
"48961","0","5","5"
"49291","6","7","13"
"54150","16","24","40"
"51360","8","13","21"
"53513","9","11","20"
"44763","3","4","7"
"47552","11","11","22"
"53926","2","6","8"
"46337","4","7","11"
"47885","18","18","36"
"46644","0","1","1"
"47109","2","8","10"
"48870","50","73","123"
"49093","4","16","20"
"44041","1","1","2"
"44153","6","12","18"
"44638","24","26","50"
"45112","12","12","24"
"54320","3","8","11"
"44350","3","7","10"
"45239","16","18","34"
"50585","5","0","5"
"48219","2","0","2"
"46975","297","612","909"
"48808","8","18","26"
"53722","1","8","9"
"43543","40","21","61"
"47258","6","3","9"
"52680","0","7","7"
"53355","8","18","26"
"55531","5","5","10"
"46240","2","1","3"
"45922","30","98","128"
"42336","3","7","10"
"43078","15","42","57"
"44995","0","7","7"
"47331","8","9","17"
"47423","3","6","9"
"53307","8","12","20"
"55407","3","9","12"
"51714","3","4","7"
"52882","2","3","5"
"55359","4","6","10"
"46056","11","15","26"
"55039","104","54","158"
"52971","0","3","3"
"53172","3","2","5"
"53984","6","1","7"
"44018","1","1","2"
"55048","43","43","86"
"46870","5","13","18"
"44062","4","20","24"
"45785","6","0","6"
"50638","15","31","46"
"49760","12","10","22"
"51550","0","2","2"
"53253","1","1","2"
"44154","24","16","40"
"51906","6","8","14"
"53135","11","15","26"
"54175","4","12","16"
"55468","5","8","13"
"55785","7","21","28"
"52741","8","9","17"
"50867","38","30","68"
"48641","9","54","63"
"42458","3","8","11"
"45042","4","9","13"
"49554","7","5","12"
"53348","9","15","24"
"55296","2","3","5"
"52832","5","13","18"
"54618","24","16","40"
"46476","3","0","3"
"50532","15","16","31"
"55517","9","5","14"
"45516","1","1","2"
"53065","4","16","20"
"45065","15","35","50"
"50344","6","6","12"
"47034","4","4","8"
"45194","6","30","36"
"55124","11","10","21"
"46581","21","38","59"
"43854","3","0","3"
"46053","11","9","20"
"47977","1","2","3"
"50953","18","61","79"
"48668","28","17","45"
"42912","5","10","15"
"46510","5","7","12"
"54833","6","23","29"
"47104","4","8","12"
"48716","5","5","10"
"53003","11","11","22"
"49905","10","8","18"
"53259","192","143","335"
"51855","10","20","30"
"52559","30","32","62"
"54586","4","7","11"
"54789","0","5","5"
"50564","4","0","4"
"42347","3","0","3"
"52665","3","5","8"
"49452","18","3","21"
"45942","35","25","60"
"53270","10","10","20"
"47167","0","8","8"
"50054","2","5","7"
"50170","2","2","4"
"43952","1","0","1"
"51071","3","0","3"
"46170","4","4","8"
"48898","10","2","12"
"50798","1","1","2"
"54980","0","8","8"
"54244","3","5","8"
"52526","62","153","215"
"46246","45","116","161"
"49956","4","4","8"
"46082","5","36","41"
"48142","2","3","5"
"48237","8","16","24"
"46607","6","6","12"
"53445","2","25","27"
"50240","5","5","10"
"42962","15","12","27"
"45145","10","13","23"
"44931","30","36","66"
"55931","2","1","3"
"42678","4","6","10"
"52145","4","6","10"
"53297","7","12","19"
"43222","1","3","4"
"43131","1","3","4"
"49219","10","15","25"
"43924","5","15","20"
"48682","4","8","12"
"52164","1","0","1"
"52985","3","5","8"
"45441","88","18","106"
"49968","14","15","29"
"52938","100","50","150"
"55664","53","29","82"
"55399","1","2","3"
"55704","2","2","4"
"50315","170","214","384"
"43099","2","6","8"
"49399","9","5","14"
"55328","20","50","70"
"50033","1","3","4"
"45561","4","2","6"
"44174","2","6","8"
"55050","230","160","390"
"50488","8","27","35"
"42348","5","3","8"
"47356","2","10","12"
"49029","30","60","90"
"45097","5","4","9"
"50180","8","14","22"
"51598","9","5","14"
"43534","10","16","26"
"46884","2","1","3"
"46074","2","0","2"
"55818","2","1","3"
"51391","2","7","9"
"55162","2","11","13"
"46965","297","612","909"
"53062","1","3","4"
"46418","1","3","4"
"50826","4","0","4"
"55794","13","17","30"
"51273","65","388","453"
"42565","0","7","7"
"46543","2","4","6"
"53565","4","6","10"
"55716","0","2","2"
"49682","4","0","4"
"54831","7","7","14"
"54909","0","3","3"
"55043","2","8","10"
"47519","100","150","250"
"48241","0","2","2"
"44247","7","13","20"
"55049","4","2","6"
"43486","8","10","18"
"54451","4","9","13"
"50695","6","10","16"
"53786","0","1","1"
"45735","46","107","153"
"42314","8","0","8"
"49722","2","0","2"
"50579","0","4","4"
"55437","0","2","2"
"42892","2","2","4"
"49563","24","13","37"
"46514","18","23","41"
"51782","4","5","9"
"44911","16","1","17"
"43237","10","32","42"
"46459","5","10","15"
"45115","12","5","17"
"49284","0","7","7"
"55496","50","11","61"
"47351","0","39","39"
"54943","0","1","1"
"50690","7","32","39"
"46051","5","12","17"
"55270","3","0","3"
"47827","2","10","12"
"48445","12","7","19"
"54877","2","7","9"
"42520","4","6","10"
"51081","10","32","42"
"53516","10","28","38"
"43443","5","0","5"
"45899","1","4","5"
"48684","7","6","13"
"42476","0","2","2"
"48467","5","8","13"
"50466","25","17","42"
"52962","11","11","22"
"45858","5","15","20"
"45888","4","7","11"
"51926","348","52","400"
"44286","0","2","2"
"54679","6","3","9"
"43145","1","2","3"
"50855","36","81","117"
"52037","5","3","8"
"54636","12","10","22"
"43313","1","2","3"
"54356","8","12","20"
"45025","4","6","10"
"42107","0","3","3"
"49183","10","15","25"
"50543","0","4","4"
"44171","7","21","28"
"48226","3","1","4"
"51319","2","10","12"
"44163","0","1","1"
"47138","1","2","3"
"52260","0","3","3"
"46730","15","45","60"
"52267","7","4","11"
"51858","0","2","2"
"52558","24","12","36"
"46088","4","8","12"
"53936","4","4","8"
"46836","4","6","10"
"47042","11","7","18"
"52520","25","17","42"
"52273","197","26","223"
"53162","111","110","221"
"45768","4","6","10"
"44256","3","78","81"
"48440","1","0","1"
"46964","8","1","9"
"50387","6","6","12"
"44997","16","11","27"
"48303","9","30","39"
"46865","10","55","65"
"45385","3","0","3"
"48126","10","10","20"
"52621","6","7","13"
"47556","16","16","32"
"52695","11","3","14"
"45334","1","2","3"
"48458","2","2","4"
"47962","30","32","62"
"50555","0","1","1"
"51620","6","24","30"
"45874","8","7","15"
"43168","4","5","9"
"52909","2","2","4"
"43752","1","0","1"
"46003","62","18","80"
"51981","4","14","18"
"46140","0","2","2"
"42707","17","15","32"
"52286","0","6","6"
"49157","1","3","4"
"49785","2","30","32"
"53773","3","7","10"
"47833","2","7","9"
"50107","5","14","19"
"43711","0","6","6"
"45967","1","1","2"
"48548","3","7","10"
"47105","2","4","6"
"45091","5","6","11"
"55717","19","24","43"
"54068","4","9","13"
"44370","10","7","17"
"47418","7","18","25"
"51939","149","29","178"
"55649","5","8","13"
"47420","12","12","24"
"47554","1","5","6"
"53219","5","5","10"
"48860","10","20","30"
"49266","4","21","25"
"50622","132","62","194"
"52704","6","20","26"
"53295","226","116","342"
"49074","3","3","6"
"47257","4","6","10"
"53004","2","5","7"
"55453","3","4","7"
"51998","6","14","20"
"43966","4","14","18"
"47435","6","10","16"
"45037","1","1","2"
"52373","1","1","2"
"55702","1","0","1"
"44802","12","15","27"
"51357","32","26","58"
"48132","4","3","7"
"49236","11","16","27"
"46216","5","8","13"
"51196","3","6","9"
"51666","30","27","57"
"48475","2","6","8"
"52794","120","70","190"
"46263","1","1","2"
"53659","2","5","7"
"44406","5","12","17"
"46507","8","14","22"
"50331","0","2","2"
"47431","5","13","18"
"48940","0","12","12"
"43248","2","3","5"
"45093","0","1","1"
"50684","2","6","8"
"46389","0","4","4"
"47306","27","0","27"
"53924","4","6","10"
"55203","74","13","87"
"45738","8","35","43"
"43570","15","6","21"
"54582","2","4","6"
"45843","5","14","19"
"53754","2","10","12"
"53905","10","0","10"
"49184","20","13","33"
"43843","1","0","1"
"43995","15","30","45"
"44490","2","3","5"
"49094","10","30","40"
"53615","1","2","3"
"43481","5","4","9"
"51695","6","2","8"
"49674","2","6","8"
"55316","16","11","27"
"55250","0","1","1"
"52846","4","3","7"
"55853","5","5","10"
"48466","2","5","7"
"52921","3","0","3"
"46745","7","18","25"
"51028","5","7","12"
"51476","2","1","3"
"45501","3","10","13"
"52006","0","4","4"
"53311","5","7","12"
"52980","14","46","60"
"44646","2","2","4"
"51118","8","10","18"
"44923","0","1","1"
"48070","3","8","11"
"47062","3","7","10"
"50857","74","181","255"
"51862","5","8","13"
"54292","8","12","20"
"47666","4","2","6"
"48044","162","191","353"
"48092","2","30","32"
"50891","8","8","16"
"42469","4","9","13"
"54649","6","12","18"
"48424","5","6","11"
"55510","12","10","22"
"49954","3","4","7"
"46030","10","5","15"
"54614","8","11","19"
"44526","0","1","1"
"54973","2","4","6"
"53185","4","6","10"
"43686","4","0","4"
"48718","4","12","16"
"51955","10","10","20"
"55275","3","8","11"
"43038","64","64","128"
"45538","0","4","4"
"51891","2","13","15"
"55113","4","2","6"
"49562","8","3","11"
"52507","4","2","6"
"51817","1","2","3"
"47528","1","4","5"
"49353","39","37","76"
"53102","3","3","6"
"53269","3","1","4"
"51453","10","3","13"
"43912","6","4","10"
"48386","0","6","6"
"54766","75","156","231"
"45076","82","54","136"
"47427","10","43","53"
"48109","8","16","24"
"46387","5","5","10"
"48577","26","56","82"
"45915","7","48","55"
"46544","2","4","6"
"52792","12","17","29"
"43081","10","2","12"
"45333","7","6","13"
"44095","16","16","32"
"46334","0","1","1"
"42508","3","6","9"
"43304","1","6","7"
"46583","5","1","6"
"50253","7","30","37"
"50594","28","14","42"
"46630","92","69","161"
"54957","3","7","10"
"47683","6","20","26"
"50874","1","2","3"
"47118","1","5","6"
"45640","3","13","16"
"45977","5","5","10"
"54662","2","2","4"
"47876","14","30","44"
"42456","80","81","161"
"48722","2","2","4"
"47594","0","12","12"
"43764","5","9","14"
"46496","1","7","8"
"52412","6","10","16"
"55909","10","25","35"
"44564","6","7","13"
"51462","10","0","10"
"44006","14","12","26"
"50112","8","24","32"
"46362","1","2","3"
"45803","6","10","16"
"53093","2","2","4"
"42781","0","5","5"
"55498","0","6","6"
"47572","14","23","37"
"49898","2","5","7"
"50419","5","13","18"
"55408","3","4","7"
"47975","8","7","15"
"45166","10","5","15"
"55834","3","0","3"
"47913","57","49","106"
"53029","10","14","24"
"43023","8","10","18"
"52834","8","30","38"
"46180","72","54","126"
"52738","17","16","33"
"47588","2","3","5"
"54118","3","2","5"
"49397","20","20","40"
"48574","0","3","3"
"48672","0","92","92"
"51556","11","8","19"
"55559","1","2","3"
"55721","4","8","12"
"47679","1","0","1"
"43857","5","8","13"
"54963","3","5","8"
"54664","2","2","4"
"49990","202","136","338"
"52171","10","2","12"
"51466","3","3","6"
"54924","3","9","12"
"51124","0","1","1"
"45771","8","17","25"
"46101","2","10","12"
"45120","5","8","13"
"55802","6","9","15"
"51146","5","10","15"
"50052","20","10","30"
"52283","78","31","109"
"44505","2","4","6"
"48305","5","5","10"
"55372","51","46","97"
"52577","23","16","39"
"43634","21","24","45"
"45073","8","4","12"
"48676","4","8","12"
"54748","152","48","200"
"46026","2","4","6"
"48059","10","12","22"
"54406","0","4","4"
"47175","1","0","1"
"53865","7","12","19"
"45125","0","2","2"
"45838","7","24","31"
"52433","15","25","40"
"54726","20","20","40"
"47303","4","2","6"
"43001","3","8","11"
"47203","2","1","3"
"46878","2","5","7"
"44457","2","3","5"
"48777","5","5","10"
"55470","2","3","5"
"53496","1","1","2"
"48149","14","22","36"
"51363","8","30","38"
"42554","4","0","4"
"48518","0","2","2"
"53662","1","1","2"
"54782","1","3","4"
"55755","9","17","26"
"52575","349","112","461"
"54762","102","39","141"
"43087","0","20","20"
"47398","4","0","4"
"48708","11","12","23"
"46040","4","1","5"
"55135","2","3","5"
"48894","50","38","88"
"50264","11","23","34"
"47027","25","30","55"
"47302","2","2","4"
"55826","21","7","28"
"51230","2","10","12"
"50229","1","1","2"
"48932","3","2","5"
"44054","13","42","55"
"49161","30","50","80"
"49910","235","121","356"
"51031","8","8","16"
"45182","1","0","1"
"46130","6","4","10"
"44012","2","3","5"
"45458","0","5","5"
"49199","12","84","96"
"49610","2","5","7"
"50296","2","3","5"
"53795","4","12","16"
"43806","2","14","16"
"46000","2","0","2"
"50647","5","10","15"
"53303","2","4","6"
"52426","5","14","19"
"49797","1","0","1"
"45834","0","7","7"
"46330","72","80","152"
"48735","0","30","30"
"48125","4","7","11"
"44336","18","2","20"
"45275","2","4","6"
"55333","40","35","75"
"49697","8","16","24"
"44144","9","8","17"
"45438","3","0","3"
"55560","5","8","13"
"50348","11","11","22"
"45587","1","0","1"
"44104","168","78","246"
"46093","5","22","27"
"47968","10","20","30"
"55233","10","17","27"
"49022","11","33","44"
"54968","0","3","3"
"51954","1","7","8"
"49326","15","9","24"
"50761","2","2","4"
"50852","49","98","147"
"55434","2","3","5"
"49248","18","62","80"
"50220","1","2","3"
"53039","8","11","19"
"55919","2","3","5"
"51092","3","5","8"
"55169","0","2","2"
"48302","8","16","24"
"44795","5","4","9"
"50249","2","0","2"
"44226","2","0","2"
"45317","10","15","25"
"51045","4","4","8"
"53406","5","15","20"
"54784","1","0","1"
"43835","6","12","18"
"47915","4","3","7"
"48123","2","5","7"
"52594","6","16","22"
"46402","8","10","18"
"50160","10","30","40"
"55023","5","10","15"
"47976","6","1","7"
"53354","1","2","3"
"52901","6","8","14"
"55034","0","1","1"
"45187","4","7","11"
"44906","4","8","12"
"44696","2","4","6"
"46610","1","2","3"
"46525","2","0","2"
"49181","90","150","240"
"51757","12","12","24"
"55927","15","12","27"
"42450","0","3","3"
"53051","4","6","10"
"42415","24","14","38"
"43723","50","50","100"
"48679","10","12","22"
"44775","3","5","8"
"43374","3","0","3"
"48074","0","14","14"
"51656","0","5","5"
"47279","1","2","3"
"53056","6","11","17"
"45667","414","145","559"
"46961","14","37","51"
"48586","7","15","22"
"50620","1","2","3"
"51006","5","0","5"
"48151","4","5","9"
"43849","2","12","14"
"53175","2","3","5"
"45141","14","9","23"
"45326","4","3","7"
"45954","15","33","48"
"52242","11","15","26"
"53111","0","1","1"
"52183","14","30","44"
"55339","22","9","31"
"52569","5","4","9"
"43211","2","6","8"
"44191","2","5","7"
"47002","12","8","20"
"52790","3","6","9"
"49544","4","15","19"
"45841","1","1","2"
"55863","12","3","15"
"42163","0","3","3"
"49448","5","10","15"
"53732","4","3","7"
"42797","10","68","78"
"47377","0","5","5"
"52543","25","25","50"
"55667","6","6","12"
"54145","5","5","10"
"53814","2","2","4"
"45008","25","36","61"
"50932","2","10","12"
"53013","32","29","61"
"54219","5","7","12"
"50969","7","12","19"
"51642","15","10","25"
"52370","4","1","5"
"53120","4","10","14"
"54398","6","11","17"
"50856","14","15","29"
"51899","8","16","24"
"45338","3","5","8"
"50886","5","12","17"
"49854","0","2","2"
"49474","9","10","19"
"47024","4","4","8"
"51929","10","16","26"
"45766","39","11","50"
"46946","55","20","75"
"47742","1","1","2"
"51763","10","12","22"
"55349","0","10","10"
"54864","116","180","296"
"46856","179","36","215"
"46636","350","161","511"
"48357","5","7","12"
"49145","194","93","287"
"42273","6","12","18"
"51734","0","4","4"
"49487","0","2","2"
"54666","71","32","103"
"43811","4","1","5"
"50646","2","2","4"
"46368","7","4","11"
"46225","16","20","36"
"46818","28","33","61"
"49427","4","8","12"
"53466","13","10","23"
"51973","65","40","105"
"55599","10","12","22"
"43116","4","7","11"
"45815","1","0","1"
"54007","3","4","7"
"48639","9","31","40"
"51943","5","8","13"
"45429","0","6","6"
"53734","7","2","9"
"52347","10","35","45"
"55480","14","38","52"
"46695","16","14","30"
"50025","1","0","1"
"53413","5","1","6"
"45608","0","12","12"
"48140","1","4","5"
"42929","6","4","10"
"52830","1","5","6"
"48208","20","30","50"
"42916","4","9","13"
"48999","7","5","12"
"48842","0","2","2"
"48545","4","9","13"
"50189","1","6","7"
"52131","4","17","21"
"52799","15","8","23"
"45213","12","28","40"
"43308","13","37","50"
"44447","6","8","14"
"44777","7","7","14"
"48968","6","1","7"
"55850","1616","512","2128"
"46428","1","0","1"
"53805","6","8","14"
"52405","7","8","15"
"43746","3","4","7"
"43965","6","7","13"
"48221","0","8","8"
"53191","2","0","2"
"44034","10","3","13"
"50396","1","1","2"
"46662","5","5","10"
"47281","0","10","10"
"47532","0","1","1"
"49297","3","5","8"
"49426","7","5","12"
"46190","10","12","22"
"47859","30","27","57"
"52050","5","9","14"
"44126","12","12","24"
"54866","2","3","5"
"52965","1","1","2"
"42116","9","30","39"
"45719","3","0","3"
"55645","37","190","227"
"48039","1","2","3"
"54099","11","9","20"
"47286","35","26","61"
"45164","28","42","70"
"51040","16","10","26"
"55449","560","200","760"
"46155","10","15","25"
"46876","36","23","59"
"50639","2","5","7"
"51717","2","3","5"
"49726","8","21","29"
"53661","2","4","6"
"50674","2","6","8"
"43833","2","2","4"
"48200","50","80","130"
"51173","52","6","58"
"48975","3","2","5"
"54227","8","28","36"
"54358","80","26","106"
"50827","8","0","8"
"52674","11","10","21"
"48167","2","10","12"
"51529","2","1","3"
"54373","26","10","36"
"45650","49","42","91"
"51325","7","25","32"
"51354","90","53","143"
"47414","6","13","19"
"54249","10","10","20"
"51091","3","3","6"
"49655","4","5","9"
"52863","8","17","25"
"51830","0","2","2"
"55352","5","10","15"
"45793","1","7","8"
"50659","3","3","6"
"48407","12","13","25"
"48957","1","1","2"
"52019","2","1","3"
"50430","1","2","3"
"49615","4","5","9"
"46460","0","1","1"
"43433","8","8","16"
"50912","1","4","5"
"47335","17","20","37"
"55351","2","5","7"
"51672","0","1","1"
"46982","24","16","40"
"51078","6","4","10"
"43075","5","8","13"
"48512","0","2","2"
"44954","2","4","6"
"54264","3","4","7"
"44143","0","9","9"
"49748","1","2","3"
"47822","6","5","11"
"49373","4","6","10"
"53119","12","32","44"
"44213","14","10","24"
"54590","8","15","23"
"43377","3","7","10"
"42512","4","4","8"
"42905","0","4","4"
"49750","5","12","17"
"51055","7","30","37"
"46173","4","3","7"
"54935","10","10","20"
"44877","3","5","8"
"46563","0","1","1"
"52259","11","14","25"
"50556","0","1","1"
"43063","0","1","1"
"52850","4","5","9"
"45595","15","0","15"
"50524","8","30","38"
"49048","12","30","42"
"53736","6","9","15"
"44686","18","24","42"
"47978","4","1","5"
"55728","7","17","24"
"46427","2","5","7"
"52942","2","0","2"
"46412","4","1","5"
"54767","5","0","5"
"42969","0","5","5"
"45629","2","3","5"
"49808","0","1","1"
"51820","16","18","34"
"52757","264","134","398"
"50990","0","1","1"
"46724","4","5","9"
"52681","10","11","21"
"55701","2","5","7"
"45224","0","4","4"
"49177","10","0","10"
"53167","8","7","15"
"53357","2","2","4"
"48236","12","33","45"
"51670","2","2","4"
"54919","8","5","13"
"52710","3","8","11"
"54061","64","82","146"
"45079","12","15","27"
"51035","10","36","46"
"43147","11","33","44"
"44675","12","0","12"
"50193","0","5","5"
"55772","10","10","20"
"45417","0","1","1"
"54856","2","0","2"
"44468","5","7","12"
"46503","5","5","10"
"50871","11","20","31"
"48427","4","9","13"
"49837","52","22","74"
"50110","4","5","9"
"46287","5","12","17"
"42098","5","10","15"
"52458","4","6","10"
"48346","52","54","106"
"43788","9","9","18"
"48063","0","8","8"
"49791","2","4","6"
"51172","15","21","36"
"53922","5","5","10"
"55507","0","2","2"
"44294","10","12","22"
"49315","5","7","12"
"48863","2","7","9"
"49470","0","23","23"
"50916","4","29","33"
"54700","18","18","36"
"54880","5","12","17"
"46211","9","12","21"
"48434","10","10","20"
"43893","1","1","2"
"44079","3","3","6"
"54979","2","1","3"
"45749","10","20","30"
"46395","2","10","12"
"43062","0","6","6"
"43974","4","8","12"
"46032","0","2","2"
"50245","1","3","4"
"46306","6","11","17"
"44960","5","8","13"
"45256","10","29","39"
"49243","4","6","10"
"52869","17","29","46"
"55705","14","35","49"
"53500","0","8","8"
"53034","3","4","7"
"55711","2","8","10"
"45269","2","1","3"
"44258","3","7","10"
"47966","4","8","12"
"43042","5","0","5"
"50375","3","8","11"
"51546","4","0","4"
"55781","15","10","25"
"46594","10","0","10"
"55148","150","75","225"
"48491","23","55","78"
"44522","3","2","5"
"46756","10","14","24"
"46597","6","10","16"
"50663","1","1","2"
"45748","46","42","88"
"47091","2","0","2"
"48045","3","0","3"
"45534","1","0","1"
"51688","2","4","6"
"54900","1","1","2"
"44637","10","15","25"
"50079","12","28","40"
"51334","4","2","6"
"55393","0","12","12"
"52737","3","7","10"
"44511","5","4","9"
"45503","0","1","1"
"52061","0","10","10"
"55769","0","17","17"
"43787","30","20","50"
"50741","11","7","18"
"50909","6","28","34"
"51988","2","3","5"
"46008","15","22","37"
"48082","16","5","21"
"49075","15","22","37"
"43426","0","14","14"
"51129","0","5","5"
"54167","2","0","2"
"45873","2","2","4"
"47472","0","3","3"
"44621","7","8","15"
"51776","15","24","39"
"55793","10","18","28"
"50269","0","10","10"
"54903","3","1","4"
