"id","non_teaching_staff","teaching_staff","total"
"42899","7","5","12"
"53876","2","0","2"
"50380","0","2","2"
"50974","0","10","10"
"43641","25","88","113"
"44304","2","3","5"
"49645","20","40","60"
"48719","2","0","2"
"47841","24","15","39"
"45971","0","6","6"
"42269","4","6","10"
"47408","0","2","2"
"47063","12","4","16"
"47330","0","4","4"
"49945","2","5","7"
"55110","9","28","37"
"52411","7","4","11"
"51720","194","216","410"
"47790","5","8","13"
"49129","7","23","30"
"46819","7","14","21"
"42922","14","32","46"
"51430","2","9","11"
"55779","9","27","36"
"47719","0","4","4"
"50056","7","9","16"
"53494","1","1","2"
"47557","5","6","11"
"43077","1","0","1"
"52234","1","1","2"
"55260","2","3","5"
"53483","2","4","6"
"54259","12","12","24"
"46394","28","33","61"
"55262","27","15","42"
"42548","7","8","15"
"48607","5","10","15"
"52448","1","4","5"
"52320","8","6","14"
"50051","28","74","102"
"54003","1","1","2"
"46470","13","21","34"
"54993","0","3","3"
"44003","12","25","37"
"44122","1","3","4"
"51057","0","2","2"
"54226","3","3","6"
"50451","4","6","10"
"50101","10","23","33"
"53807","3","5","8"
"42764","17","4","21"
"42211","35","126","161"
"48018","0","1","1"
"47363","4","10","14"
"46582","2","0","2"
"46322","2","8","10"
"55011","1","1","2"
"43139","5","1","6"
"49100","21","8","29"
"54967","8","0","8"
"44861","2","4","6"
"49810","4","11","15"
"50222","4","0","4"
"53545","51","33","84"
"55639","11","22","33"
"55241","5","4","9"
"44083","4","6","10"
"53244","10","8","18"
"52430","1","6","7"
"46436","120","60","180"
"49372","1","0","1"
"52524","3","0","3"
"49725","4","0","4"
"54812","1","0","1"
"47196","1","0","1"
"45435","6","10","16"
"49225","10","6","16"
"46815","7","5","12"
"49942","8","11","19"
"53048","2","1","3"
"47179","6","9","15"
"46494","0","7","7"
"45948","0","24","24"
"54995","12","18","30"
"45165","5","2","7"
"50976","0","2","2"
"54155","39","0","39"
"54283","90","151","241"
"48354","5","15","20"
"48274","5","3","8"
"51374","3","5","8"
"55062","1","1","2"
"52112","22","18","40"
"44626","2","2","4"
"51346","2","0","2"
"55615","46","24","70"
"52362","36","18","54"
"42773","9","10","19"
"48609","1","4","5"
"47740","4","0","4"
"47070","5","5","10"
"47320","16","11","27"
"52053","0","4","4"
"45371","8","10","18"
"49273","2","0","2"
"44738","20","56","76"
"45574","45","42","87"
"45043","8","7","15"
"53711","4","9","13"
"42345","20","27","47"
"48613","4","6","10"
"54858","5","2","7"
"55469","1","2","3"
"42414","3","8","11"
"50808","5","4","9"
"47497","0","16","16"
"51451","4","1","5"
"54822","3","1","4"
"55534","5","16","21"
"50003","9","7","16"
"54933","15","5","20"
"49457","8","9","17"
"47743","0","2","2"
"54013","21","18","39"
"54954","12","4","16"
"54783","2","3","5"
"54267","5","17","22"
"55069","45","35","80"
"54857","10","10","20"
"44697","2","4","6"
"44680","0","4","4"
"45282","2","4","6"
"48281","9","21","30"
"48488","1","0","1"
"48755","20","25","45"
"48633","9","29","38"
"45527","3","2","5"
"54157","2","3","5"
"47751","0","10","10"
"44611","12","10","22"
"42866","2","5","7"
"55142","406","296","702"
"42302","0","1","1"
"52636","2","3","5"
"48170","0","1","1"
"43900","10","5","15"
"51762","6","10","16"
"53801","5","6","11"
"55130","2","4","6"
"47631","8","48","56"
"47560","8","16","24"
"43156","0","1","1"
"49455","12","4","16"
"49153","54","51","105"
"47794","2","0","2"
"49774","3","0","3"
"54573","6","14","20"
"46542","8","26","34"
"51246","0","1","1"
"45370","5","6","11"
"51770","4","3","7"
"43238","0","10","10"
"52686","0","1","1"
"51553","20","20","40"
"55897","210","105","315"
"54180","49","33","82"
"42297","5","15","20"
"44383","6","10","16"
"47605","7","8","15"
"44679","8","0","8"
"49944","1","1","2"
"52725","1","1","2"
"47095","6","30","36"
"43317","6","0","6"
"51145","198","86","284"
"42910","4","15","19"
"44517","0","4","4"
"48827","15","32","47"
"55554","4","4","8"
"51986","435","442","877"
"47704","12","21","33"
"42954","0","7","7"
"42804","0","32","32"
"45272","17","15","32"
"54002","1","7","8"
"45327","13","68","81"
"43331","0","1","1"
"49618","12","42","54"
"54444","7","8","15"
"46960","4","4","8"
"42305","2","5","7"
"49205","0","1","1"
"44311","6","12","18"
"52804","4","8","12"
"52500","2","2","4"
"42806","6","16","22"
"51738","0","6","6"
"47611","2","2","4"
"50710","3","6","9"
"49771","0","8","8"
"53569","10","25","35"
"50610","10","40","50"
"51033","4","8","12"
"45958","2","13","15"
"54183","8","23","31"
"46259","3","4","7"
"50768","12","18","30"
"51898","39","145","184"
"48729","18","15","33"
"43633","10","23","33"
"43600","3","2","5"
"49799","2","3","5"
"43860","10","8","18"
"54962","3","6","9"
"43909","0","1","1"
"43626","15","15","30"
"44440","2","8","10"
"52009","2","2","4"
"50995","3","15","18"
"49051","0","6","6"
"47366","123","64","187"
"48184","18","18","36"
"43765","9","10","19"
"53579","5","14","19"
"52716","2","2","4"
"53869","5","6","11"
"43729","2","3","5"
"43584","10","12","22"
"48626","8","0","8"
"45666","","","31"
"46396","4","1","5"
"52099","80","45","125"
"55053","7","14","21"
"49450","21","5","26"
"52881","10","8","18"
"51507","1","4","5"
"44789","5","9","14"
"42097","15","14","29"
"44550","1","2","3"
"55289","3","8","11"
"42375","12","26","38"
"44976","0","6","6"
"48662","19","36","55"
"42657","2","1","3"
"42989","4","5","9"
"45634","3","8","11"
"46924","6","10","16"
"45081","1","1","2"
"48746","6","2","8"
"45896","7","17","24"
"48047","16","8","24"
"51872","4","17","21"
"54198","3","3","6"
"45745","2","6","8"
"50786","1","0","1"
"52227","3","0","3"
"45821","4","8","12"
"51270","10","13","23"
"44553","5","4","9"
"45928","10","10","20"
"55503","12","0","12"
"42244","1","1","2"
"48792","15","21","36"
"48635","16","22","38"
"51894","2","4","6"
"53535","4","10","14"
"49843","3","6","9"
"53575","8","11","19"
"52715","6","2","8"
"47972","2","25","27"
"52007","0","1","1"
"48206","5","25","30"
"54961","654","70","724"
"54854","2","1","3"
"54236","","","841"
"50960","0","1","1"
"44118","7","49","56"
"46185","0","7","7"
"46444","4","0","4"
"55546","413","90","503"
"47755","2","6","8"
"43209","24","30","54"
"46041","3","8","11"
"44559","3","1","4"
"44700","25","134","159"
"42848","4","6","10"
"51511","8","20","28"
"46571","6","0","6"
"53054","2","2","4"
"50391","2","1","3"
"52913","0","1","1"
"44482","4","5","9"
"46036","10","1","11"
"49761","33","141","174"
"49467","3","8","11"
"55789","23","34","57"
"49250","38","44","82"
"49784","15","18","33"
"49305","10","10","20"
"52378","14","42","56"
"49662","0","10","10"
"51648","3","7","10"
"53507","10","15","25"
"50173","234","18","252"
"50415","5","10","15"
"51019","4","27","31"
"53152","16","30","46"
"55732","3","6","9"
"53715","2","5","7"
"44608","1","7","8"
"42259","2","2","4"
"52842","3","2","5"
"42365","3","5","8"
"52479","3","13","16"
"53086","92","23","115"
"47152","5","10","15"
