"id","course_id","enrolled_foreign_student_count_id"
"59174","896086","50854"
"59184","896084","50864"
"59187","896084","50867"
"59208","896471","50878"
"59213","897225","50881"
"59214","897225","50882"
"59225","897339","50893"
"59226","897339","50894"
"59229","897340","50897"
"59230","897335","50898"
"59231","897659","50899"
"59237","897659","50905"
"59320","898189","50958"
"59324","898416","50962"
"59354","898745","50992"
"59372","898905","51010"
"59427","899737","51065"
"59447","900749","51080"
"59459","901176","51091"
"59469","901438","51101"
"59472","901425","51104"
"59473","901422","51105"
"59474","901411","51106"
"59476","901437","51108"
"59477","901437","51109"
"59488","901539","51120"
"59528","901943","51160"
"59529","901943","51161"
"59535","903158","51165"
"59537","903218","51167"
"59542","903218","51172"
"59593","904023","51219"
"59595","879828","50355"
"59597","904288","51221"
"59598","904288","51222"
"59841","905066","51319"
"59854","905459","51332"
"59856","905480","51334"
"59865","905480","51343"
"59893","905689","51371"
"59894","905689","51372"
"59977","905903","51261"
"59980","904473","51310"
"59981","904473","51257"
"59994","904473","51253"
"60029","904473","51297"
"60040","904473","51273"
"60110","908074","51432"
"60111","908081","51433"
"60137","909398","51458"
"60138","909398","51459"
"60210","910746","51531"
"60299","912987","51588"
"60300","912987","51579"
"60305","912987","51587"
"60306","912987","51578"
"60313","913090","51592"
"60332","913517","51613"
"60378","914410","51658"
"60387","914732","51666"
"60388","914732","51667"
"60389","914732","51668"
"60390","914732","51669"
"60419","914604","51664"
"60450","915890","51717"
"60500","916986","51751"
"60510","915341","51691"
"60511","915341","51692"
"60512","915341","51693"
"60513","915341","51695"
"60514","915341","51694"
"60596","917999","51840"
"60603","918211","51847"
"60604","918211","51848"
"60605","918213","51849"
"60616","918236","51860"
"60623","918420","51867"
"60630","918845","51874"
"60642","919336","51886"
"60644","919472","51888"
"60662","920149","51906"
"60677","920160","51921"
"60678","920260","51922"
"60696","921244","51940"
"60750","921991","51994"
"60774","921912","52018"
"60784","921968","52028"
"60785","921972","52029"
"60793","921985","52037"
"60819","922084","52063"
"60829","922023","52073"
"60842","921972","52086"
"60843","921968","52087"
"60878","922637","52112"
"60879","922637","52113"
"60880","922637","52114"
"60881","922637","52115"
"60882","922637","52116"
"60883","922637","52117"
"60886","922678","52120"
"60891","922710","52125"
"60892","922710","52126"
"60893","922710","52127"
"60894","922710","52128"
"60895","922710","52129"
"60896","922710","52130"
"60897","922710","52131"
"60907","922982","52136"
"60944","922763","50580"
"60959","923547","52184"
"60960","923547","52185"
"60999","924184","52215"
"61001","924184","52217"
"61005","924184","52221"
"61011","924184","52227"
"61016","924184","52232"
"61017","924184","52233"
"61018","924184","52234"
"61027","924184","52243"
"61033","924184","52249"
"61036","924184","52252"
"61043","924184","52259"
"61046","924184","52262"
"61048","924184","52264"
"61081","924467","52297"
"61084","924577","52300"
"61089","924577","52305"
"61109","924911","52325"
"61129","925630","52345"
"61134","925630","52350"
"61135","925630","52351"
"61139","925630","52355"
"61143","925630","52359"
"61147","925630","52363"
"61150","925630","52366"
"61156","925630","52372"
"61167","925630","52383"
"61172","925630","52388"
"61177","925630","52393"
"61192","925630","52408"
"61199","925630","52415"
"61203","925630","52419"
"61215","926530","52431"
"61226","926613","52440"
"61228","926612","52443"
"61229","926612","52445"
"61237","926848","52453"
"61245","926935","52461"
"61341","927128","52557"
"61342","927128","52558"
"61372","927478","52587"
"61373","927478","52588"
"61379","927853","52594"
"61380","927853","52595"
"61381","927853","52596"
"61462","928684","52675"
"61466","928684","52679"
"61467","928684","52680"
"61476","879228","50333"
"61478","879193","50335"
"61518","929809","52721"
"61519","929809","52722"
"61533","929765","52736"
"61534","929765","52737"
"61558","930249","52759"
"61585","930967","52783"
"61592","930921","52790"
"61636","931744","52817"
"61637","931744","52818"
"61638","931744","52819"
"61639","931744","52820"
"61640","931744","52821"
"61641","931744","52822"
"61644","931742","52825"
"61645","931742","52826"
"61661","931893","52842"
"61662","931888","52843"
"61663","931893","52844"
"61670","931971","52851"
"61672","931971","52853"
"61676","932042","52854"
"61679","932742","52857"
"61730","933512","52902"
"61731","933512","52903"
"61734","933523","52906"
"61789","934041","52961"
"61792","934048","52964"
"61805","934231","52977"
"61815","934717","53007"
"61824","934717","53016"
"61826","934717","53018"
"61831","934717","53023"
"61832","934717","53024"
"61861","935739","53071"
"61871","936356","53081"
"61888","936365","53098"
"61892","936365","53102"
"61896","936365","53106"
"61902","936366","53112"
"61908","936577","53118"
"61913","933598","52912"
"61914","933598","52913"
"61916","936936","53122"
"61918","937019","53124"
"61919","937019","53125"
"61944","936974","53150"
"61945","936974","53151"
"61962","937323","53168"
"61978","937521","53172"
"62015","937885","53209"
"62016","937885","53210"
"62017","937885","53211"
"62018","937885","53212"
"62019","937885","53213"
"62020","937885","53214"
"62021","937885","53215"
"62022","937885","53216"
"62023","937885","53217"
"62024","937885","53218"
"62039","938140","53233"
"62046","938453","53240"
"62047","938453","53241"
"62051","938455","53245"
"62052","938455","53246"
"62053","938455","53247"
"62054","938455","53248"
"62055","938455","53249"
"62056","938455","53250"
"62057","938448","53251"
"62058","938448","53252"
"62059","938448","53253"
"62060","938448","53254"
"62061","938448","53255"
"62062","938448","53256"
"62067","938449","53261"
"62068","938449","53262"
"62069","938449","53263"
"62070","938449","53264"
"62073","938444","53267"
"62074","938444","53268"
"62075","938444","53269"
"62076","938444","53270"
"62077","938444","53271"
"62078","938444","53272"
"62079","938444","53273"
"62080","938444","53274"
"62085","938463","53279"
"62086","938463","53280"
"62099","938624","53293"
"62102","938624","53296"
"62106","938624","53300"
"62108","938651","53302"
"62109","938651","53303"
"62115","939065","53309"
"62116","939065","53310"
"62117","939065","53311"
"62118","939065","53312"
"62119","939065","53313"
"62123","939084","52423"
"62128","939184","53318"
"62133","939253","53323"
"62134","939281","53324"
"62145","939281","53335"
"62175","941319","53406"
"62176","941319","53407"
"62208","941979","53435"
"62259","942413","53486"
"62260","942413","53487"
"62261","942413","53488"
"62262","942413","53489"
"62263","942413","53490"
"62264","942413","53491"
"62265","942413","53492"
"62266","942413","53493"
"62267","942413","53494"
"62268","942413","53495"
"62269","942413","53496"
"62270","942413","53497"
"62271","942413","53498"
"62272","942413","53499"
"62273","942413","53500"
"62275","942434","53502"
"62284","942527","53483"
"62301","942572","53507"
"62311","942569","53517"
"62330","943417","53536"
"62331","943420","53537"
"62333","943516","53539"
"62338","943816","53544"
"62345","944146","53551"
"62371","944486","53575"
"62379","944471","53583"
"62384","944486","53588"
"62397","944441","53601"
"62403","944471","53607"
"62407","944486","53611"
"62449","944472","53653"
"62457","944471","53661"
"62460","944486","53664"
"62470","944471","53674"
"62472","944470","53676"
"62474","944486","53678"
"62480","944486","53684"
"62484","944472","53688"
"62494","944471","53698"
"62495","944441","53699"
"62520","944472","53724"
"62529","944441","53733"
"62530","944396","53734"
"62532","944486","53736"
"62541","944462","53745"
"62543","944447","53747"
"62557","944470","53761"
"62558","944472","53762"
"62567","944471","53771"
"62571","944486","53775"
"62573","944472","53777"
"62583","944472","53787"
"62593","944471","53797"
"62595","944470","53799"
"62599","944486","53803"
"62601","944486","53805"
"62613","944472","53817"
"62620","944471","53824"
"62625","944486","53829"
"62626","944486","53830"
"62631","944472","53835"
"62639","944471","53843"
"62641","944470","53845"
"62642","944486","53846"
"62648","944471","53852"
"62649","944486","53853"
"62672","944486","53876"
"62675","944441","53879"
"62678","944471","53882"
"62679","944471","53883"
"62690","944470","53894"
"62691","944472","53895"
"62701","944471","53905"
"62705","944486","53909"
"62713","944471","53917"
"62715","944486","53919"
"62721","944472","53925"
"62728","944471","53932"
"62731","944486","53935"
"62737","944509","53941"
"62740","944625","53943"
"62754","944699","53956"
"62755","944699","53957"
"62770","945007","53972"
"62771","945007","53973"
"62775","945016","53977"
"62776","945016","53978"
"62777","945016","53979"
"62778","945016","53980"
"62782","945022","53984"
"62783","945022","53985"
"62784","945025","53986"
"62797","945011","53999"
"62798","945011","54000"
"62799","945011","54001"
"62833","946254","54034"
"62834","946254","54035"
"62835","946245","54036"
"62839","946254","54040"
"62842","946254","54043"
"62915","947458","54085"
"63025","948468","54195"
"63039","948468","54209"
"63043","948468","54213"
"63060","948468","54230"
"63065","948534","54235"
"63076","948573","54246"
"63095","948792","54265"
"63112","948792","54282"
"63123","948707","54293"
"63124","948792","54294"
"63141","948517","54311"
"63143","948534","54313"
"63156","948549","54326"
"63160","948573","54330"
"63178","950742","54348"
"63189","950779","54359"
"63194","950283","54364"
"63203","950601","54373"
"63213","950718","54383"
"63223","950782","54393"
"63229","950661","54399"
"63230","950630","54400"
"63249","953098","54419"
"63254","953091","54424"
"63259","953098","54429"
"63261","953091","54431"
"63265","953091","54435"
"63477","953602","54647"
"63484","953628","54654"
"63485","953628","54655"
"63494","953628","54664"
"63496","953974","54666"
"63497","953974","54667"
"63498","953974","54668"
"63500","953972","54670"
"63501","954041","54671"
"63514","954095","54684"
"63522","954059","54692"
"63523","954016","54693"
"63529","954640","54699"
"63531","954640","54701"
"63535","954873","54705"
"63539","954877","54709"
"63542","955096","54712"
"63543","955113","54713"
"63554","955654","54724"
"63559","955657","54729"
"63565","955774","54735"
"63566","955817","54736"
"63568","955810","54738"
"63570","955753","54740"
"63597","955774","54767"
"63645","955766","54815"
"63648","955753","54818"
"63664","955810","54834"
"63671","955908","54841"
"63675","955883","54845"
"63684","955859","54854"
"63688","955753","54858"
"63690","955790","54860"
"63697","955776","54867"
"63712","956372","54882"
"63728","957065","54893"
"63729","957065","54894"
"63741","957367","54906"
"63764","957962","54926"
"63820","958762","54980"
"63821","958762","54981"
"63833","959621","54191"
"63851","962141","55006"
"63852","962460","55007"
"63853","962461","55008"
"63900","963017","55055"
"63920","963376","55075"
"63921","963376","55076"
"63922","963376","55077"
"63925","963458","55080"
"63978","964857","55133"
"63979","964857","55134"
"63980","964857","55135"
"63991","965154","55146"
"63992","965154","55147"
"64000","965799","55151"
"64018","966747","55169"
"64019","966747","55170"
"64024","966724","55165"
"64025","966723","55166"
"64068","967237","55212"
"64084","967867","55227"
"64085","967869","55228"
"64091","967887","55234"
"64096","967867","55239"
"64135","969165","55278"
"64140","969165","55283"
"64146","969211","55289"
"64147","969211","55290"
"64157","969310","55300"
"64185","969638","55326"
"64205","970020","55346"
"64207","970026","55348"
"64224","970507","55365"
"64227","970481","55368"
"64229","970502","55370"
"64238","971026","55379"
"64255","971134","55396"
"64256","971164","55397"
"64257","971170","55398"
"64297","971797","55438"
"64298","971799","55439"
"64304","971998","55445"
"64309","901890","51136"
"64321","972600","55460"
"64340","973085","55478"
"64341","973247","55479"
"64342","973247","55480"
"64343","973368","55481"
"64344","973369","55482"
"64345","973369","55483"
"64386","974666","55524"
"64387","974666","55525"
"64388","974666","55526"
"64389","974666","55527"
"64390","974666","55528"
"64404","974735","55542"
"64422","974765","55560"
"64423","974766","55561"
"64424","974773","55562"
"64430","974976","51743"
"64431","916605","51735"
"64435","916692","51730"
"64438","916596","51738"
"64451","975282","55570"
"64455","975313","55574"
"64458","975314","55577"
"64478","975413","55601"
"64492","975901","55609"
"64506","975901","55623"
"64510","975901","55627"
"64523","975928","55640"
"64524","975945","55641"
"64531","975973","55648"
"64534","976314","55651"
"64569","977959","55830"
"64597","978179","55858"
"64598","978179","55859"
"64601","978296","55862"
"64606","978296","55867"
"64610","978296","55871"
"64613","978296","55874"
"64614","978296","55875"
"64627","978328","55882"
"64660","967021","55190"
"64666","967021","55203"
"64668","967019","55191"
"64670","967019","55194"
"64671","967019","55201"
"64673","967021","55204"
"64674","967027","55192"
"64677","979046","55891"
"64679","978978","55893"
"64683","978959","55897"
"64684","978966","55898"
"64688","978992","55902"
"64711","979314","55925"
"64739","979817","55953"
"64746","979797","55960"
"64752","979809","55966"
"64767","979809","55981"
"64771","979797","55985"
"64797","980254","56035"
"64809","980538","56049"
"64810","980538","56050"
"64830","980849","56070"
"64862","980842","56102"
"64999","981365","56196"
"65011","981365","56155"
"65017","981329","56208"
"65019","981365","56213"
"65031","981365","56168"
"65033","981512","56223"
"65034","981365","56186"
"65041","981512","56214"
"65064","981365","56212"
"65070","980910","56128"
"65081","981865","56237"
"65082","981865","56238"
"65104","982300","56293"
"65112","982727","56301"
"65113","982728","56302"
"65114","982729","56303"
"65131","983327","56329"
"65253","984720","56463"
"65285","986166","56494"
"65286","986166","56495"
"65287","986166","56496"
"65288","986166","56497"
"65300","986693","56509"
"65319","986820","56528"
"65342","986900","56540"
"65357","987755","56555"
"65358","987757","56556"
"65359","987766","56557"
"65360","987766","56558"
"65361","987769","56559"
"65372","987765","56570"
"65373","987765","56571"
"65374","987765","56572"
"65375","987765","56573"
"65399","988148","56596"
"65412","988550","56614"
"65499","988638","56692"
"65504","988638","56697"
"65509","988638","56702"
"65568","989742","56759"
"65570","989742","56761"
"65571","989742","56762"
"65575","989742","56766"
"65578","989742","56769"
"65579","989742","56770"
"65582","989742","56773"
"65584","989742","56775"
"65594","989742","56785"
"65596","989742","56787"
"65602","989742","56793"
"65844","990032","57035"
"65871","990577","57055"
"65879","990541","57063"
"65885","990577","57069"
"65890","990577","57074"
"65892","990577","57076"
"65899","990548","57083"
"65904","990541","57088"
"65909","990666","57093"
"65919","990997","57103"
"65923","990997","57107"
"65932","990993","57116"
"65947","991698","57130"
"65953","991693","57136"
"65983","991987","57166"
"66020","992733","57203"
"66030","992875","57213"
"66039","992842","57222"
"66046","992853","57229"
"66049","993069","57232"
"66050","993069","57233"
"66051","993069","57234"
"66052","993069","57235"
"66053","993069","57236"
"66063","993609","57246"
"66066","993763","57249"
"66070","993772","57253"
"66086","994335","57268"
"66087","994335","57269"
"66088","994335","57270"
"66116","989874","56921"
"66121","989823","56990"
"66174","989823","56798"
"66177","989823","56887"
"66184","989875","56920"
"66200","989854","57001"
"66201","989854","57013"
"66204","989875","56916"
"66214","989845","56869"
"66239","989823","56967"
"66256","989875","56973"
"66268","989874","56896"
"66299","989854","56966"
"66354","995640","57308"
"66357","995640","57311"
"66359","995640","57313"
"66361","995640","57315"
"66362","995640","57316"
"66364","995657","57318"
"66425","996707","57369"
"66435","996786","57379"
"66541","997464","57485"
"66542","997464","57486"
"66545","997464","57489"
"66547","997464","57491"
"66549","997464","57493"
"66550","997464","57494"
"66553","997464","57497"
"66560","997703","57504"
"66561","997703","57505"
"66564","997707","57508"
"66570","998325","57514"
"66583","998634","57518"
"66584","998634","57519"
"66685","998883","57620"
"66686","998876","57621"
"66691","998883","57626"
"66692","998876","57627"
"66693","998883","57628"
"66697","998883","57632"
"66702","998883","57637"
"66705","998883","57640"
"66706","998883","57641"
"66710","999100","57645"
"66712","999100","57647"
"66716","999100","57651"
"66717","999100","57652"
"66718","999100","57653"
"66720","999100","57655"
"66723","999100","57658"
"66725","999100","57660"
"66727","999100","57662"
"66730","999100","57665"
"66733","999100","57668"
"66735","999100","57670"
"66737","999100","57672"
"66738","999100","57673"
"66739","999100","57674"
"66742","999100","57677"
"66745","999100","57680"
"66752","999191","57686"
"66760","999191","57694"
"66764","999191","57698"
"66765","999194","57699"
"66890","1000402","57822"
"66891","1000402","57823"
"66892","1000402","57824"
"66893","1000402","57825"
"66894","1000402","57826"
"66895","1000402","57827"
"66896","1000402","57828"
"66897","1000436","57829"
"66954","1001115","57886"
"66959","1001115","57891"
"67017","1001502","57948"
"67024","1002125","57955"
"67027","1002162","57958"
"67033","1002302","57964"
"67102","1003152","58032"
"67174","1003706","58094"
"67193","1003715","58113"
"67204","1003706","58124"
"67251","1004101","58161"
"67277","1004803","58177"
"67279","1005142","58179"
"67311","1006066","58210"
"67313","984589","56450"
"67334","1006090","56439"
"67460","1007803","58296"
"67478","1008495","58312"
"67510","1009556","58344"
"67522","1009489","58356"
"67530","1009556","58364"
"67532","1009504","58366"
"67538","1009504","58372"
"67689","1010236","58333"
"67807","1011239","58618"
"67813","1011234","58624"
"67815","1011234","58626"
"67822","1011239","58633"
"67867","976405","55671"
"67883","976405","55677"
"67885","976405","55668"
"67894","976394","55662"
"67908","1012782","58687"
"67923","1013005","58702"
"67924","1013008","58703"
"67926","1013005","58705"
"67928","1013008","58707"
"67931","1013005","58710"
"67932","1013005","58711"
"67933","1013008","58712"
"67936","1013005","58715"
"67943","1013035","58722"
"67962","1013168","58741"
"67963","1013168","58742"
"67964","1013168","58743"
"67965","1013168","58744"
"67966","1013168","58745"
"67967","1013168","58746"
"67968","1013168","58747"
"67994","1013154","58773"
