"id","address_line1","address_line2","city","state_code","district_code","website","area","constructed_area","year_of_establishment","year_of_recognition","nodalofficer_id","location","awards_degree_through_university","university_id","girl_exclusive","staff_quarter_available","staff_quarter_id","student_hostel_available","no_of_student_hostel","management_id","name","survey_year","financial_income_id","financial_expenditure_id","infrastructure_id","remarks","latitude","longitude","scholarship_id","loan_id","is_accredited","is_foreign_students_enrolled","offers_scholarship","offers_loan","offers_distance_programme","pin_code","has_fellowships","fellowships_id","ministry_id","has_other_minority_data"
"9076","a/p patonda","tal - chalisgaon","chalisgaon","27","499","aspm.org.in","10000","6000","2000","2008","167146","R","false","","false","false","","false","0","3","ASHAPURI SHIKSHAN PRASARAK MANDAL KOTKAR D. ED. COLLEGE TAL. CHALISGAON JALGAON","2015","162699","162686","162682","","21.1160299999999985","75.1875330000000019","88349","","false","false","true","false","false","424101","false","","","false"
"13995","ANM /FHw training school","G.K.G.H.bhuj-kutch","Bhuj","24","468","","2.08000000000000007","4300","1983","2007","167149","U","false","","false","false","","true","1","2","ANM SCHOOL, G. K. GENERAL HOSPITAL,, BHUJ","2015","162702","162689","162685","","23.2395069999999997","69.6750569999999954","88351","","false","false","true","false","false","370001","false","","","false"
"9524","DATTAKRUPA ADHYAPAK VIDYALAYA KULTHE","TAL DIST DHULE","DHULE","27","498","","0.75","1800","2006","2006","167153","R","false","","false","false","","false","0","6","LET HEERAMAN SONU JAT EDUCATION SOCIAL MANDAL KULTHE DHULE","2015","162706","162693","162689","","20.6848610000000015","74.752246999999997","88355","","false","false","true","false","false","424006","false","","","false"
"13991","At - Post - Bhandu 384120","Ta-Visnagar","Bhandu","24","471","www.santoshfoundation.org.in","1.20999999999999996","5283","2011","2011","167155","R","false","","false","true","44198","true","2","6","P.& T. Nursing School, Bhandu","2015","162708","162695","162691","","23.7000099999999989","72.3600009999999969","","","false","false","false","false","false","384120","false","","","false"
"14961","DR LADHA LANE TIRORA","","TIRORA","27","507","www.umdctirora.com","4","","1990","1996","167163","R","false","","false","false","","false","0","6","UKANDRAO MORE DED COLLEGE TIRORA","2015","162716","162703","162699","","","","88361","","false","false","true","false","false","441911","false","","","false"
"14594","BORALE SHIDHAPUR ROAD","BORALE TAL.MANGALWEDHA","MANGALWEDHA","27","526","www.drchkawchaletrust.org","7.30999999999999961","31475.7400000000016","2011","2011","167165","R","false","","false","false","","false","0","6","KARMAYOGI SHRI.H.R.KAWCHALE ADHYAPAK VIDYALAY, SOLAPUR","2015","162718","162705","162701","","17.5166700000000013","75.4666699999999935","","","false","false","false","false","false","413305","false","","","false"
"9375","Samode","","Samode","27","498","www.jaydaya.in.org","4564","1569","2008","2008","167169","R","false","","false","false","","false","0","3","JAYDAYA SHIKSHAN PRASARAK MANDAL` SAKRI DHULE","2015","162722","162709","162705","","","","88365","","true","false","true","false","false","424306","false","","","false"
"1753","RURAL CAMPUS","SHIVAJI NAGAR","AMARAVATI","27","503","www.drpdgp.org","5","3904","1983","1994","167190","U","false","","true","true","44205","true","1","6","DR. PANJABRAO DESHMUKH GIRLS POLYTECHNICAMRAVATI.","2015","162743","162730","162726","","20.9416310999999986","77.7668201200000055","88374","","false","false","true","false","false","444603","false","","","true"
"13517","MAYURA CIRCLE, NEAR TOLL GATE","SIDLAGHATTA TOWN","SIDLAGHATTA","29","582","","2.08000000000000007","1540","2005","2005","167195","U","false","","false","false","","false","0","6","CITIZEN D ED COLLEGE, SIDLAGHATTA","2015","162748","162735","162731","","","","","","false","false","false","false","false","562105","false","","","false"
"11151","SHRI M.D.MEHTA EDUCATION TRUST","DARBARGADH","DHROL","24","477","www.mdmtrust.org","1440.93000000000006","1440.93000000000006","2003","2003","167203","R","false","","true","true","44211","true","1","6","SHRI D M MEHTA & SMT S D MEHTA MAHILA PTC COLLEGE DHROL","2015","162756","162743","162739","","22.5688609000000007","70.412477899999999","","","false","false","false","false","false","361210","false","","","false"
"6453","Opposit: Court,","Belgaum Goa Road,","khanapur","29","555","www.klededkhanpur.org","4","1583","2004","2004","167213","U","false","","false","false","","false","0","6","K.L.E. SOCIETYS TEACHER TRAINING INSTITUTE BELGAUM BELGAUM","2015","162766","162753","162749","","15.6384080000000001","74.5126819999999981","","","false","false","false","false","false","591302","false","","","false"
"10044","1363, A  Ward, Shivaji Peth, Kolhapur","","Kolhapur","27","530","www.sspmk.org","2.12000000000000011","2306.92999999999984","1984","1984","167224","U","false","","false","false","","true","2","6","SHRI SHAHU SHIKSHAN PRASARAL MANDALS D. ED. COLLEGE RANKALA KOLHAPUR","2015","162777","162764","162760","","","","88392","","false","false","true","false","false","416012","false","","","false"
