"standalone_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"2117","2015","515000"
"2117","2015","515001"
"6970","2015","515018"
"6970","2015","515019"
"6970","2015","515020"
"6970","2015","515021"
"10073","2015","515040"
"10073","2015","515041"
"10073","2015","515042"
"14539","2015","515165"
"14539","2015","515166"
"14539","2015","515167"
"14539","2015","515168"
"9081","2015","515169"
"9081","2015","515170"
"9081","2015","515171"
"10020","2015","515196"
"10020","2015","515197"
"10020","2015","515198"
"3766","2015","515221"
"3766","2015","515222"
"3766","2015","515223"
"11065","2015","515229"
"11065","2015","515230"
"11065","2015","515231"
"9951","2015","515240"
"9951","2015","515241"
"9951","2015","515242"
"9951","2015","515243"
"8311","2015","515272"
"8311","2015","515273"
"8311","2015","515274"
"6110","2015","515286"
"6110","2015","515287"
"6110","2015","515288"
"6110","2015","515289"
"9914","2015","515295"
"9914","2015","515296"
"9914","2015","515297"
"1941","2015","515310"
"1941","2015","515311"
"1941","2015","515312"
"2062","2015","515313"
"2062","2015","515314"
"2062","2015","515315"
"10068","2015","515344"
"10068","2015","515345"
"10068","2015","515346"
"10068","2015","515347"
"4025","2015","515374"
"4025","2015","515375"
"4025","2015","515376"
"1415","2015","515381"
"1415","2015","515382"
"1415","2015","515383"
"1415","2015","515384"
"1906","2015","515390"
"1906","2015","515391"
"1906","2015","515392"
"11155","2015","515409"
"11155","2015","515410"
"12652","2015","515422"
"12652","2015","515423"
"12652","2015","515424"
"1184","2015","515438"
"1184","2015","515439"
"1184","2015","515440"
"1184","2015","515441"
"1184","2015","515442"
"2144","2015","515531"
"2144","2015","515532"
"2144","2015","515533"
"1776","2015","515534"
"1776","2015","515535"
"1776","2015","515536"
"1674","2015","515589"
"1674","2015","515590"
"1674","2015","515591"
"9930","2015","515646"
"9930","2015","515647"
"9930","2015","515648"
"9952","2015","515660"
"9952","2015","515661"
"9952","2015","515662"
"10205","2015","515663"
"10205","2015","515664"
"10205","2015","515665"
"10205","2015","515666"
"1703","2015","515667"
"1703","2015","515668"
"1703","2015","515669"
"9892","2015","515676"
"9892","2015","515677"
"9892","2015","515678"
"9390","2015","515679"
"9390","2015","515680"
"9390","2015","515681"
"9787","2015","515710"
"9787","2015","515711"
"9787","2015","515712"
"9787","2015","515713"
"2240","2015","515729"
"2240","2015","515730"
"2240","2015","515731"
"9422","2015","515732"
"9422","2015","515733"
"9422","2015","515734"
"3988","2015","515774"
"3988","2015","515775"
"3988","2015","515776"
"1699","2015","515846"
"1699","2015","515847"
"1699","2015","515848"
"1699","2015","515849"
"13967","2015","515921"
"13967","2015","515922"
"13967","2015","515923"
"13967","2015","515924"
"13967","2015","515925"
"6057","2015","515953"
"6057","2015","515954"
"6057","2015","515955"
"9192","2015","516020"
"9192","2015","516021"
"9192","2015","516022"
"9192","2015","516023"
"10262","2015","516083"
"10262","2015","516084"
"10262","2015","516085"
"10262","2015","516086"
"9831","2015","516115"
"9831","2015","516116"
"9831","2015","516117"
"9994","2015","516121"
"9994","2015","516122"
"9994","2015","516123"
"10195","2015","516135"
"10195","2015","516136"
"10195","2015","516137"
"9876","2015","516198"
"9876","2015","516199"
"9876","2015","516200"
"5953","2015","516201"
"5953","2015","516202"
"5953","2015","516203"
"5953","2015","516204"
"5953","2015","516205"
"10054","2015","516223"
"10054","2015","516224"
"10054","2015","516225"
"9859","2015","516259"
