"college_institution_id","survey_year","teaching_staff_sanctioned_strength_id"
"48834","2015","512922"
"45251","2015","512923"
"45251","2015","512924"
"45251","2015","512925"
"45251","2015","512926"
"45251","2015","512927"
"6858","2015","512928"
"6858","2015","512929"
"6858","2015","512930"
"46","2015","512931"
"46","2015","512932"
"46","2015","512933"
"1177","2015","512934"
"1177","2015","512935"
"1177","2015","512936"
"43","2015","512937"
"43","2015","512938"
"43","2015","512939"
"8874","2015","512944"
"8874","2015","512945"
"8874","2015","512946"
"8874","2015","512947"
"8874","2015","512948"
"440","2015","512957"
"440","2015","512958"
"440","2015","512959"
"440","2015","512960"
"440","2015","512961"
"440","2015","512962"
"877","2015","512963"
"877","2015","512964"
"877","2015","512965"
"877","2015","512966"
"877","2015","512967"
"7189","2015","512968"
"7189","2015","512969"
"7189","2015","512970"
"15745","2015","512971"
"15745","2015","512972"
"15745","2015","512973"
"15745","2015","512974"
"15745","2015","512975"
"25828","2015","512976"
"25828","2015","512977"
"25828","2015","512978"
"25828","2015","512979"
"25828","2015","512980"
"940","2015","512981"
"940","2015","512982"
"940","2015","512983"
"7134","2015","512994"
"7134","2015","512995"
"7134","2015","512996"
"7166","2015","513003"
"7166","2015","513004"
"7166","2015","513005"
"7166","2015","513006"
"33926","2015","513012"
"33926","2015","513013"
"1199","2015","513014"
"1199","2015","513015"
"7132","2015","513016"
"7132","2015","513017"
"7132","2015","513018"
"49","2015","513019"
"49","2015","513020"
"49","2015","513021"
"49","2015","513022"
"49","2015","513023"
"45275","2015","513024"
"45275","2015","513025"
"45275","2015","513026"
"45275","2015","513027"
"47886","2015","513039"
"47886","2015","513040"
"47886","2015","513041"
"47886","2015","513042"
"47886","2015","513043"
"47886","2015","513044"
"5976","2015","513048"
"5976","2015","513049"
"5976","2015","513050"
"5976","2015","513051"
"21244","2015","513055"
"21244","2015","513056"
"21244","2015","513057"
"43067","2015","513058"
"43067","2015","513059"
"648","2015","513060"
"648","2015","513061"
"648","2015","513062"
"648","2015","513063"
"229","2015","513064"
"229","2015","513065"
"229","2015","513066"
"229","2015","513067"
"44306","2015","513068"
"44306","2015","513069"
"44306","2015","513070"
"44306","2015","513071"
"44306","2015","513072"
"44306","2015","513073"
"44306","2015","513074"
"44306","2015","513075"
"1034","2015","513076"
"1034","2015","513077"
"1034","2015","513078"
"1034","2015","513079"
"17627","2015","724702"
"41898","2015","513087"
"41898","2015","513088"
"41898","2015","513089"
"5855","2015","513090"
"5855","2015","513091"
"5855","2015","513092"
"5855","2015","513093"
"5855","2015","513094"
"17627","2015","724703"
"11144","2015","513102"
"11144","2015","513103"
"11144","2015","513104"
"11144","2015","513105"
"11144","2015","513106"
"33856","2015","513107"
"33856","2015","513108"
"33856","2015","513109"
"33856","2015","513110"
"33856","2015","513111"
"47442","2015","513112"
"47442","2015","513113"
"47442","2015","513114"
"5881","2015","513121"
"5881","2015","513122"
"5881","2015","513123"
"5881","2015","513124"
"5881","2015","513125"
"5881","2015","513126"
"5881","2015","513127"
"850","2015","513131"
"850","2015","513132"
"850","2015","513133"
"528","2015","513138"
"528","2015","513139"
"528","2015","513140"
"528","2015","513141"
"44288","2015","513142"
"44288","2015","513143"
"44288","2015","513144"
"44288","2015","513145"
"44288","2015","513146"
"746","2015","513147"
"746","2015","513148"
"746","2015","513149"
"746","2015","513150"
"746","2015","513151"
"621","2015","513157"
"621","2015","513158"
"621","2015","513159"
"621","2015","513160"
"7219","2015","513161"
"7219","2015","513162"
"7219","2015","513163"
"795","2015","513164"
"795","2015","513165"
"795","2015","513166"
"795","2015","513167"
"795","2015","513168"
"795","2015","513169"
"795","2015","513170"
"7128","2015","513176"
"7128","2015","513177"
"7128","2015","513178"
"7128","2015","513179"
"7128","2015","513180"
"7128","2015","513181"
"7128","2015","513182"
"983","2015","513185"
"983","2015","513186"
"983","2015","513187"
"586","2015","513197"
"586","2015","513198"
"586","2015","513199"
"21072","2015","513208"
"21072","2015","513209"
"21072","2015","513210"
"42085","2015","513204"
"42085","2015","513205"
"42085","2015","513206"
"42085","2015","513207"
"807","2015","513214"
"807","2015","513215"
"807","2015","513216"
"807","2015","513217"
"807","2015","513218"
"807","2015","513219"
"49854","2015","513224"
"49854","2015","513225"
"49854","2015","513226"
"17623","2015","724704"
"40549","2015","513231"
"40549","2015","513232"
"40549","2015","513233"
"40549","2015","513234"
"40549","2015","513235"
"40549","2015","513236"
"6761","2015","513240"
"6761","2015","513241"
"6761","2015","513242"
"6789","2015","513243"
"6789","2015","513244"
"6789","2015","513245"
"6789","2015","513246"
"34144","2015","513247"
"34144","2015","513248"
"34144","2015","513249"
"5887","2015","513250"
"5887","2015","513251"
"5887","2015","513252"
"5887","2015","513253"
"5887","2015","513254"
"47814","2015","513255"
"47814","2015","513256"
"47814","2015","513257"
"47814","2015","513258"
"7139","2015","513262"
"7139","2015","513263"
"7139","2015","513264"
"7139","2015","513265"
"7139","2015","513266"
"509","2015","513273"
"509","2015","513274"
"509","2015","513275"
"509","2015","513276"
"509","2015","513277"
"25450","2015","513281"
"25450","2015","513282"
"25450","2015","513283"
"974","2015","513292"
"974","2015","513293"
"974","2015","513294"
"974","2015","513295"
"47824","2015","513307"
"47824","2015","513308"
"47824","2015","513309"
"25623","2015","513313"
"25623","2015","513314"
"25623","2015","513315"
"45120","2015","513316"
"45120","2015","513317"
"45120","2015","513318"
"35566","2015","513327"
"35566","2015","513328"
"35566","2015","513329"
"35566","2015","513330"
"46600","2015","513331"
"46600","2015","513332"
"46600","2015","513333"
"46600","2015","513334"
"46600","2015","513335"
"46600","2015","513336"
"46600","2015","513337"
"6842","2015","513338"
"6842","2015","513339"
"6842","2015","513340"
"6842","2015","513341"
"6434","2015","513345"
"6434","2015","513346"
"6434","2015","513347"
"6434","2015","513348"
"6434","2015","513349"
"51694","2015","513350"
"51694","2015","513351"
"6065","2015","513356"
"6065","2015","513357"
"6065","2015","513358"
"6065","2015","513359"
"5850","2015","513365"
"5850","2015","513366"
"5850","2015","513367"
"5850","2015","513368"
"20686","2015","513369"
"20686","2015","513370"
"20686","2015","513371"
"20686","2015","513372"
"20686","2015","513373"
"20686","2015","513374"
"20686","2015","513375"
"42097","2015","513376"
"42097","2015","513377"
"42097","2015","513378"
"42097","2015","513379"
"42097","2015","513380"
"11202","2015","513381"
"11202","2015","513382"
"11202","2015","513383"
"40113","2015","513387"
"40113","2015","513388"
"40113","2015","513389"
"40113","2015","513390"
"40113","2015","513391"
"183","2015","513397"
"183","2015","513398"
"183","2015","513399"
"183","2015","513400"
"183","2015","513401"
"183","2015","513402"
"183","2015","513403"
"11005","2015","513404"
"11005","2015","513405"
"11005","2015","513406"
"436","2015","513407"
"436","2015","513408"
"436","2015","513409"
"436","2015","513410"
"436","2015","513411"
"436","2015","513412"
"18798","2015","513413"
"18798","2015","513414"
"18798","2015","513415"
"45059","2015","513424"
"45059","2015","513425"
"45059","2015","513426"
"45059","2015","513427"
"495","2015","513428"
"495","2015","513429"
"495","2015","513430"
"495","2015","513431"
"555","2015","513432"
"555","2015","513433"
"555","2015","513434"
"555","2015","513435"
"555","2015","513436"
"7397","2015","513437"
"7397","2015","513438"
"7397","2015","513439"
"7397","2015","513440"
"9342","2015","513446"
"9342","2015","513447"
"9342","2015","513448"
"9342","2015","513449"
"9970","2015","513450"
"9970","2015","513451"
"9970","2015","513452"
"9970","2015","513453"
"33342","2015","513454"
"33342","2015","513455"
"33342","2015","513456"
"33342","2015","513457"
"45281","2015","513463"
"45281","2015","513464"
"45281","2015","513465"
"40357","2015","513477"
"40357","2015","513478"
"40357","2015","513479"
"40357","2015","513480"
"40357","2015","513481"
"39433","2015","513488"
"39433","2015","513489"
"20687","2015","513490"
"20687","2015","513491"
"20687","2015","513492"
"19949","2015","513493"
"19949","2015","513494"
"19949","2015","513495"
"19949","2015","513496"
"19949","2015","513497"
"10173","2015","513498"
"10173","2015","513499"
"10173","2015","513500"
"10173","2015","513501"
"9993","2015","513511"
"9993","2015","513512"
"9993","2015","513513"
"9993","2015","513514"
"518","2015","513515"
"518","2015","513516"
"518","2015","513517"
"518","2015","513518"
"518","2015","513519"
"6091","2015","513527"
"6091","2015","513528"
"6091","2015","513529"
"6091","2015","513530"
"464","2015","513531"
"464","2015","513532"
"464","2015","513533"
"6851","2015","513540"
"6851","2015","513541"
"6851","2015","513542"
"48656","2015","513534"
"48656","2015","513535"
"48656","2015","513536"
"48656","2015","513537"
"48656","2015","513538"
"48656","2015","513539"
"187","2015","513543"
"187","2015","513544"
"187","2015","513545"
"187","2015","513546"
"187","2015","513547"
"187","2015","513548"
"187","2015","513549"
"6801","2015","513550"
"6801","2015","513551"
"6801","2015","513552"
"11678","2015","513553"
"11678","2015","513554"
"11678","2015","513555"
"11678","2015","513556"
"11678","2015","513557"
"11678","2015","513558"
"788","2015","513559"
"788","2015","513560"
"788","2015","513561"
"788","2015","513562"
"5973","2015","513563"
"5973","2015","513564"
"5973","2015","513565"
"5973","2015","513566"
"47819","2015","513567"
"47819","2015","513568"
"47819","2015","513569"
"9890","2015","513570"
"9890","2015","513571"
"9890","2015","513572"
"8603","2015","513573"
"8603","2015","513574"
"8603","2015","513575"
"47871","2015","513576"
"47871","2015","513577"
"47871","2015","513578"
"7392","2015","513579"
"7392","2015","513580"
"7392","2015","513581"
"7392","2015","513582"
"49680","2015","513594"
"49680","2015","513595"
"49680","2015","513596"
"49680","2015","513597"
"4103","2015","513598"
"4103","2015","513599"
"4103","2015","513600"
"6866","2015","513604"
"6866","2015","513605"
"6866","2015","513606"
"423","2015","513610"
"423","2015","513611"
"423","2015","513612"
"423","2015","513613"
"423","2015","513614"
"423","2015","513615"
"423","2015","513616"
"423","2015","513617"
"45206","2015","513638"
"45206","2015","513639"
"45206","2015","513640"
"45206","2015","513641"
"45206","2015","513642"
"45206","2015","513643"
"45206","2015","513644"
"50215","2015","513645"
"50215","2015","513646"
"50215","2015","513647"
"5922","2015","513648"
"5922","2015","513649"
"5922","2015","513650"
"5922","2015","513651"
"5922","2015","513652"
"5922","2015","513653"
"5922","2015","513654"
"265","2015","513662"
"265","2015","513663"
"873","2015","513664"
"873","2015","513665"
"873","2015","513666"
"873","2015","513667"
"854","2015","513668"
"854","2015","513669"
"854","2015","513670"
"854","2015","513671"
"854","2015","513672"
"854","2015","513673"
"41656","2015","513674"
"41656","2015","513675"
"41656","2015","513676"
"41656","2015","513677"
"41656","2015","513678"
"44900","2015","513679"
"44900","2015","513680"
"44900","2015","513681"
"44900","2015","513682"
"44900","2015","513683"
"44900","2015","513684"
"44900","2015","513685"
"44900","2015","513686"
"417","2015","513687"
"417","2015","513688"
"417","2015","513689"
"417","2015","513690"
"417","2015","513691"
"29238","2015","513695"
"29238","2015","513696"
"29238","2015","513697"
"29238","2015","513698"
"29238","2015","513699"
"29238","2015","513700"
"29238","2015","513701"
"6101","2015","513710"
"6101","2015","513711"
"6101","2015","513712"
"6101","2015","513713"
"6101","2015","513714"
"6101","2015","513715"
"41890","2015","513716"
"41890","2015","513717"
"41890","2015","513718"
"41890","2015","513719"
"41890","2015","513720"
"165","2015","513721"
"165","2015","513722"
"165","2015","513723"
"437","2015","513724"
"437","2015","513725"
"437","2015","513726"
"437","2015","513727"
"437","2015","513728"
"437","2015","513729"
"437","2015","513730"
"40545","2015","513734"
"40545","2015","513735"
"40545","2015","513736"
"40545","2015","513737"
"40545","2015","513738"
"18517","2015","513739"
"18517","2015","513740"
"18517","2015","513741"
"7051","2015","513745"
"7051","2015","513746"
"7051","2015","513747"
"7051","2015","513748"
"37104","2015","513781"
"37104","2015","513782"
"37104","2015","513783"
"37104","2015","513784"
"37104","2015","513785"
"6112","2015","513789"
"6112","2015","513790"
"6112","2015","513791"
"6112","2015","513792"
"6112","2015","513793"
"6109","2015","513804"
"6109","2015","513805"
"6109","2015","513806"
"6109","2015","513807"
"6109","2015","513808"
"11300","2015","513809"
"11300","2015","513810"
"11300","2015","513811"
"11300","2015","513812"
"11300","2015","513813"
"11300","2015","513814"
"51622","2015","513825"
"51622","2015","513826"
"51622","2015","513827"
"51622","2015","513828"
"51622","2015","513829"
"45870","2015","513847"
"45870","2015","513848"
"45870","2015","513849"
"45870","2015","513850"
"45870","2015","513851"
"827","2015","513860"
"827","2015","513861"
"827","2015","513862"
"827","2015","513863"
"45915","2015","513868"
"45915","2015","513869"
"45915","2015","513870"
"45915","2015","513871"
"45915","2015","513872"
"45915","2015","513873"
"45915","2015","513874"
"4123","2015","513884"
"4123","2015","513885"
"4123","2015","513886"
"7157","2015","513893"
"7157","2015","513894"
"7157","2015","513895"
"7157","2015","513896"
"22281","2015","513901"
"22281","2015","513902"
"22281","2015","513903"
"22281","2015","513904"
"22281","2015","513905"
"22281","2015","513906"
"13837","2015","513907"
"13837","2015","513908"
"13837","2015","513909"
"13837","2015","513910"
"13837","2015","513911"
"13837","2015","513912"
"13837","2015","513913"
"36786","2015","513918"
"36786","2015","513919"
"36786","2015","513920"
"194","2015","513921"
"194","2015","513922"
"194","2015","513923"
"194","2015","513924"
"18976","2015","513931"
"18976","2015","513932"
"18976","2015","513933"
"18976","2015","513934"
"352","2015","513946"
"352","2015","513947"
"352","2015","513948"
"8925","2015","513949"
"8925","2015","513950"
"8925","2015","513951"
"8925","2015","513952"
"8925","2015","513953"
"6033","2015","513971"
"6033","2015","513972"
"6033","2015","513973"
"10296","2015","513974"
"10296","2015","513975"
"10296","2015","513976"
"10296","2015","513977"
"10296","2015","513978"
"10296","2015","513979"
"16413","2015","513980"
"16413","2015","513981"
"16413","2015","513982"
"16413","2015","513983"
"16413","2015","513984"
"16413","2015","513985"
"16413","2015","513986"
"15588","2015","513990"
"15588","2015","513991"
"15588","2015","513992"
"582","2015","513997"
"582","2015","513998"
"582","2015","513999"
"582","2015","514000"
"582","2015","514001"
"582","2015","514002"
"582","2015","514003"
"10377","2015","514004"
"10377","2015","514005"
"10377","2015","514006"
"9546","2015","514007"
"9546","2015","514008"
"44315","2015","514009"
"44315","2015","514010"
"44315","2015","514011"
"50319","2015","514015"
"50319","2015","514016"
"50319","2015","514017"
"50319","2015","514018"
"7382","2015","514024"
"7382","2015","514025"
"7382","2015","514026"
"970","2015","514027"
"970","2015","514028"
"970","2015","514029"
"970","2015","514030"
"885","2015","514031"
"885","2015","514032"
"885","2015","514033"
"34010","2015","514034"
"34010","2015","514035"
"34010","2015","514036"
"8474","2015","514049"
"8474","2015","514050"
"8474","2015","514051"
"30698","2015","514063"
"30698","2015","514064"
"30698","2015","514065"
"30698","2015","514066"
"30698","2015","514067"
"30698","2015","514068"
"30698","2015","514069"
"848","2015","514078"
"848","2015","514079"
"848","2015","514080"
"41961","2015","514081"
"41961","2015","514082"
"41961","2015","514083"
"6437","2015","514094"
"6437","2015","514095"
"6437","2015","514096"
"6437","2015","514097"
"6437","2015","514098"
"50660","2015","514099"
"50660","2015","514100"
"50660","2015","514101"
"50659","2015","514104"
"50659","2015","514105"
"50659","2015","514106"
"11952","2015","514107"
"11952","2015","514108"
"11952","2015","514109"
"11952","2015","514110"
"9749","2015","514113"
"9749","2015","514114"
"9749","2015","514115"
"9749","2015","514116"
"9749","2015","514117"
"6446","2015","514118"
"6446","2015","514119"
"6446","2015","514120"
"6062","2015","514121"
"6062","2015","514122"
"6062","2015","514123"
"6062","2015","514124"
"6062","2015","514125"
"9654","2015","514138"
"9654","2015","514139"
"18701","2015","514140"
"18701","2015","514141"
"18701","2015","514142"
"17623","2015","724705"
"1225","2015","514153"
"17623","2015","724706"
"1225","2015","514155"
"1225","2015","514156"
"820","2015","514157"
"820","2015","514158"
"820","2015","514159"
"6055","2015","514160"
"6055","2015","514161"
"6055","2015","514162"
"41314","2015","514169"
"41314","2015","514170"
"41314","2015","514171"
"41314","2015","514172"
"45279","2015","514173"
"45279","2015","514174"
"45279","2015","514175"
"289","2015","514186"
"289","2015","514187"
"289","2015","514188"
"47359","2015","514189"
"47359","2015","514190"
"47359","2015","514191"
"47359","2015","514192"
"47359","2015","514193"
"47359","2015","514194"
"821","2015","514206"
"821","2015","514207"
