"university_id","student_hostel_id","survey_year"
"0146","148360","2015"
"0146","148361","2015"
"0146","148362","2015"
"0627","148644","2015"
"0627","148645","2015"
"0627","148646","2015"
"0627","148647","2015"
"0627","148648","2015"
"0045","150056","2015"
"0045","150057","2015"
"0045","150058","2015"
"0045","150059","2015"
"0045","150060","2015"
"0045","150061","2015"
"0045","150062","2015"
"0045","150063","2015"
"0750","150263","2015"
"0750","150264","2015"
"0750","150265","2015"
"0750","150266","2015"
"0750","150267","2015"
"0750","150268","2015"
"0750","150269","2015"
"0750","150270","2015"
"0750","150271","2015"
"0750","150272","2015"
"0471","150356","2015"
"0471","150357","2015"
"0471","150358","2015"
"0505","150367","2015"
"0505","150368","2015"
"0505","150369","2015"
"0505","150370","2015"
"0505","150371","2015"
"0365","150463","2015"
"0365","150464","2015"
"0268","150559","2015"
"0268","150560","2015"
"0173","151130","2015"
"0173","151131","2015"
"0173","151132","2015"
"0173","151133","2015"
"0173","151134","2015"
"0173","151135","2015"
"0173","151136","2015"
"0173","151137","2015"
"0173","151138","2015"
"0173","151139","2015"
"0173","151140","2015"
"0122","151308","2015"
"0122","151309","2015"
"0122","151310","2015"
"0580","151394","2015"
"0580","151395","2015"
"0464","151619","2015"
"0464","151620","2015"
"0303","152047","2015"
"0303","152048","2015"
"0138","152078","2015"
"0138","152079","2015"
"0138","152080","2015"
"0138","152081","2015"
"0138","152082","2015"
"0138","152083","2015"
"0636","152142","2015"
"0778","152579","2015"
"0778","152580","2015"
"0165","152581","2015"
"0165","152582","2015"
"0165","152583","2015"
"0165","152584","2015"
"0165","152585","2015"
"0649","152704","2015"
"0649","152705","2015"
"0649","152706","2015"
"0649","152707","2015"
"0649","152708","2015"
"0152","153059","2015"
"0152","153060","2015"
"0126","153167","2015"
"0126","153168","2015"
"0126","153169","2015"
"0126","153170","2015"
"0126","153171","2015"
"0126","153172","2015"
"0126","153173","2015"
"0142","153323","2015"
"0142","153324","2015"
"0734","153591","2015"
"0734","153592","2015"
"0734","153593","2015"
"0734","153594","2015"
"0734","153595","2015"
"0734","153596","2015"
"0734","153597","2015"
"0734","153598","2015"
"0734","153599","2015"
"0368","153638","2015"
"0368","153639","2015"
"0368","153640","2015"
"0368","153641","2015"
"0368","153642","2015"
"0368","153643","2015"
"0368","153644","2015"
"0368","153645","2015"
"0368","153646","2015"
"0368","153647","2015"
"0368","153648","2015"
"0128","153675","2015"
"0128","153676","2015"
"0128","153677","2015"
"0128","153678","2015"
"0125","153971","2015"
"0593","154083","2015"
"0593","154084","2015"
"0127","154132","2015"
"0127","154133","2015"
"0127","154134","2015"
"0591","154505","2015"
"0591","154506","2015"
"0591","154507","2015"
"0591","154508","2015"
"0591","154509","2015"
"0591","154510","2015"
"0591","154511","2015"
"0591","154512","2015"
"0591","154513","2015"
"0232","155074","2015"
"0232","155075","2015"
"0232","155076","2015"
"0232","155077","2015"
"0232","155078","2015"
"0232","155079","2015"
"0494","155896","2015"
"0494","155897","2015"
"0378","155969","2015"
"0378","155970","2015"
"0378","155971","2015"
"0378","155972","2015"
"0378","155973","2015"
"0378","155974","2015"
"0354","156086","2015"
"0354","156087","2015"
"0218","156217","2015"
"0218","156218","2015"
"0218","156219","2015"
"0218","156220","2015"
"0218","156221","2015"
"0218","156222","2015"
"0250","156596","2015"
"0250","156597","2015"
"0250","156598","2015"
"0250","156599","2015"
"0250","156600","2015"
"0250","156601","2015"
"0250","156602","2015"
"0670","156621","2015"
"0588","156630","2015"
"0588","156631","2015"
"0588","156632","2015"
"0588","156633","2015"
"0132","157024","2015"
"0132","157025","2015"
"0132","157026","2015"
"0132","157027","2015"
"0132","157028","2015"
"0132","157029","2015"
"0132","157030","2015"
"0572","157152","2015"
"0572","157153","2015"
"0572","157154","2015"
"0153","157524","2015"
"0153","157525","2015"
"0153","157526","2015"
"0153","157527","2015"
"0153","157528","2015"
"0153","157529","2015"
"0153","157530","2015"
"0153","157531","2015"
"0153","157532","2015"
"0153","157533","2015"
"0153","157534","2015"
"0153","157535","2015"
"0153","157536","2015"
"0130","157554","2015"
"0130","157555","2015"
"0595","157556","2015"
"0595","157557","2015"
"0595","157558","2015"
"0595","157559","2015"
"0765","157841","2015"
"0765","157842","2015"
"0663","157977","2015"
"0663","157978","2015"
"0597","158208","2015"
"0597","158209","2015"
"0133","158431","2015"
"0133","158432","2015"
"0133","158433","2015"
"0133","158434","2015"
"0133","158435","2015"
"0133","158436","2015"
"0136","158678","2015"
"0136","158679","2015"
"0136","158680","2015"
"0136","158681","2015"
"0136","158682","2015"
"0136","158683","2015"
"0136","158684","2015"
"0136","158685","2015"
"0136","158686","2015"
"0708","158769","2015"
"0708","158770","2015"
"0668","158778","2015"
"0668","158779","2015"
"0668","158780","2015"
"0702","158959","2015"
"0702","158960","2015"
"0702","158961","2015"
"0702","158962","2015"
"0702","158963","2015"
"0702","158964","2015"
"0702","158965","2015"
"0759","158982","2015"
"0753","159037","2015"
"0753","159038","2015"
"0602","159161","2015"
"0602","159162","2015"
"0147","159294","2015"
"0147","159295","2015"
"0134","159308","2015"
"0134","159309","2015"
"0140","159358","2015"
"0140","159359","2015"
"0140","159360","2015"
"0140","159361","2015"
"0140","159362","2015"
"0140","159363","2015"
"0140","159364","2015"
"0140","159365","2015"
"0140","159366","2015"
"0140","159367","2015"
