"id","intake_capacity","name","students_residing","type_id"
"165630","85","LADIES HOSTEL-428 SAHEED NAGAR","83","2"
"185671","205","Stephan Hall","205","1"
"181944","150","Nurses Hostel","150","2"
"181062","50","BOYS HOSTEL","21","1"
"181160","240","Boys Hostel","120","1"
"183806","324","Campus 1 Boys Hostel II","322","1"
"159036","531","Magalmala Womens Hostel","398","2"
"158179","122","Boys Hostel","122","1"
"166787","200","THE ERODE COLLEGE OF PHARMACY","124","2"
"169683","84","Girls Wings","84","2"
"156344","20","SCHMCT - 2","0","2"
"172465","237","oxford general boys hostel","10","1"
"157362","50","DECCAN WOMENS","23","2"
"178438","80","St.Joseph Hostel","80","1"
"150075","300","CTIT GIRLS HOSTEL","150","1"
"151927","125","Shri Raghavendra Bharati Vidyarthi Nilaya","80","1"
"159287","295","Girls' Hostel","34","2"
"192701","160","PHOENIX HOUSE","0","2"
"180778","100","WELKIN COLLEGE HOSTEL GIRLS","30","2"
"189107","195","Mat Khivi Girls Hostel","24","2"
"192508","280","Hostel No. 3","415","1"
"181602","57","S.D.Jain","32","1"
"178967","100","SNR BOYS HOSTEL","34","1"
"168343","150","St ANNS GIRLS HOSTEL","128","2"
"173073","100","Krishnasree Hostel","3","2"
"182707","65","2 BOY'S HOSTEL","65","1"
"165495","30","sitm Girls","4","2"
"178832","59","Vishnu (UG Hostel)","103","1"
"184767","150","BOYS","19","1"
"184187","150","LEH for house staff","150","2"
"185827","4","Assam Mess Hostel","4","3"
"169123","200","PKITM BOYS HOSTEL","100","1"
"161405","50","PRIVATE HOSTEL","40","1"
"192664","51","NIH UG INTERN","50","1"
"164695","149","Boys Hostel-B","93","1"
"177217","206","New PG Hostel","206","1"
"160154","250","boys hostal 1","43","1"
"181380","36","VINDYACHAL","0","1"
"175133","240","BASANT KUNJ - BLOCK B","180","1"
"168445","440","Vittobai Hostel","292","2"
"153939","0","Chakdaha College Hostel (under construction)","0","2"
"191993","20","ILAS Hostel","2","2"
