"university_id","survey_year","private_students_result_id"
"0058","2015","2420"
"0058","2015","2421"
"0058","2015","2422"
"0058","2015","2423"
"0058","2015","2424"
"0058","2015","2425"
"0058","2015","2426"
"0058","2015","2427"
"0058","2015","2428"
"0058","2015","2429"
"0058","2015","2430"
"0058","2015","2431"
"0058","2015","2432"
"0058","2015","2433"
"0058","2015","2434"
"0058","2015","2435"
"0058","2015","2436"
"0058","2015","2437"
"0058","2015","2438"
"0058","2015","2439"
"0058","2015","2440"
"0058","2015","2441"
"0058","2015","2442"
"0058","2015","2443"
"0414","2015","2444"
"0678","2015","2445"
"0246","2015","2446"
"0387","2015","2447"
"0387","2015","2448"
"0387","2015","2449"
"0387","2015","2450"
"0387","2015","2451"
"0387","2015","2452"
"0387","2015","2453"
"0387","2015","2454"
"0387","2015","2455"
"0387","2015","2456"
"0387","2015","2457"
"0387","2015","2458"
"0387","2015","2459"
"0387","2015","2460"
"0387","2015","2461"
"0387","2015","2462"
"0387","2015","2463"
"0387","2015","2464"
"0387","2015","2465"
"0387","2015","2466"
"0387","2015","2467"
"0550","2015","2468"
"0383","2015","2469"
"0383","2015","2470"
"0383","2015","2471"
"0383","2015","2472"
"0383","2015","2473"
"0383","2015","2474"
"0383","2015","2475"
"0383","2015","2476"
"0383","2015","2477"
"0383","2015","2478"
"0383","2015","2479"
"0383","2015","2480"
"0383","2015","2481"
"0383","2015","2482"
"0383","2015","2483"
"0383","2015","2484"
"0383","2015","2485"
"0383","2015","2486"
"0492","2015","2487"
"0492","2015","2488"
"0492","2015","2489"
"0492","2015","2490"
"0492","2015","2491"
"0492","2015","2492"
"0492","2015","2493"
"0492","2015","2494"
"0492","2015","2495"
"0492","2015","2496"
"0492","2015","2497"
"0492","2015","2498"
"0492","2015","2499"
"0492","2015","2500"
"0492","2015","2501"
"0492","2015","2502"
"0492","2015","2503"
"0492","2015","2504"
"0492","2015","2505"
"0492","2015","2506"
"0492","2015","2507"
"0492","2015","2508"
"0492","2015","2509"
"0492","2015","2510"
"0492","2015","2511"
"0492","2015","2512"
"0492","2015","2513"
"0492","2015","2514"
"0492","2015","2515"
"0492","2015","2516"
"0492","2015","2517"
"0492","2015","2518"
"0492","2015","2519"
"0492","2015","2520"
"0492","2015","2521"
"0492","2015","2522"
"0492","2015","2523"
"0492","2015","2524"
"0492","2015","2525"
"0492","2015","2526"
"0492","2015","2527"
"0492","2015","2528"
"0492","2015","2529"
"0492","2015","2530"
"0492","2015","2531"
"0492","2015","2532"
"0492","2015","2533"
"0492","2015","2534"
"0492","2015","2535"
"0492","2015","2536"
"0492","2015","2537"
"0492","2015","2538"
"0492","2015","2539"
"0492","2015","2540"
"0492","2015","2541"
"0492","2015","2542"
"0492","2015","2543"
"0492","2015","2544"
"0492","2015","2545"
"0492","2015","2546"
"0492","2015","2547"
"0492","2015","2548"
"0492","2015","2549"
"0492","2015","2550"
"0492","2015","2551"
"0492","2015","2552"
"0492","2015","2553"
"0492","2015","2554"
"0492","2015","2555"
"0492","2015","2556"
"0492","2015","2557"
"0492","2015","2558"
"0492","2015","2559"
"0492","2015","2560"
"0492","2015","2561"
"0492","2015","2562"
"0492","2015","2563"
"0492","2015","2564"
"0492","2015","2565"
"0492","2015","2566"
"0492","2015","2567"
"0492","2015","2568"
"0492","2015","2569"
"0492","2015","2570"
"0492","2015","2571"
"0492","2015","2572"
"0492","2015","2573"
"0492","2015","2574"
"0492","2015","2575"
"0492","2015","2576"
"0492","2015","2577"
"0492","2015","2578"
"0492","2015","2579"
"0492","2015","2580"
"0492","2015","2581"
"0492","2015","2582"
"0492","2015","2583"
"0492","2015","2584"
"0492","2015","2585"
"0492","2015","2586"
"0492","2015","2587"
"0492","2015","2588"
"0492","2015","2589"
"0492","2015","2590"
"0492","2015","2591"
"0492","2015","2592"
"0492","2015","2593"
"0492","2015","2594"
"0492","2015","2595"
"0492","2015","2596"
"0492","2015","2597"
"0492","2015","2598"
"0492","2015","2599"
"0492","2015","2600"
"0492","2015","2601"
"0492","2015","2602"
"0492","2015","2603"
"0492","2015","2604"
"0492","2015","2605"
"0492","2015","2606"
"0492","2015","2607"
"0276","2015","2608"
"0041","2015","2609"
"0682","2015","2610"
"0292","2015","2611"
"0712","2015","2612"
"0712","2015","2613"
"0712","2015","2614"
"0712","2015","2615"
"0712","2015","2616"
"0712","2015","2617"
"0712","2015","2618"
"0712","2015","2619"
"0712","2015","2620"
"0712","2015","2621"
"0712","2015","2622"
"0712","2015","2623"
"0712","2015","2624"
"0712","2015","2625"
"0712","2015","2626"
"0712","2015","2627"
"0712","2015","2628"
"0712","2015","2629"
"0712","2015","2630"
"0712","2015","2631"
"0712","2015","2632"
"0712","2015","2633"
"0712","2015","2634"
