"id","level_id","programme_id","broad_discipline_group_category_id","broad_discipline_group_id","discipline","appeared_total","appeared_female","passed_total","passed_female","first_class_passed_total","first_class_passed_female"
"1824","3","124","13","050","Gujarati","538","442","294","248","78","68"
"1826","3","124","25","109","Economics","224","169","116","95","23","18"
"1827","3","124","25","174","Mathematics","2","1","0","0","0","0"
"1828","3","093","03","009","Commerce","1528","1086","562","450","153","133"
"2010","3","093","03","009","Commerce","323","188","308","182","13","11"
"1829","3","124","25","116","Political Science","5","5","2","2","0","0"
"2012","6","082","09","127","Music","1337","711","1232","670","857","486"
"2013","6","082","09","029","Dance","780","763","745","730","663","649"
"2014","4","176","09","127","Music","48","14","45","14","17","4"
"2015","4","176","09","127","Dance","13","9","8","6","6","4"
"2016","4","006","28","178","Music","15","4","9","4","4","2"
"2017","4","006","28","178","Dance","1","1","1","1","0","0"
"2018","3","106","09","127","Music","77","29","69","25","33","12"
"2019","3","095","09","029","Dance","38","32","37","32","37","25"
"2020","2","109","09","029","Dance","2","1","2","1","2","1"
"2021","4","051","09","030","Visual Art","1","0","1","0","1","0"
"2022","4","006","28","178","Folk Music","90","27","52","14","0","0"
"2023","6","082","09","030","Visual Arts","38","12","35","11","27","9"
"2024","3","124","29","179","Ancient Indian History Culture & Archaeology","5","1","5","1","2","1"
"2025","4","006","28","178","Theater","1","0","1","0","0","0"
"2026","6","082","09","029","Folk Music","65","49","54","40","48","36"
"2027","4","006","28","178","Arts","4921","2480","2279","1176","30","20"
"2028","4","012","03","009","Commerce","410","192","234","113","19","13"
"2029","4","030","24","171","Science","1309","708","656","396","84","63"
"2030","4","046","32","183","Computer Application","54","20","11","8","9","7"
"2031","4","030","12","038","Home Science","14","14","3","3","2","2"
"2032","3","124","25","114","Public Administration","36","16","29","14","1","1"
"2033","3","111","24","099","Geology","71","38","49","26","4","1"
"2034","3","093","03","009","commerce","292","150","251","135","17","16"
"2035","3","124","25","111","Ancient Indian History","5","5","5","5","1","1"
"2036","3","111","24","174","Mathematics","19","7","3","2","2","1"
"2037","3","124","25","111","History","327","146","259","120","3","2"
"2038","3","124","10","031","English","140","101","125","92","1","1"
"2039","3","124","25","109","Economics","451","212","363","182","4","3"
"2040","3","124","13","041","Language","1541","959","1407","892","131","85"
"2041","3","124","25","112","political Science","441","236","396","220","4","2"
"2042","3","124","13","046","Language","629","369","300","203","1","0"
"2043","3","124","25","115","Sociology","586","341","537","320","3","3"
"1832","3","124","25","115","Sociology","56","37","20","13","0","0"
"1833","3","124","25","111","History","138","94","108","66","46","29"
"1834","3","124","13","041","Hindi","132","97","99","79","39","34"
"2389","1","004","20","064","Ayurveda","0","0","0","0","0","0"
"1993","3","124","13","049","Urdu","98","83","96","81","41","37"
"1994","3","124","25","115","Sociology","396","331","360","303","0","0"
"1995","3","124","06","012","Education","1","1","0","0","0","0"
"1996","3","124","25","110","Geography","1","0","0","0","0","0"
"1997","3","124","25","111","History","61","34","49","29","0","0"
"1998","3","124","25","119","Philosophy","5","3","4","2","1","0"
"2051","3","124","10","031","English","299","196","106","74","41","27"
"2342","4","006","28","178","B.A.","0","0","0","0","0","0"
"2344","3","124","10","031","English","1674","1107","531","392","4","3"
"2345","3","124","25","115","Sociology","520","295","125","92","80","65"
"2346","3","124","25","114","ublic Administration","281","89","177","89","60","37"
"2347","3","124","25","116","Music","97","37","57","29","36","29"
"2348","3","124","25","112","Political Science","2449","1610","1200","839","550","361"
"2349","3","124","25","111","History","1714","1147","547","364","41","29"
"2350","3","124","25","109","Economics","466","305","236","164","40","30"
"2351","3","124","13","041","Hindi","2674","2492","1342","1277","305","295"
"2352","3","124","13","046","Sanskrit","376","291","75","61","6","5"
"2353","3","124","25","174","Mathematics","375","81","69","21","17","5"
"2286","3","124","13","045","Punjabi","1221","1156","532","518","15","14"
"2287","3","124","25","174","Mathematics","24","23","3","3","2","2"
"2288","3","124","13","046","Sanskrit","12","7","4","1","3","1"
"2289","3","124","02","008","Music Vocal","2","0","1","0","1","0"
"2290","3","124","11","036","Gandhian","1","1","1","1","1","1"
"2291","3","124","02","008","Music Instrument","5","3","3","2","3","2"
"2292","3","124","13","041","Hindi","1015","983","616","595","99","88"
"2293","3","124","25","111","History","1603","1472","1067","982","41","37"
"2294","3","124","25","109","Economics","140","133","32","31","3","3"
"2295","3","124","10","031","English","223","213","34","34","0","0"
"2296","3","124","25","112","Political Science","858","771","461","413","58","56"
"2044","3","124","25","109","Economics","126","55","77","43","55","32"
"2045","3","124","25","119","Philosophy","5","1","2","0","1","0"
"2046","3","124","13","042","Kannada","235","136","148","96","95","64"
"2047","3","124","13","049","Urdu","17","12","13","9","12","8"
"2048","3","124","25","112","Political Science","212","93","121","66","97","52"
"2049","3","124","13","050","Marathi","10","3","8","3","6","3"
"2050","3","124","25","111","History & Archaeology","183","111","125","83","86","58"
"2052","3","124","25","115","Sociology","186","117","131","90","91","60"
"2053","3","093","03","009","Commerce","642","396","215","160","195","147"
"2054","3","124","13","041","Hindi","91","68","55","43","41","38"
"2055","3","124","13","046","Sanskrit","3","1","1","1","1","1"
"1999","3","124","25","112","Political Science","149","81","146","79","1","1"
"2000","3","124","25","111","Ancient History","30","18","30","18","1","0"
"2001","3","124","25","109","Economics","4","3","2","2","0","0"
"2002","4","030","24","171","Science","5","2","4","1","0","0"
"2003","3","111","24","104","Physics","3","0","3","0","1","0"
"2004","4","012","03","009","Commerce","115","69","107","67","3","3"
"2005","3","111","24","106","Zoology","4","4","1","1","0","0"
"2006","4","006","28","178","Arts","768","433","723","415","4","3"
"2007","3","124","10","031","English","58","44","46","35","0","0"
"2008","3","111","24","174","Mathematics","4","2","1","0","0","0"
"2009","3","124","13","046","Sanskrit","11","10","11","10","1","1"
"2011","3","124","13","041","Hindi","195","150","175","136","7","4"
"2354","4","006","28","178","Arts","5369","3082","1546","810","1546","810"
"2355","4","012","03","009","Commerce","2719","1334","842","428","364","215"
"2356","3","124","13","050","Marathi","3501","1904","1240","658","492","296"
"2357","3","093","03","009","Commerce","3680","1922","1186","688","367","255"
"2358","3","089","15","052","Law","328","174","264","164","0","0"
"2359","3","111","24","174","Mathematics","51","35","5","5","1","1"
"2360","4","006","28","178","0","0","0","0","0","0","0"
"2361","4","006","28","178","over all","26322","11730","22348","10237","367","161"
"2362","4","012","03","009","Commerce","3820","929","3330","866","160","104"
"2363","3","093","03","009","commerce","4566","1815","3920","1641","274","204"
"2364","3","124","10","031","English","3867","859","3616","823","0","0"
"2365","3","124","25","115","Sociology","5364","3653","4471","3164","124","98"
"2366","3","124","25","109","Economics","6116","4155","5247","3624","134","91"
"2367","3","124","13","046","Sanskrit","607","444","499","373","153","114"
"2368","3","124","25","112","Political Science","1814","663","1537","569","85","38"
"2369","3","124","25","111","Hisroty","1334","495","1175","447","253","108"
"2370","3","124","25","174","Maths","165","61","96","40","2","0"
"2371","3","124","13","041","Hindi","1849","1204","1587","1044","149","96"
"2372","3","124","25","119","Philosophy","74","34","60","27","15","8"
"2373","3","124","13","049","Urdu","1100","763","874","601","183","107"
"2374","3","124","10","035","Persian","1","1","1","1","1","1"
"2375","3","124","29","179","Mohiniyattan","0","0","0","0","0","0"
"2377","3","124","06","012","Education","1219","582","907","417","396","145"
"2112","3","111","32","095","CS","0","0","0","0","0","0"
"2117","3","093","03","009","Commerce","65","60","65","60","0","0"
"2118","3","124","06","012","Arts","342","311","342","311","0","0"
"2119","3","124","23","089","Theology","10","8","10","8","0","0"
"2120","3","124","25","110","Geography","3","3","3","3","0","0"
"2121","3","124","29","179","cultural studies","0","0","0","0","0","0"
"2122","3","122","07","017","INFORMATION TECHNOLOGY","136","35","136","35","136","35"
"2123","3","111","32","185","INFORMATION TECHNOLOGY","5","2","5","2","5","2"
"2124","1","157","07","185","INFORMATION TECHNOLOGY","7","4","7","4","7","4"
"2125","4","006","28","178","Genral","123","123","106","106","74","74"
"2126","4","006","28","178","English","6","6","3","3","3","3"
"2127","4","006","28","178","HIndi","3","3","1","1","1","1"
"2128","4","012","03","009","English","20","20","18","18","7","7"
"2129","3","124","02","008","English","108","108","104","104","98","98"
"2130","3","124","02","008","Economics","26","26","25","25","20","20"
"2131","3","124","02","008","Political Science","30","30","27","27","25","25"
"2132","3","124","02","008","Sociology","54","54","49","49","46","46"
"2133","3","124","27","118","Women Studies","2","2","1","1","1","1"
"2134","3","124","02","008","History","93","93","91","91","89","89"
"2135","3","124","02","008","HIndi","60","60","59","59","43","43"
"2136","3","093","03","009","English","51","51","50","50","46","46"
"2432","1","157","25","116","English","17","8","17","8","17","8"
"2412","1","157","20","156","Microbiology","2","2","2","2","2","2"
"2413","1","157","07","017","Computer Science & Engineering","2","0","2","0","2","0"
"2414","1","157","18","060","Management Studies","1","1","1","1","1","1"
"2415","1","157","24","094","Chemistry","1","0","1","0","1","0"
"2416","1","157","20","143","Biochemistry","1","1","1","1","1","1"
"2417","1","157","07","023","Mechanical Engineering","1","0","1","0","1","0"
"2421","1","157","24","096","Electronics","12","5","12","5","12","5"
"2376","1","157","24","106","Zoology","24","12","24","12","24","12"
"2418","1","157","24","104","Physics","24","12","24","12","24","12"
"2419","1","157","25","119","Philosophy","8","2","8","2","8","2"
"2420","1","157","25","116","Urdu","12","4","12","4","12","4"
"2422","1","157","18","055","Business Management","6","3","6","3","6","3"
"2423","1","157","25","116","Persian","5","2","5","2","5","2"
"2424","1","157","24","174","Mathematics","15","5","15","5","15","5"
"2425","1","157","07","019","Electrical Engineering","10","4","10","4","10","4"
"2426","1","157","32","185","Information Technology","5","1","5","1","5","1"
"2427","1","157","25","110","Geography","21","3","21","3","21","3"
"2428","1","157","25","112","Political Science","32","13","32","13","32","13"
"2429","1","157","03","009","Commerce","20","9","20","9","20","9"
"2430","1","157","25","109","Economics","24","10","24","10","24","10"
"2431","1","157","07","023","Mechanical Engineering","6","2","6","2","6","2"
"2433","1","157","25","111","History","30","12","30","12","30","12"
"2434","1","157","25","116","Maithili","5","3","5","3","5","3"
"2435","1","157","25","116","Hindi","29","14","29","14","29","14"
"2436","1","157","25","113","Psychology","19","9","19","9","19","9"
"2437","1","157","24","094","Chemistry","23","11","23","11","23","11"
"2438","1","157","25","116","Sanskrit","14","5","14","5","14","5"
"2439","1","157","25","116","Home Science","18","18","18","18","18","18"
"2440","1","157","24","093","Botany","25","15","25","15","25","15"
"2441","1","157","06","012","Education","3","1","3","1","3","1"
"2442","1","157","25","116","Bengla","5","2","5","2","5","2"
"2443","1","157","07","020","Electronics Engineering","8","3","8","3","8","3"
"2444","4","087","15","052","Law","0","0","0","0","0","0"
"2445","1","157","14","051","JOURNALISM","0","0","0","0","0","0"
"2446","6","082","01","001","agri","0","0","0","0","0","0"
"2447","3","124","10","031","English","1106","738","906","619","11","11"
"2448","3","124","13","041","Hindi","4290","2574","3368","2045","104","71"
"2449","3","124","13","050","Rajasthani","7","1","6","1","2","0"
"2450","3","124","13","046","Sanskrit","1065","778","759","587","93","79"
"2451","3","124","13","050","Sindhi","1","1","1","1","0","0"
"2452","3","124","13","049","Urdu","394","233","308","185","39","17"
"2453","3","124","25","112","Political Science","1486","606","1280","552","42","27"
"2454","3","124","25","115","Sociology","2508","1566","1997","1327","7","5"
"2455","3","124","25","119","Philosophy","29","8","21","6","11","6"
"2456","3","124","25","114","Public Administration","350","177","249","152","19","11"
"2457","3","124","25","111","History","1438","482","1278","438","45","25"
"2458","3","124","25","109","Economics","76","30","45","22","5","4"
"2459","3","093","03","009","ABST","747","301","642","273","277","177"
"2460","3","093","03","009","Business Administration","749","294","584","253","26","23"
"2461","3","093","03","009","EAFM","366","118","268","99","42","25"
"2462","3","111","24","174","Mathematics","44","26","22","12","1","1"
"2463","4","006","28","178","Arts","19819","8268","14938","6789","209","143"
"2464","4","030","24","171","Science","398","124","275","87","52","19"
"2465","4","030","24","171","Additional","5","1","1","0","0","0"
"2466","4","012","03","009","Commerce","1758","514","1473","471","162","101"
"2467","4","006","28","178","Additional","377","106","169","63","0","0"
"2468","3","124","02","008","NA","0","0","0","0","0","0"
"2469","4","006","28","178","BA","13907","10154","8316","6850","571","563"
"2470","4","012","03","009","B.Com","84","46","66","36","0","0"
"2471","3","124","05","011","Defence Study","13","6","9","4","0","0"
"2472","3","124","25","109","Economics","125","115","67","64","12","11"
"2473","3","124","10","031","English","433","398","103","93","1","1"
"2474","3","124","29","179","Gurmat Sangeet","3","1","3","1","3","1"
"2475","3","124","13","041","Hindi","886","851","552","529","44","43"
"2476","3","124","25","111","History","1685","1545","1366","1258","323","299"
"2477","3","124","14","051","Journalism","7","2","6","1","1","0"
"2478","3","124","13","045","Punjabi","3095","2792","2354","2126","227","217"
"2479","3","124","25","119","Philosophy","10","7","9","6","6","3"
"2480","3","124","25","112","Political Science","1557","1453","1221","1159","258","239"
"2481","3","124","25","114","Public Adm","140","125","121","108","74","65"
"2482","3","124","23","088","Religious Studies","88","78","46","42","15","13"
"2483","3","124","23","088","Sikh Studies","7","3","7","3","5","3"
"2484","3","124","13","046","Sanskrit","12","5","6","3","2","1"
"2485","3","124","25","115","Sociology","24","19","15","13","6","5"
"2486","3","124","13","049","Urdu","15","10","12","8","5","3"
"2507","3","132","20","066","Periodontology","2","2","2","2","0","0"
"2608","1","157","06","012","EDUCATIOM","200","40","180","30","50","10"
"2487","4","050","07","019","Electrical and Electronics Engineering","116","6","98","6","66","6"
"2488","3","133","07","026","Biomedical Engineering","3","1","1","1","1","1"
"2489","3","131","20","067","Dermatology, Venereology & Leprosy","7","5","7","5","2","2"
"2490","5","155","20","063","Anesthesiology","4","1","4","1","0","0"
"2491","4","050","07","026","Biomedical Engineering","22","10","18","10","15","10"
"2492","4","031","20","072","Nursing","162","135","159","132","143","120"
"2493","3","132","20","066","Oral & Maxillofacial Surgery","2","0","2","0","1","0"
"2494","3","133","07","023","Manufacturing Engineering","19","0","17","0","17","0"
"2495","3","131","20","156","Microbiology","7","5","7","5","4","3"
"2496","5","155","20","073","Orthopaedics","6","0","5","0","4","0"
"2497","3","131","20","078","Psychiatry","1","0","1","0","0","0"
"2498","3","126","18","133","Business Administration - Part Time","43","8","40","8","40","8"
"2499","3","111","24","094","Chemistry","7","0","7","0","2","0"
"2500","3","132","20","066","Oral Pathology & Microbiology","2","0","2","0","1","0"
"2501","5","155","20","078","Oto - Rhino Laryngology","1","1","1","1","1","1"
"2502","4","050","07","020","Electronics and Tele Communication Engineering","9","2","4","0","1","0"
"2503","4","017","06","012","Education","106","57","106","57","99","53"
"2504","3","131","20","078","Accident & Critical Care Medicine","25","1","23","1","21","1"
"2505","4","050","07","023","Mechatronics","28","0","24","0","18","0"
"2506","3","132","20","066","Prosthdontics and Crown & Bridge","2","2","2","2","1","1"
"2508","3","133","07","016","Structural Engineering - Part Time","30","8","10","4","10","4"
"2509","3","150","20","164","Obstetrics and Gyneacological Physiotherapy","2","2","2","2","2","2"
"2510","3","131","20","075","Paediatrics","11","2","10","2","6","2"
"2511","4","027","20","076","Pharmacy","49","7","43","7","29","7"
"2512","4","050","07","020","Electronics and Communication Engineering - Part Time","27","2","20","1","17","0"
"2513","4","050","07","023","Mechanical Engineering","523","0","390","0","281","0"
"2514","3","133","07","020","Applied Electronics","3","1","3","1","3","1"
