"id","level_id","programme_id","broad_discipline_group_category_id","broad_discipline_group_id","discipline","appeared_total","appeared_female","passed_total","passed_female","first_class_passed_total","first_class_passed_female"
"2601","3","152","20","162","Ophthalmology","4","1","3","1","1","0"
"2602","4","056","20","071","Homeopathy","86","48","75","47","34","34"
"2603","4","030","24","171","Physics","2","1","1","1","1","1"
"2604","4","129","20","068","General Medicine","365","164","302","156","211","136"
"2605","3","133","07","016","Environmental Engineering","2","0","2","0","2","0"
"2606","4","030","24","171","Mathematics","1","0","1","0","1","0"
"2607","4","030","24","171","Chemistry","3","1","3","1","2","1"
"2609","3","124","06","012","0","0","0","0","0","0","0"
"2610","4","036","07","016","CIVIL ENGINEERING","0","0","0","0","0","0"
"2611","4","006","28","178","Arts","0","0","0","0","0","0"
"2612","4","006","28","178","Arts","0","0","0","0","0","0"
"2613","4","019","16","053","Lib. Science","2","1","0","0","0","0"
"2614","3","153","26","117","Social Work","0","0","0","0","0","0"
"2615","3","126","18","133","HR/ Finance /IT Marketing","0","0","0","0","0","0"
"2616","3","126","18","133","MBA - Executive","0","0","0","0","0","0"
"2617","3","141","16","053","MLIS","0","0","0","0","0","0"
"2618","3","130","32","183","Compute applications","0","0","0","0","0","0"
"2619","3","124","02","008","English","0","0","0","0","0","0"
"2620","3","124","02","008","Psychology","0","0","0","0","0","0"
"2621","3","124","02","008","History","0","0","0","0","0","0"
"2622","3","124","02","008","Sociology","0","0","0","0","0","0"
"2623","3","124","02","008","Anthropology","0","0","0","0","0","0"
"2624","3","124","02","008","Political Science","0","0","0","0","0","0"
"2625","3","124","02","008","Public Administration","0","0","0","0","0","0"
"2626","3","124","02","008","Economics","0","0","0","0","0","0"
"2627","3","124","02","008","Education","0","0","0","0","0","0"
"2628","3","124","02","008","Geography","0","0","0","0","0","0"
"2629","3","142","14","051","Journalism & Mass Communication","0","0","0","0","0","0"
"2630","3","093","03","009","Commerce","0","0","0","0","0","0"
"2631","5","155","32","183","Computer Application","8","2","1","0","1","0"
"2632","4","012","03","009","Commerce","0","0","0","0","0","0"
"2633","4","074","26","117","Social Work","0","0","0","0","0","0"
"2634","7","076","02","008","Pre University Certificate Part ll","9","0","9","0","9","0"
"1768","3","093","03","009","ACCOUNT","1042","474","650","349","0","0"
"1769","3","124","13","050","GUJARATI","3745","2116","3166","1905","0","0"
