,id,city,state_code,university_id,no_of_student_hostel,name,infrastructure_id,latitude,longitude,offers_scholarship,ranking_factor,PTR ratio
24126,38595,NEEM KA THANA,8,785,0,"Baba Narayandas Mahila Shikshak Prashikshan Sansthan, Sikar",191665,27.724997,75.764025,1,24.0,9
24127,12277,,9,505,0,"DARSHAN SINGH MAHILA MAHAVIDYALAYA, BEWAN,",191666,,,0,11.0,10
24128,20680,-,29,215,0,"Govt. First Grade College, Kudur, Magadi Taluk-561101",191670,,,1,7.0,10
24129,44268,NASHIK,27,326,1,Bahinabai Women's College of Education,191671,18.330001,73.160001,1,13.0,11
24130,24001,VISAKHAPATNAM,28,6,1,Raghu College Of Pharmacy,191672,17.99359,83.417505,1,16.0,10
24131,22133,Bathinda,3,383,0,"Guru Nanak Dev Khalsa Girls College, Bathinda",191674,30.10875,75.09100999999998,1,30.0,9
24132,9431,BISHNUPUR,14,337,2,C.I. College,191676,24.373910000000002,93.45271,1,9.0,10
24133,31478,BHOPAL,23,283,0,CENTRE FOR ADVANCED COMPUTER TRAINING B.J.S. BHOPAL,191677,,,0,7.0,10
24134,22968,Jammu,1,195,0,Beacon College of Education,191678,,,0,7.0,10
24135,26410,Diphu,18,50,3,Diphu Govt College,191680,25.50331,93.25310999999999,1,18.0,9
24136,27565,warangal,36,19,0,"Sri Vishweswara Sanskrit Andhra (SVSA) Kalasala, Station Road, Warangal (Oriental)",191681,,,0,8.0,11
24137,26949,PUTTUR,28,16,2,"Sri Venkaresa Perumol College of Engineering & Technology, Puttur",191683,13.44435,79.56114999999998,1,17.0,10
24138,40792,RAJGARH,8,406,1,"Malaram T.T. College, Sankhan Tal",191686,,,1,12.0,10
24139,46322,Samastipur,10,68,0,BIBI FATIMA T T COLLEGE SAMASTIPUR,191688,25.25672,68.250001,1,12.0,11
24140,11460,chamba,2,183,0,"Sri Ram College of Yoga Education, Village Labkana, PO Saroo, Tehsil & Distt Chamba",191691,32.603839,76.08125099999998,0,0.0,10
24141,14063,MAHARAJGANJ,9,508,0,"Sonpati Devi Mahila Degree College, Maharajganj",191692,27.13001,83.57000999999998,0,15.0,11
24142,1394,Ponnampet,29,249,2,"Coorg Institute of Technology, PONNAMPET",191695,12.13001,75.91001,1,241.0,11
24143,17566,Mysore-570 004,29,235,1,"Srikantha  First grade College for Women, Mysore",191697,,,1,8.0,11
24144,41298,Pune,27,323,0,"Jog Education Trusts P. Jog College of Science & Commerce, Mayur Colony ,Kothrud, . Pune  411 038.",191698,,,0,8.0,11
24145,22929,Jammu,1,195,0,Handa College of Education,191699,,,0,7.0,10
24146,25507,hyderabad,36,27,0,Blooms College of Hotel Management,191701,,,0,32.0,9
24147,38731,BISSAU,8,785,0,"New Rajasthan TT College, Jhunjhunun",191702,28.354286,75.292986,0,15.0,10
24148,38344,Alwar,8,422,2,"Lord's International College, Alwar",191703,,,0,62.0,11
24149,44282,Parbhani,27,326,0,Priyadarshani Women's B.C.A. College,191704,,,1,15.0,11
24150,9746,AMBIKAPUR,22,95,2,"Rajiv Gandhi Govt.  P.G. College,  Ambikapur",191707,23.12001,83.20000999999999,1,14.0,11
24151,48548,BHIWANDI,27,318,0,GAJANANRAO PANDURANG PATIL COLLEGE OF ARTS AND SCIENCE,191708,,,1,9.0,9
24152,26227,ALWAR,8,418,2,"Choudhary Charansingh Medical S.P.S. Ayurved Nursing Training,Alwar         Centre, Alwar",191709,,,0,17.0,9
24153,25749,Hyderabad,36,27,0,Mumtaz Degree College,191711,,,1,91.0,9
24154,47457,SIRALI,23,269,0,"SATPURA VALLEY GROUP OF SCHOOLS, HARDA",191712,22.15191,77.06170999999999,1,6.0,11
24155,43766,Thiruvananthpuram- 695581,32,260,3,"Lakshmibai National College of Physical Education, Kariavattom, Thiruvananthapuram",191715,8.56301,76.89431,1,18.0,11
24156,31067,Gwalior,23,283,0,SAI BABA INSTITUTE GWALIOR,191716,,,0,11.0,9
24157,23866,Garividi,28,6,0,S.D.S.(Autonomous) College of Arts & Science,191717,18.28001,83.53001,1,7.0,9
24158,26912,Cuddapah,28,16,0,Sri Sai College of  IT & Management,191718,14.464841,78.856205,1,12.0,10
24159,9235,"deodurga,Raichur",29,219,0,D418 Govt First Grade Degree College Dweodurga,191719,,,1,7.0,9
24160,47138,JAIPUR,8,420,0,"VARUN COLLEGE OF PHARMACY, JAIPUR",191721,26.500009999999996,76.50007999999998,0,14.0,9
24161,38871,LAXMANGARH,8,785,0,"Shekhawati Mahila Shikshak Prashikshan Mahavi., Sikar",191722,27.834437,75.029887,1,27.0,11
24162,13889,Aurangabad,27,313,1,"Govt. Dental College, Panchakki Rd, Aurangabad",192570,,,0,13.0,11
24163,6280,kolkata,19,592,6,Swami Vivekananda Institute of Science and Technology 241,172329,22.230007999999998,88.240053,1,206.0,9
24164,25232,udaipur,8,419,2,"Pacific College of Engineering,Udaipur",191724,24.600701,73.77760999999998,0,17.0,10
24165,40731,SURATGARH,8,406,0,"Tagore College, Suratgarh",191726,29.321501,73.89978999999998,0,39.0,11
24166,48573,NANDYAL,28,16,0,"PRABHATH INSTITUTE OF COMPUTER SCIENCES, PARNAPALLI (V), NANDYAL",191728,15.29111,78.32121,1,15.0,9
24167,14491,NELLIKUPPAM,33,483,1,Arcot Lutheran Church College of Education,191729,11.774777,79.667051,1,13.0,11
24168,15199,AGRA,9,509,0,"SAUDAN SINGH INSTITUTE OF HIGER EDUCATION NAGLA RAMBAL KALENDI VIHAR, AGRA",191730,27.21582,78.06234,1,43.0,9
24169,9350,Gulbarga,29,219,0,C340 Vijaya Vidyalaya Degree College Gulbarga,191732,,,1,3.0,11
24170,17143,Bongaigaon,18,52,0,Bongaigaon Law College,191733,26.48001,90.56000999999999,1,7.0,11
24171,15474,ETAH,9,509,0,"DR.Z.H DEGREE COLLEGE,ETAH",191735,27.546433,78.635778,0,61.0,11
24172,30933,Rayadurg,28,33,0,"K.T.S. Government Degree College, Rayadurg",191737,,,1,14.0,9
24173,22335,Mungeli,22,636,0,"S.N.G. College, Mungeli (Bilaspur)",191738,22.80001,82.40000999999998,1,12.0,9
24174,34611,,27,298,0,Siddharth Library & Information Science College,191739,,,1,12.0,9
24175,39024,SIKAR,8,785,0,"Shri Shastri mahila TT College, Sikar",191740,27.751146999999996,75.163294,1,15.0,9
24176,19079,Durgapur,19,588,0,AMIK Institute of Management Science & Technology,191742,,,0,3.0,10
24177,12062,CHHIBRAMAU,9,505,0,"CHAUDHARY JAMADAR SINGH MAHAVIDYALAYA, LALAKPUR,",191743,22.14575,80.00001999999999,0,44.0,10
24178,54238,DEHGAM,24,136,0,SMT. SARLABEN CHATURBHAI PATEL INSTITUTE OF COMMERCE,191750,,,1,8.0,10
24179,30086,BHUBANESWAR,21,351,3,"Gandhi Institute of Technology And Management (GITAM), Bhubaneswar",191751,20.201967,85.661022,0,248.0,9
24180,23028,Jammu,1,195,1,Tagore College of Education,191752,,,0,3.0,9
24181,39086,alwar,8,422,0,"Rajasthan Shikshak Prashikshan Mahavi., Alwar",191753,27.323590999999997,76.424172,0,15.0,11
24182,22999,vijaypur,1,195,0,Saraswati College of Education,191754,,,0,7.0,11
24183,18374,Umred,27,332,0,"Mahatma Jyotibaphule Physical Education College, Umred",191755,,,0,14.0,10
24184,23005,KATRA,1,195,1,Durga College of Education,191756,,,0,3.0,11
24185,22993,kathua,1,195,0,Satyam College of Education,191757,,,0,2.0,11
24186,17332,Dhubri,18,52,0,Halakura College,191758,26.2531809,89.77611309999999,0,2.0,10
24187,53578,UDAIPUR,8,413,0,Guru Nanak Girls P.G. College,191759,24.40001,73.30001,1,11.0,11
24188,23004,kathua,1,195,0,Shri Shri Parmahansa Yogananda College of Education,191760,,,0,7.0,9
24189,48315,BHOPAL,23,269,0,VNS BUSINESS SCHOOL,191761,22.99999,76.99998999999998,1,8.0,10
24190,8186,CALICUT,32,251,2,"ST. ALPHONSA COLLEGE FOR HOTEL MANAGEMENT, WEST HILL",191763,,,0,26.0,11
24191,35888,,33,448,0,"Jairams Arts & Science College, NH7, Karur-Madurai By-Pass Road, Aattamparappu, Kakavadi (P.O), Karur - 639 003.",191762,10.95001,78.08001,1,14.0,11
24192,6402,New Delhi,7,120,0,Kalindi College,191764,28.670001,77.170001,1,51.0,9
24193,47075,CHITTORGARH,8,420,1,"MEWAR GIRLS INSTITUTEITUTE OF NURSING, CHITTORGARH",191767,24.532259600000003,74.38672359999998,1,16.0,11
24194,17292,Guwahati,18,52,1,B Borooah College,191768,26.17851,91.75731,1,29.0,10
24195,49162,RAHOD,22,636,0,"SHRI SANDEEPNI COLLEGE OF EDUCATION, RAHAOD",189526,22.004896,82.577499,1,15.0,9
24196,54226,Reodar,8,413,0,"Smt. Chandrawal Gupta College, Reodar",191769,24.602273,72.508076,0,8.0,10
24197,33849,Tarfe Karjat,27,318,0,IBSAR Trusts IBSAR Institute of Management Studies Karjat Campus Dahivali Village Karjat Dist-Raigad,191770,,,1,8.0,9
24198,15574,SHIKOHABAD,9,509,0,"DALVEER SINGH DEGREE COLLEGE, SHIKOHABAD",191771,,,1,12.0,10
24199,45274,Hingoli,27,328,0,"NEW MODEL DEGREE COLLEGE, HINGOLI",191774,19.71671,77.14999,1,15.0,9
24200,22899,jammu,1,195,0,Hill People Degree College,191776,,,0,2.0,9
24201,19779,Hyderabad,36,17,0,Maheswara Institute of Technology,191778,,,1,15.0,10
24202,26929,Tirupati,28,16,2,"Sri Vidyaniketan  Engineering College,  Tirupathi,",191780,13.621751000000001,79.29037599999998,1,17.0,10
24203,22491,Mahoba,9,502,0,Ramshri College,191781,7.12356,,0,2.0,11
24204,36609,RAJGARH,8,406,0,"Chandgi Ram College, Berasar Chota",191783,,,0,15.0,9
24205,46410,GREATER NOIDA,9,549,2,"MANGALMAY INSTITUTE OF ENGINEERING AND TECHNOLOGY, GREATER NOIDA",191784,23.230001,77.530001,1,134.0,11
24206,39096,BHARATPUR,8,422,6,"A V M T T College, Bharatpur",191786,27.000359999999997,77.00074000000001,0,21.0,10
24207,35269,Bhopal,23,269,0,"Chanakya College, 64 New MLA Qtrs Jawahar Chowk, T.T. Nagar, Bhopal",191787,23.16601,77.41861,1,30.0,10
